temperature;gas;humidity;barometer;IAQ;IAQ_S;VOCS;accuracy
30.43;124814.00;33.00;1000.28;32;28;0.52;1
30.42;124814.00;33.00;1000.23;32;28;0.52;1
30.42;125747.00;33.00;1000.23;31;27;0.52;1
30.42;125560.00;33.00;1000.26;31;27;0.52;1
30.42;125653.00;33.00;1000.26;31;27;0.52;1
30.41;125560.00;33.00;1000.27;31;27;0.52;1
30.42;125279.00;33.00;1000.26;31;27;0.52;1
30.42;126409.00;33.00;1000.26;31;27;0.52;1
30.41;124260.00;33.00;1000.27;31;27;0.52;1
30.41;125653.00;33.00;1000.27;31;27;0.52;1
30.41;125842.00;33.00;1000.27;31;27;0.52;1
30.41;124814.00;33.00;1000.28;32;28;0.52;1
30.41;124721.00;33.00;1000.28;32;28;0.52;1
30.41;125279.00;33.00;1000.28;32;28;0.52;1
30.41;126125.00;33.00;1000.28;30;27;0.51;1
30.41;125372.00;33.00;1000.28;30;27;0.51;1
30.41;125560.00;33.00;1000.28;30;27;0.51;1
30.41;126791.00;33.00;1000.28;29;26;0.51;1
30.40;124721.00;33.00;1000.28;29;26;0.51;1
30.40;125653.00;33.00;1000.28;29;26;0.51;1
30.39;125842.00;33.00;1000.30;31;27;0.52;1
30.39;125653.00;33.00;1000.28;31;27;0.52;1
30.38;124721.00;33.00;1000.27;31;27;0.52;1
30.38;124999.00;33.00;1000.28;31;27;0.52;1
30.38;125466.00;33.00;1000.28;31;27;0.52;1
30.38;125372.00;33.00;1000.30;31;27;0.52;1
30.38;125936.00;33.00;1000.30;30;27;0.51;1
30.38;124999.00;33.00;1000.30;30;27;0.51;1
30.38;125560.00;33.00;1000.28;30;27;0.51;1
30.38;126314.00;33.00;1000.28;29;26;0.51;1
30.38;125936.00;33.00;1000.30;29;26;0.51;1
30.38;125842.00;33.00;1000.30;29;26;0.51;1
30.38;124999.00;33.00;1000.28;31;27;0.52;1
30.39;125279.00;33.00;1000.30;31;27;0.52;1
30.39;125560.00;33.00;1000.28;31;27;0.52;1
30.38;126125.00;33.00;1000.28;30;27;0.51;1
30.38;125186.00;33.00;1000.28;30;27;0.51;1
30.38;125936.00;33.00;1000.28;30;27;0.51;1
30.38;125186.00;33.00;1000.28;32;28;0.52;1
30.38;125279.00;33.00;1000.28;32;28;0.52;1
30.38;125372.00;33.00;1000.28;32;28;0.52;1
30.39;125653.00;33.00;1000.28;31;27;0.52;1
30.38;125842.00;33.00;1000.28;31;27;0.52;1
30.38;125747.00;33.00;1000.30;31;27;0.52;1
30.39;125560.00;33.00;1000.33;31;27;0.52;1
30.39;126982.00;33.00;1000.28;31;27;0.52;1
30.38;126600.00;33.00;1000.33;31;27;0.52;1
30.39;126791.00;33.00;1000.28;28;26;0.51;1
30.38;126219.00;33.00;1000.28;28;26;0.51;1
30.38;127271.00;33.00;1000.33;28;26;0.51;1
30.39;126125.00;33.00;1000.30;28;26;0.51;1
30.39;127271.00;33.00;1000.30;27;26;0.50;1
30.39;126314.00;33.00;1000.30;27;26;0.50;1
30.39;126600.00;33.00;1000.30;27;26;0.50;1
30.39;125936.00;33.00;1000.28;26;25;0.50;1
30.39;125279.00;33.00;1000.28;26;25;0.50;1
30.39;125936.00;33.00;1000.28;26;25;0.50;1
30.40;126504.00;33.00;1000.28;26;25;0.50;1
30.40;125747.00;33.00;1000.28;26;25;0.50;1
30.40;126409.00;33.00;1000.28;26;25;0.50;1
30.40;126125.00;33.00;1000.28;25;25;0.50;1
30.40;125653.00;33.00;1000.28;25;25;0.50;1
30.40;126409.00;33.00;1000.27;25;25;0.50;1
30.40;126695.00;33.00;1000.27;25;25;0.50;1
30.40;126219.00;33.00;1000.28;25;25;0.50;1
30.40;126219.00;33.00;1000.27;25;25;0.50;1
30.40;125653.00;33.00;1000.27;25;25;0.50;1
30.40;126030.00;33.00;1000.27;25;25;0.50;1
30.40;126695.00;33.00;1000.27;25;25;0.50;1
30.40;125186.00;33.00;1000.27;25;25;0.49;1
30.40;125842.00;33.00;1000.28;25;25;0.49;1
30.41;126695.00;33.00;1000.28;25;25;0.49;1
30.41;126125.00;33.00;1000.28;25;25;0.49;1
30.41;125093.00;33.00;1000.28;25;25;0.49;1
30.42;125093.00;33.00;1000.27;25;25;0.49;1
30.42;124721.00;33.00;1000.27;28;26;0.51;1
30.42;124444.00;33.00;1000.28;28;26;0.51;1
30.42;126219.00;33.00;1000.27;28;26;0.51;1
30.42;124814.00;33.00;1000.27;33;28;0.52;1
30.42;124629.00;33.00;1000.33;33;28;0.52;1
30.43;124444.00;33.00;1000.33;33;28;0.52;1
30.44;123985.00;33.00;1000.33;33;28;0.52;1
30.44;124444.00;33.00;1000.33;33;28;0.52;1
30.44;124077.00;33.00;1000.33;33;28;0.52;1
30.43;124260.00;33.00;1000.33;37;30;0.54;1
30.44;124260.00;33.00;1000.30;37;30;0.54;1
30.44;124444.00;33.00;1000.34;37;30;0.54;1
30.44;124814.00;33.00;1000.33;40;31;0.55;1
30.45;123530.00;33.00;1000.33;40;31;0.55;1
30.45;124444.00;33.00;1000.33;40;31;0.55;1
30.44;123712.00;33.00;1000.30;41;32;0.55;1
30.45;123803.00;33.00;1000.30;41;32;0.55;1
30.45;124260.00;33.00;1000.30;41;32;0.55;1
30.45;123621.00;33.00;1000.33;43;33;0.56;1
30.46;123803.00;33.00;1000.30;43;33;0.56;1
30.46;123712.00;33.00;1000.30;43;33;0.56;1
30.46;123803.00;33.00;1000.30;45;34;0.57;1
30.47;124077.00;33.00;1000.33;45;34;0.57;1
30.47;123712.00;33.00;1000.33;45;34;0.57;1
30.46;123621.00;33.00;1000.30;43;32;0.56;1
30.46;123803.00;33.00;1000.33;43;32;0.56;1
30.47;124077.00;33.00;1000.33;43;32;0.56;1
30.46;124077.00;33.00;1000.28;44;33;0.56;1
30.47;123621.00;33.00;1000.33;44;33;0.56;1
30.47;123894.00;33.00;1000.34;44;33;0.56;1
30.47;123530.00;33.00;1000.33;45;34;0.57;1
30.47;122808.00;33.00;1000.33;45;34;0.57;1
30.47;122808.00;33.00;1000.33;45;34;0.57;1
30.47;122898.00;33.00;1000.33;49;35;0.58;1
30.47;123803.00;33.00;1000.33;49;35;0.58;1
30.47;122540.00;33.00;1000.30;49;35;0.58;1
30.47;122808.00;33.00;1000.30;50;36;0.59;1
30.47;123712.00;33.00;1000.33;50;36;0.59;1
30.48;122540.00;33.00;1000.30;50;36;0.59;1
30.47;122629.00;33.00;1000.33;53;37;0.60;1
30.48;121918.00;33.00;1000.30;53;37;0.60;1
30.48;123258.00;33.00;1000.28;53;37;0.60;1
30.48;123985.00;33.00;1000.28;55;38;0.61;1
30.49;123258.00;33.00;1000.30;55;38;0.61;1
30.49;123439.00;33.00;1000.33;55;38;0.61;1
30.49;122808.00;33.00;1000.30;52;36;0.59;1
30.49;122988.00;33.00;1000.30;52;36;0.59;1
30.49;122450.00;33.00;1000.28;52;36;0.59;1
30.49;122540.00;33.00;1000.28;54;37;0.60;1
30.49;123894.00;33.00;1000.30;54;37;0.60;1
30.50;123349.00;33.00;1000.28;54;37;0.60;1
30.49;123078.00;33.00;1000.28;53;37;0.60;1
30.50;123712.00;33.00;1000.28;53;37;0.60;1
30.51;123621.00;33.00;1000.30;53;37;0.60;1
30.51;122808.00;33.00;1000.30;55;38;0.61;1
30.51;122988.00;33.00;1000.30;55;38;0.61;1
30.51;123985.00;33.00;1000.30;55;38;0.61;1
30.51;122450.00;33.00;1000.30;51;36;0.59;1
30.51;121389.00;33.00;1000.30;51;36;0.59;1
30.52;122898.00;33.00;1000.30;51;36;0.59;1
30.52;122808.00;33.00;1000.30;51;36;0.59;1
30.52;123894.00;33.00;1000.28;51;36;0.59;1
30.52;122006.00;33.00;1000.28;51;36;0.59;1
30.51;123712.00;33.00;1000.28;55;38;0.61;1
30.52;123621.00;33.00;1000.28;55;38;0.61;1
30.52;123078.00;33.00;1000.28;55;38;0.61;1
30.52;123258.00;33.00;1000.28;57;39;0.61;1
30.53;122988.00;33.00;1000.28;57;39;0.61;1
30.53;121829.00;33.00;1000.28;57;39;0.61;1
30.53;122898.00;33.00;1000.30;56;38;0.61;1
30.53;121741.00;33.00;1000.30;56;38;0.61;1
30.53;122629.00;33.00;1000.27;56;38;0.61;1
30.53;122898.00;33.00;1000.28;55;38;0.61;1
30.53;121302.00;33.00;1000.30;55;38;0.61;1
