;temperature;;gas;;humidity;;barometer
s;s;s;;s;;s;
0;29,87;0;47457;0;42;0;1001,45
1;29,86;1;47430;1;42;1;1001,45
2;29,86;2;47217;2;42;2;1001,45
3;29,86;3;47217;3;42;3;1001,43
4;29,87;4;46183;4;42;4;1001,45
5;29,86;5;47781;5;42;5;1001,45
6;29,87;6;47404;6;42;6;1001,45
7;29,87;7;46032;7;42;7;1001,47
8;29,88;8;47565;8;42;8;1001,47
9;29,88;9;47484;9;42;9;1001,47
10;29,88;10;47244;10;42;10;1001,45
11;29,89;11;47377;11;42;11;1001,47
12;29,89;12;47164;12;42;12;1001,47
13;29,9;13;47645;13;42;13;1001,47
14;29,89;14;47323;14;42;14;1001,47
15;29,89;15;47484;15;42;15;1001,45
16;29,9;16;47350;16;42;16;1001,45
17;29,9;17;47511;17;42;17;1001,45
18;29,9;18;47645;18;42;18;1001,45
19;29,9;19;47297;19;42;19;1001,45
20;29,89;20;47511;20;42;20;1001,45
21;29,89;21;47457;21;42;21;1001,47
22;29,89;22;47430;22;42;22;1001,45
23;29,89;23;47645;23;42;23;1001,45
24;29,89;24;47457;24;42;24;1001,45
25;29,89;25;47270;25;42;25;1001,45
26;29,9;26;47217;26;42;26;1001,45
27;29,9;27;47217;27;42;27;1001,47
28;29,89;28;47484;28;42;28;1001,47
29;29,89;29;47484;29;42;29;1001,47
30;29,89;30;47323;30;42;30;1001,47
31;29,89;31;47191;31;42;31;1001,45
32;29,88;32;46133;32;42;32;1001,45
33;29,88;33;47511;33;42;33;1001,45
34;29,87;34;47565;34;42;34;1001,47
35;29,87;35;47484;35;42;35;1001,45
36;29,87;36;47377;36;42;36;1001,47
37;29,87;37;47972;37;42;37;1001,47
38;29,87;38;47538;38;42;38;1001,47
39;29,87;39;47699;39;42;39;1001,47
40;29,87;40;45931;40;42;40;1001,47
41;29,87;41;47404;41;42;41;1001,47
42;29,87;42;47645;42;42;42;1001,45
43;29,87;43;47457;43;42;43;1001,45
44;29,87;44;47699;44;42;44;1001,45
45;29,88;45;47618;45;42;45;1001,45
46;29,88;46;47538;46;42;46;1001,43
47;29,88;47;47484;47;42;47;1001,45
48;29,88;48;46133;48;42;48;1001,45
49;29,88;49;47591;49;42;49;1001,45
50;29,88;50;47754;50;42;50;1001,45
51;29,88;51;47618;51;42;51;1001,45
52;29,88;52;47672;52;42;52;1001,45
53;29,88;53;47699;53;42;53;1001,45
54;29,88;54;47618;54;42;54;1001,47
55;29,88;55;47645;55;42;55;1001,47
56;29,88;56;47944;56;42;56;1001,45
57;29,88;57;47538;57;42;57;1001,45
58;29,88;58;47672;58;42;58;1001,47
59;29,88;59;48303;59;42;59;1001,47
60;29,88;60;48414;60;42;60;1001,47
61;29,88;61;49064;61;42;61;1001,47
62;29,87;62;48498;62;42;62;1001,47
63;29,88;63;48470;63;42;63;1001,47
64;29,88;64;48442;64;42;64;1001,45
65;29,88;65;48864;65;42;65;1001,45
66;29,88;66;48082;66;41;66;1001,47
