;temperature;gas;humidity;barometer
0;30,05;99071;44;1000,58
1;30,07;96457;43;1000,56
2;30,09;96016;43;1000,58
3;30,11;95093;43;1000,58
4;30,12;94187;43;1000,58
5;30,15;94329;43;1000,58
6;30,16;95076;43;1000,58
7;30,17;94012;43;1000,56
8;30,18;93385;43;1000,56
9;30,21;90960;43;1000,62
10;30,18;85587;43;1000,65
11;30,09;81917;43;1000,62
12;30,04;77463;43;1000,62
13;30,03;72642;43;1000,62
14;30,01;68220;43;1000,6
15;30;65971;43;1000,62
16;30;63431;43;1000,6
17;30,09;60640;43;1000,58
18;30,19;59022;43;1000,6
19;30,23;58124;43;1000,62
20;30,27;56827;43;1000,6
21;30,3;56106;43;1000,58
22;30,32;55550;43;1000,6
23;30,34;54399;43;1000,6
24;30,37;54540;43;1000,62
25;30,38;54364;43;1000,56
26;30,4;53876;43;1000,6
27;30,42;53261;43;1000,58
28;30,43;52138;43;1000,66
29;30,45;50478;43;1000,66
30;30,47;49093;44;1000,65
31;30,48;48192;44;1000,62
32;30,51;47297;45;1000,62
33;30,52;45046;45;1000,6
34;30,52;44102;45;1000,62
35;30,53;43780;45;1000,62
36;30,58;43735;46;1000,62
37;30,59;42844;46;1000,65
38;30,6;43419;46;1000,65
39;30,61;43464;46;1000,66
40;30,61;43963;46;1000,66
41;30,62;43735;45;1000,65
