;temperature;gas;humidity;barometer
0;29,87;47457;42;1001,45
1;29,86;47430;42;1001,45
2;29,86;47217;42;1001,45
3;29,86;47217;42;1001,43
4;29,87;46183;42;1001,45
5;29,86;47781;42;1001,45
6;29,87;47404;42;1001,45
7;29,87;46032;42;1001,47
8;29,88;47565;42;1001,47
9;29,88;47484;42;1001,47
10;29,88;47244;42;1001,45
11;29,89;47377;42;1001,47
12;29,89;47164;42;1001,47
13;29,9;47645;42;1001,47
14;29,89;47323;42;1001,47
15;29,89;47484;42;1001,45
16;29,9;47350;42;1001,45
17;29,9;47511;42;1001,45
18;29,9;47645;42;1001,45
19;29,9;47297;42;1001,45
20;29,89;47511;42;1001,45
21;29,89;47457;42;1001,47
22;29,89;47430;42;1001,45
23;29,89;47645;42;1001,45
24;29,89;47457;42;1001,45
25;29,89;47270;42;1001,45
26;29,9;47217;42;1001,45
27;29,9;47217;42;1001,47
28;29,89;47484;42;1001,47
29;29,89;47484;42;1001,47
30;29,89;47323;42;1001,47
31;29,89;47191;42;1001,45
32;29,88;46133;42;1001,45
33;29,88;47511;42;1001,45
34;29,87;47565;42;1001,47
35;29,87;47484;42;1001,45
36;29,87;47377;42;1001,47
37;29,87;47972;42;1001,47
38;29,87;47538;42;1001,47
39;29,87;47699;42;1001,47
40;29,87;45931;42;1001,47
41;29,87;47404;42;1001,47
42;29,87;47645;42;1001,45
43;29,87;47457;42;1001,45
44;29,87;47699;42;1001,45
45;29,88;47618;42;1001,45
46;29,88;47538;42;1001,43
47;29,88;47484;42;1001,45
48;29,88;46133;42;1001,45
49;29,88;47591;42;1001,45
50;29,88;47754;42;1001,45
51;29,88;47618;42;1001,45
52;29,88;47672;42;1001,45
53;29,88;47699;42;1001,45
54;29,88;47618;42;1001,47
55;29,88;47645;42;1001,47
56;29,88;47944;42;1001,45
57;29,88;47538;42;1001,45
58;29,88;47672;42;1001,47
59;29,88;48303;42;1001,47
60;29,88;48414;42;1001,47
61;29,88;49064;42;1001,47
62;29,87;48498;42;1001,47
63;29,88;48470;42;1001,47
64;29,88;48442;42;1001,45
65;29,88;48864;42;1001,45
66;29,88;48082;41;1001,47
