temperature;gas;humidity;barometer;IAQ;IAQ_S;VOCS;accuracy
29.66;130228.00;35.00;1000.70;26;26;0.51;2
29.65;132486.00;35.00;1000.70;26;26;0.51;2
29.65;132486.00;35.00;1000.72;25;25;0.50;2
29.65;132069.00;35.00;1000.72;25;25;0.50;2
29.65;131450.00;35.00;1000.70;25;25;0.50;2
29.65;132905.00;35.00;1000.69;26;26;0.51;2
29.65;130633.00;35.00;1000.69;26;26;0.51;2
29.66;132905.00;35.00;1000.69;26;26;0.51;2
29.66;133538.00;35.00;1000.69;25;25;0.50;2
29.66;132695.00;35.00;1000.66;25;25;0.50;2
29.66;131553.00;35.00;1000.69;25;25;0.50;2
29.67;132695.00;35.00;1000.65;25;25;0.49;2
29.67;131862.00;35.00;1000.69;25;25;0.49;2
29.68;132590.00;35.00;1000.69;25;25;0.49;2
29.68;133010.00;35.00;1000.66;25;25;0.50;2
29.68;132277.00;35.00;1000.66;25;25;0.50;2
29.68;133432.00;35.00;1000.69;25;25;0.50;2
29.68;133010.00;35.00;1000.69;24;24;0.49;2
29.69;132277.00;35.00;1000.87;24;24;0.49;2
29.69;132695.00;35.00;1000.70;24;24;0.49;2
29.69;132381.00;35.00;1000.69;25;25;0.50;2
29.69;133010.00;35.00;1000.69;25;25;0.50;2
29.69;132277.00;35.00;1000.69;25;25;0.50;2
29.69;131656.00;35.00;1000.69;26;26;0.51;2
29.69;132069.00;35.00;1000.66;26;26;0.51;2
29.69;132277.00;35.00;1000.69;26;26;0.51;2
29.69;132069.00;35.00;1000.66;26;26;0.51;2
29.69;130329.00;35.00;1000.69;26;26;0.51;2
29.69;131862.00;35.00;1000.66;26;26;0.51;2
29.69;131347.00;35.00;1000.69;26;26;0.51;2
29.69;131862.00;35.00;1000.69;26;26;0.51;2
29.70;131450.00;35.00;1000.69;26;26;0.51;2
29.70;130836.00;35.00;1000.69;25;25;0.50;2
29.70;131966.00;35.00;1000.69;25;25;0.50;2
29.70;131759.00;35.00;1000.66;25;25;0.50;2
29.70;131553.00;35.00;1000.66;26;26;0.51;2
29.70;131656.00;35.00;1000.66;26;26;0.51;2
29.70;131450.00;35.00;1000.66;26;26;0.51;2
29.70;130633.00;35.00;1000.66;26;27;0.51;2
29.70;131040.00;35.00;1000.69;26;27;0.51;2
29.71;130836.00;35.00;1000.69;26;27;0.51;2
29.71;130531.00;35.00;1000.69;27;28;0.52;2
29.70;130836.00;35.00;1000.65;27;28;0.52;2
29.71;132069.00;35.00;1000.69;27;28;0.52;2
29.71;129029.00;35.00;1000.66;27;29;0.53;2
29.71;130531.00;35.00;1000.69;27;29;0.53;2
29.71;130127.00;35.00;1000.69;27;29;0.53;2
29.70;130430.00;35.00;1000.66;28;30;0.54;2
29.70;130633.00;35.00;1000.65;28;30;0.54;2
29.71;130329.00;35.00;1000.69;28;30;0.54;2
29.71;130027.00;35.00;1000.66;28;30;0.54;2
29.71;130027.00;35.00;1000.69;28;30;0.54;2
29.71;129526.00;35.00;1000.66;28;30;0.54;2
29.72;130027.00;35.00;1000.66;29;32;0.55;2
29.72;129227.00;35.00;1000.66;29;32;0.55;2
29.72;129826.00;35.00;1000.66;29;32;0.55;2
29.72;129128.00;35.00;1000.66;30;33;0.56;2
29.72;129426.00;35.00;1000.66;30;33;0.56;2
29.72;129029.00;35.00;1000.66;30;33;0.56;2
29.72;129726.00;35.00;1000.66;31;34;0.57;2
29.72;129227.00;35.00;1000.69;31;34;0.57;2
29.73;130633.00;35.00;1000.69;31;34;0.57;2
29.73;129626.00;35.00;1000.69;30;33;0.56;2
29.74;128831.00;35.00;1000.69;30;33;0.56;2
29.74;129128.00;35.00;1000.69;30;33;0.56;2
29.74;130430.00;35.00;1000.69;31;33;0.57;2
29.74;129128.00;35.00;1000.66;31;33;0.57;2
29.74;130228.00;35.00;1000.66;31;33;0.57;2
29.74;129326.00;35.00;1000.65;30;33;0.56;2
29.74;129326.00;35.00;1000.65;30;33;0.56;2
29.74;129227.00;35.00;1000.65;30;33;0.56;2
29.74;129426.00;35.00;1000.65;31;34;0.57;2
29.74;129029.00;35.00;1000.62;31;34;0.57;2
29.75;129029.00;35.00;1000.65;31;34;0.57;2
29.75;129227.00;35.00;1000.65;30;33;0.56;2
29.76;130228.00;35.00;1000.65;30;33;0.56;2
29.76;129426.00;35.00;1000.62;30;33;0.56;2
29.76;129426.00;35.00;1000.62;31;34;0.57;3
29.76;129128.00;35.00;1000.62;31;34;0.57;3
29.76;129227.00;35.00;1000.62;31;34;0.57;3
29.77;129526.00;35.00;1000.65;31;34;0.57;3
29.77;129726.00;35.00;1000.65;31;34;0.57;3
29.77;127949.00;35.00;1000.65;31;34;0.57;3
29.77;128831.00;35.00;1000.65;31;34;0.57;3
29.77;129128.00;35.00;1000.65;31;34;0.57;3
29.78;129726.00;35.00;1000.65;31;34;0.57;3
29.78;131040.00;35.00;1000.62;30;33;0.56;3
29.79;129128.00;35.00;1000.69;30;33;0.56;3
29.78;130430.00;35.00;1000.66;30;33;0.56;3
29.79;128831.00;35.00;1000.69;31;34;0.58;3
29.80;128831.00;35.00;1000.69;31;34;0.58;3
29.80;128241.00;35.00;1000.69;31;34;0.58;3
29.80;128732.00;35.00;1000.69;32;35;0.58;3
29.81;128831.00;35.00;1000.70;32;35;0.58;3
29.81;129029.00;35.00;1000.70;32;35;0.58;3
29.80;128339.00;35.00;1000.66;32;36;0.59;3
29.80;128144.00;35.00;1000.66;32;36;0.59;3
29.81;128339.00;35.00;1000.69;32;36;0.59;3
29.81;129128.00;35.00;1000.69;32;35;0.58;3
29.82;127949.00;35.00;1000.69;32;35;0.58;3
29.82;128930.00;35.00;1000.69;32;35;0.58;3
29.82;127560.00;35.00;1000.69;33;36;0.59;3
29.82;127560.00;35.00;1000.70;33;36;0.59;3
29.83;128634.00;35.00;1000.70;33;36;0.59;3
29.83;127367.00;35.00;1000.70;34;38;0.61;3
29.83;127851.00;35.00;1000.70;34;38;0.61;3
29.83;128241.00;35.00;1000.70;34;38;0.61;3
29.83;128241.00;35.00;1000.70;33;37;0.60;3
29.84;128930.00;35.00;1000.70;33;37;0.60;3
29.84;127560.00;35.00;1000.70;33;37;0.60;3
29.84;126982.00;35.00;1000.70;33;37;0.60;3
29.84;126982.00;35.00;1000.70;33;37;0.60;3
29.84;127078.00;35.00;1000.70;33;37;0.60;3
29.85;128634.00;35.00;1000.70;34;38;0.60;3
29.85;128241.00;35.00;1000.70;34;38;0.60;3
29.85;126886.00;35.00;1000.70;34;38;0.60;3
29.86;126886.00;35.00;1000.69;35;39;0.62;3
29.86;126886.00;35.00;1000.69;35;39;0.62;3
29.87;127174.00;35.00;1000.70;35;39;0.62;3
29.87;127078.00;35.00;1000.70;35;40;0.63;3
29.87;128437.00;35.00;1000.70;35;40;0.63;3
29.87;127174.00;35.00;1000.70;35;40;0.63;3
29.88;127367.00;35.00;1000.69;35;40;0.63;3
29.88;127463.00;35.00;1000.69;35;40;0.63;3
29.88;128046.00;35.00;1000.69;35;40;0.63;3
29.88;126600.00;35.00;1000.70;35;40;0.63;3
29.89;126886.00;35.00;1000.70;36;41;0.64;3
29.89;126409.00;35.00;1000.70;36;41;0.64;3
29.89;127367.00;35.00;1000.70;36;41;0.64;3
29.90;127463.00;35.00;1000.70;36;41;0.63;3
29.90;126600.00;35.00;1000.70;36;41;0.63;3
29.90;126982.00;35.00;1000.70;36;41;0.63;3
29.90;126504.00;35.00;1000.72;36;41;0.64;3
29.91;126695.00;35.00;1000.72;36;41;0.64;3
29.92;126504.00;35.00;1000.70;36;41;0.64;3
29.92;126886.00;35.00;1000.70;36;42;0.64;3
29.92;127657.00;35.00;1000.72;36;42;0.64;3
29.93;127271.00;35.00;1000.72;36;42;0.64;3
29.93;125747.00;35.00;1000.70;36;41;0.64;3
29.93;125747.00;35.00;1000.70;36;41;0.64;3
29.93;126600.00;35.00;1000.70;36;41;0.64;3
29.94;126791.00;35.00;1000.70;36;42;0.64;3
29.94;126314.00;35.00;1000.69;36;42;0.64;3
29.94;126791.00;35.00;1000.72;36;42;0.64;3
29.94;125842.00;35.00;1000.72;36;42;0.64;3
29.95;125936.00;35.00;1000.70;36;42;0.64;3
29.95;126982.00;35.00;1000.72;36;42;0.64;3
29.95;127367.00;35.00;1000.72;36;41;0.64;3
29.96;125372.00;35.00;1000.70;36;41;0.64;3
29.96;126791.00;35.00;1000.70;36;41;0.64;3
29.97;124169.00;35.00;1000.72;36;41;0.64;3
29.97;125653.00;35.00;1000.70;36;41;0.64;3
29.97;125186.00;35.00;1000.70;36;41;0.64;3
29.97;127174.00;35.00;1000.69;38;43;0.66;3
29.97;126791.00;35.00;1000.69;38;43;0.66;3
29.98;125936.00;35.00;1000.69;38;43;0.66;3
29.97;125372.00;35.00;1000.66;38;44;0.66;3
29.98;125653.00;35.00;1000.72;38;44;0.66;3
29.99;126219.00;35.00;1000.72;38;44;0.66;3
29.99;126409.00;35.00;1000.70;38;44;0.67;3
29.99;124814.00;35.00;1000.70;38;44;0.67;3
30.00;124721.00;35.00;1000.70;38;44;0.67;3
30.00;126219.00;35.00;1000.70;39;46;0.68;3
30.00;126504.00;35.00;1000.70;39;46;0.68;3
