;temperature;gas;humidity;barometer
2250;39,97;78769;25;1000,15
2251;40,07;79892;25;1000,12
2252;40,24;79515;24;1000,12
2253;40,34;78622;24;1000,13
2254;40,5;77966;24;1000,09
2255;40,66;77391;24;1000,13
2256;40,78;77893;24;1000,08
2257;40,92;76825;24;1000,09
2258;41,05;76268;23;1000,05
2259;41,16;76337;23;1000,08
2260;41,3;76406;23;1000,12
2261;41,39;75650;23;1000,12
2262;41,46;75311;23;1000,08
2263;41,57;74510;23;1000,09
2264;41,72;74642;23;1000,09
2265;41,79;74050;22;1000,12
2266;41,86;73920;22;1000,09
2267;42,01;73403;22;1000,12
2268;42,08;73148;22;1000,12
2269;42,13;72579;22;1000,12
2270;42,21;72392;22;1000,13
2271;42,31;72392;22;1000,13
2272;42,43;71835;22;1000,12
2273;42,53;71468;22;1000,12
2274;42,6;70985;22;1000,09
2275;42,71;71226;21;1000,09
2276;42,84;70926;21;1000,09
2277;42,91;70568;21;1000,13
2278;43,01;70568;21;1000,09
2279;43,16;69748;21;1000,12
2280;43,23;69633;21;1000,09
2281;43,28;69575;21;1000,08
2282;43,35;69403;21;1000,08
2283;43,39;68947;21;1000,09
2284;43,46;68610;21;1000,08
2285;43,56;68386;20;1000,08
2286;43,6;68610;20;1000,09
2287;43,66;67834;20;1000,08
2288;43,73;67834;20;1000,08
2289;43,79;67453;20;1000,12
2290;43,87;67616;20;1000,05
2291;43,96;67453;20;1000,09
2292;44;66757;20;1000,05
2293;44,06;66440;20;1000,08
2294;44,17;66335;20;1000,09
2295;44,24;66023;20;1000,08
2296;44,31;65867;20;1000,08
2297;44,43;65713;20;1000,08
2298;44,48;65406;20;1000,05
2299;44,54;65406;20;1000,08
2300;44,59;65102;19;1000,09
2301;44,62;64851;19;1000,08
2302;44,67;65508;19;1000,05
2303;44,7;65457;19;1000,05
2304;44,75;64552;19;1000,08
2305;44,79;64109;19;1000,08
2306;44,84;64701;19;1000,03
2307;44,87;63672;19;1000,05
2308;44,93;64453;19;1000,01
2309;45;64354;19;1000,03
2310;45,1;63865;19;1000,03
2311;45,18;63527;19;1000,05
2312;45,25;63384;19;1000,03
2313;45,29;63241;19;1000,05
2314;45,34;63146;19;1000,03
2315;45,44;62581;19;1000,03
2316;45,48;63051;19;1000,05
2317;45,54;62257;19;1000,01
2318;45,57;62675;18;1000,01
2319;45,61;62211;18;999,99
2320;45,65;62535;18;1000,01
2321;45,69;62349;18;1000,01
2322;45,72;62027;18;1000,01
2323;45,77;62073;18;1000,01
2324;45,79;61845;18;999,99
2325;45,81;62073;18;999,99
2326;45,84;61573;18;999,98
2327;45,93;61663;18;1000,03
2328;45,96;61214;18;999,99
2329;46;61125;18;999,99
2330;46;61573;18;999,99
2331;46,03;61169;18;999,99
2332;46,08;61080;18;999,99
2333;46,17;61169;18;999,99
2334;46,2;60771;18;999,99
2335;46,26;60596;18;999,99
2336;46,29;60640;18;999,99
2337;46,31;60948;18;999,95
2338;46,38;60162;18;1000,01
2339;46,44;59777;18;999,99
2340;46,46;59905;18;1000,01
2341;46,47;60552;18;999,98
2342;46,5;60292;18;999,98
2343;46,5;59650;18;999,98
2344;46,52;60076;18;999,99
2345;46,57;59481;17;999,98
2346;46,59;59905;17;1000,01
2347;46,61;59948;17;1000,01
2348;46,64;59777;17;999,99
2349;46,65;59313;17;999,99
2350;46,64;59523;17;999,99
2351;46,7;59777;17;1000,01
2352;46,72;59313;17;999,98
2353;46,76;59565;17;999,98
2354;46,82;59063;17;999,98
2355;46,85;59230;17;999,99
2356;46,91;59188;17;999,99
2357;46,96;58897;17;999,95
2358;46,99;58815;17;999,95
2359;47,03;58651;17;999,99
2360;47,06;58610;17;1000,01
2361;47,08;58124;17;999,99
2362;47,09;58528;17;999,99
2363;47,08;58733;17;1000,01
2364;47,09;58366;17;1000,01
2365;47,11;58447;17;999,99
2366;47,11;58774;17;1000,01
2367;47,12;58043;17;1000,01
2368;47,12;58244;17;999,99
2369;47,14;57963;17;999,99
2370;47,17;58124;17;999,99
2371;47,24;58447;17;999,98
2372;47,27;57963;17;999,99
2373;47,32;58325;17;999,98
2374;47,35;58285;17;999,98
2375;47,39;57963;17;999,98
2376;47,44;58003;17;999,95
2377;47,47;58124;17;999,98
2378;47,48;57963;17;999,95
2379;47,48;57963;17;999,94
2380;47,52;57645;17;999,99
2381;47,56;57804;17;999,99
2382;47,54;57685;17;1000,01
