;temperature;gas;humidity;barometer
4050;54;75446;13;1007,15
4051;54;75042;13;1007,15
4052;54;75514;13;1007,15
4053;54;75176;13;1007,14
4054;54;75311;13;1007,15
4055;54,01;75514;13;1007,14
4056;54,01;75514;13;1007,15
4057;54,01;75109;13;1007,14
4058;54,01;75718;13;1007,14
4059;54,01;75109;13;1007,14
4060;54,01;74975;13;1007,15
4061;54,02;75243;13;1007,15
4062;54,01;75311;13;1007,15
4063;54,02;75446;13;1007,15
4064;54,01;75718;13;1007,14
4065;54,01;75243;13;1007,14
4066;54,02;75042;13;1007,15
4067;54,02;75042;13;1007,15
4068;54,02;75243;13;1007,15
4069;54,02;75176;13;1007,15
4070;54,01;75042;13;1007,15
4071;54,02;75378;13;1007,15
4072;54,02;74908;13;1007,15
4073;54,02;75378;13;1007,15
4074;54,02;75446;13;1007,15
4075;54,01;75176;13;1007,15
4076;54,02;75378;13;1007,15
4077;54,01;75378;13;1007,15
4078;54,02;75378;13;1007,15
4079;54,02;75718;13;1007,15
4080;54,02;75378;13;1007,15
4081;54,02;75109;13;1007,15
4082;54,02;74975;13;1007,15
4083;54,02;75176;13;1007,15
4084;54,02;75650;13;1007,15
4085;54,01;75176;13;1007,12
4086;54,01;75378;13;1007,12
4087;54,01;75109;13;1007,15
4088;54,02;75109;13;1007,15
4089;54,01;75446;13;1007,15
4090;54,01;75378;13;1007,14
4091;54,02;75650;13;1007,14
4092;54,01;74975;13;1007,14
4093;54,02;75582;13;1007,15
4094;54,02;75378;13;1007,15
4095;54,02;75446;13;1007,14
4096;54,02;75718;13;1007,14
4097;54,02;75514;13;1007,14
4098;54,02;75176;13;1007,15
4099;54,02;75514;13;1007,15
4100;54,02;75311;13;1007,14
4101;54,02;75243;13;1007,15
4102;54,02;75311;13;1007,15
4103;54,02;75311;13;1007,15
4104;54,02;75446;13;1007,15
4105;54,02;75514;13;1007,14
4106;54,01;75243;13;1007,15
4107;54,02;75582;13;1007,14
4108;54,03;75243;13;1007,14
4109;54,02;75855;13;1007,14
4110;54,02;75109;13;1007,14
4111;54,02;75109;13;1007,14
4112;54,03;75311;13;1007,14
4113;54,03;75243;13;1007,14
4114;54,03;75718;13;1007,14
4115;54,03;75582;13;1007,14
4116;54,03;75243;13;1007,14
4117;54,03;75176;13;1007,14
4118;54,03;75378;13;1007,14
4119;54,03;75378;13;1007,12
4120;54,03;75378;13;1007,12
4121;54,03;75446;13;1007,14
4122;54,03;75378;13;1007,14
4123;54,03;75582;13;1007,14
4124;54,04;75378;13;1007,12
4125;54,03;75311;13;1007,15
4126;54,03;75243;13;1007,12
4127;54,03;75923;13;1007,12
4128;54,03;75311;13;1007,14
4129;54,04;75582;13;1007,15
4130;54,04;75243;13;1007,12
4131;54,03;75176;13;1007,12
4132;54,03;75378;13;1007,12
4133;54,03;75311;13;1007,14
4134;54,03;75786;13;1007,14
4135;54,03;75311;13;1007,12
4136;54,03;75786;13;1007,14
4137;54,03;75243;13;1007,14
4138;54,03;75582;13;1007,12
4139;54,03;75582;13;1007,14
4140;54,03;75650;13;1007,14
4141;54,03;75650;13;1007,14
4142;54,03;75786;13;1007,14
4143;54,03;75718;13;1007,12
4144;54,03;75718;13;1007,14
4145;54,03;75446;13;1007,14
4146;54,03;75378;13;1007,12
4147;54,02;75923;13;1007,14
4148;54,02;75243;13;1007,14
4149;54,02;75446;13;1007,14
4150;54,02;75042;13;1007,14
4151;54,03;75582;13;1007,14
4152;54,03;75582;13;1007,14
4153;54,03;75311;13;1007,14
4154;54,03;76060;13;1007,14
4155;54,02;75514;13;1007,14
4156;54,02;76268;13;1007,14
4157;54,02;75446;13;1007,14
4158;54,03;75514;13;1007,14
4159;54,02;75650;13;1007,14
4160;54,02;75514;13;1007,15
4161;54,03;75992;13;1007,14
4162;54,02;75786;13;1007,14
4163;54,02;75786;13;1007,14
4164;54,02;75992;13;1007,14
4165;54,02;75311;13;1007,15
4166;54,02;75923;13;1007,12
4167;54,02;75514;13;1007,14
4168;54,02;75923;13;1007,14
4169;54,03;75786;13;1007,14
4170;54,02;75446;13;1007,12
4171;54,03;75582;13;1007,12
4172;54,03;75923;13;1007,12
4173;54,03;75718;13;1007,12
4174;54,03;75311;13;1007,12
4175;54,03;75992;13;1007,12
4176;54,03;75378;13;1007,12
4177;54,03;75582;13;1007,15
4178;54,04;75650;13;1007,15
4179;54,04;75786;13;1007,15
4180;54,04;75446;13;1007,14
4181;54,04;75582;13;1007,14
4182;54,04;75855;13;1007,14
4183;54,05;75514;13;1007,14
4184;54,05;75923;13;1007,14
4185;54,05;75446;13;1007,14
4186;54,05;75718;13;1007,14
4187;54,05;75243;13;1007,14
4188;54,05;75042;13;1007,12
4189;54,06;75311;13;1007,14
4190;54,06;75786;13;1007,14
4191;54,05;75923;13;1007,14
4192;54,06;75243;13;1007,14
4193;54,06;75176;13;1007,14
4194;54,05;75378;13;1007,14
4195;54,05;75786;13;1007,14
4196;54,05;75514;13;1007,12
4197;54,06;75514;13;1007,12
4198;54,05;75650;13;1007,14
4199;54,05;75514;13;1007,14
4200;54,05;75855;13;1007,14
4201;54,05;75582;13;1007,15
4202;54,05;75311;13;1007,14
4203;54,05;75650;13;1007,14
4204;54,05;75514;13;1007,14
4205;54,04;75446;13;1007,14
