;temperature;gas;humidity;barometer
900;41,46;88564;25;1007,6
901;41,47;89127;25;1007,6
902;41,5;89222;25;1007,62
903;41,52;88751;25;1007,6
904;41,54;89412;25;1007,6
905;41,56;88285;25;1007,62
906;41,58;89412;25;1007,62
907;41,6;89127;25;1007,6
908;41,63;88470;25;1007,64
909;41,65;88845;25;1007,62
910;41,67;88939;25;1007,62
911;41,7;87823;25;1007,62
912;41,71;88564;25;1007,62
913;41,73;88470;25;1007,62
914;41,76;88751;25;1007,6
915;41,77;88751;25;1007,59
916;41,79;88751;24;1007,64
917;41,82;88657;24;1007,62
918;41,83;88939;24;1007,64
919;41,86;88192;24;1007,6
920;41,88;88377;24;1007,66
921;41,9;88845;24;1007,62
922;41,92;89033;24;1007,64
923;41,95;87732;24;1007,64
924;41,96;87823;24;1007,53
925;41,98;87915;24;1007,59
926;42;87823;24;1007,66
927;42,02;87732;24;1007,66
928;42,04;88099;24;1007,64
929;42,06;87640;24;1007,62
930;42,08;88192;24;1007,62
931;42,09;88007;24;1007,62
932;42,12;87458;24;1007,62
933;42,14;87823;24;1007,62
934;42,16;87823;24;1007,64
935;42,19;87732;24;1007,6
936;42,21;88099;24;1007,62
937;42,23;87732;24;1007,6
938;42,25;87276;24;1007,64
939;42,26;88007;24;1007,64
940;42,28;87549;24;1007,62
941;42,31;87549;24;1007,64
942;42,33;87549;24;1007,64
943;42,35;87005;24;1007,62
944;42,37;87367;24;1007,66
945;42,39;87367;24;1007,62
946;42,41;87367;24;1007,62
947;42,43;87367;24;1007,6
948;42,45;87186;24;1007,6
949;42,47;87823;24;1007,66
950;42,5;87095;24;1007,66
951;42,52;86646;24;1007,62
952;42,54;87095;24;1007,62
953;42,56;87005;24;1007,64
954;42,58;86736;24;1007,66
955;42,6;86736;24;1007,64
956;42,63;86736;24;1007,62
957;42,65;87005;24;1007,62
958;42,67;87276;24;1007,59
959;42,7;87276;24;1007,6
960;42,71;86468;24;1007,6
961;42,72;86290;24;1007,62
962;42,76;86915;24;1007,64
963;42,77;86825;24;1007,6
964;42,78;86736;23;1007,59
965;42,81;86379;23;1007,59
966;42,83;87005;23;1007,59
967;42,85;86915;23;1007,59
968;42,88;86290;23;1007,59
969;42,89;85938;23;1007,59
970;42,91;86202;23;1007,64
971;42,93;86557;23;1007,6
972;42,94;86290;23;1007,62
973;42,97;86379;23;1007,62
974;42,99;85850;23;1007,6
975;43,01;86290;23;1007,62
976;43,02;85850;23;1007,59
977;43,05;85938;23;1007,6
978;43,06;86114;23;1007,57
979;43,07;86114;23;1007,59
980;43,11;85938;23;1007,59
981;43,12;85327;23;1007,6
982;43,14;85675;23;1007,59
983;43,16;86114;23;1007,6
984;43,17;86557;23;1007,62
985;43,2;85587;23;1007,62
986;43,22;85327;23;1007,6
987;43,22;85587;23;1007,57
988;43,24;86379;23;1007,6
989;43,27;84982;23;1007,57
990;43,28;85327;23;1007,57
991;43,3;86379;23;1007,57
992;43,32;85500;23;1007,57
993;43,34;86202;23;1007,57
994;43,36;85068;23;1007,57
995;43,38;85327;23;1007,59
996;43,4;84725;23;1007,57
997;43,42;85762;23;1007,59
998;43,44;85068;23;1007,59
999;43,45;85938;23;1007,57
1000;43,47;84982;23;1007,57
1001;43,5;85327;23;1007,57
1002;43,51;84639;23;1007,55
1003;43,52;84982;23;1007,57
1004;43,55;85414;23;1007,57
1005;43,56;85587;23;1007,57
1006;43,58;84725;23;1007,55
1007;43,6;85327;23;1007,55
1008;43,62;84639;23;1007,57
1009;43,64;85068;23;1007,57
1010;43,66;85154;23;1007,59
1011;43,68;84810;23;1007,57
1012;43,69;85240;23;1007,57
1013;43,72;84982;23;1007,57
1014;43,73;85154;23;1007,59
1015;43,75;85068;23;1007,59
1016;43,77;84896;22;1007,57
1017;43,79;84725;22;1007,55
1018;43,81;84810;22;1007,59
1019;43,83;84469;22;1007,6
1020;43,85;84896;22;1007,59
1021;43,87;84131;22;1007,57
1022;43,89;84384;22;1007,57
1023;43,9;84131;22;1007,57
1024;43,92;84725;22;1007,57
1025;43,95;84215;22;1007,57
1026;43,96;84047;22;1007,55
1027;43,97;84469;22;1007,55
1028;43,99;84554;22;1007,55
1029;44,01;84215;22;1007,57
1030;44,02;84469;22;1007,57
1031;44,04;84896;22;1007,55
1032;44,05;84469;22;1007,55
1033;44,07;84300;22;1007,57
1034;44,09;84047;22;1007,59
1035;44,1;84047;22;1007,57
1036;44,11;84300;22;1007,57
1037;44,13;84300;22;1007,59
1038;44,14;83963;22;1007,59
1039;44,16;84215;22;1007,57
1040;44,18;83963;22;1007,57
1041;44,18;84131;22;1007,55
1042;44,2;83879;22;1007,57
1043;44,22;84215;22;1007,57
