timestamp;temperature;gas;humidity;barometer;IAQ;IAQ_S;VOCS;accuracy
2025-09-23 12:00:00;47;109172.00;18.00;989.60;66;43;0.65;1
2025-09-23 12:00:30;47;109030.00;18.00;989.60;65;42;0.65;1
2025-09-23 12:01:00;47;109172.00;18.00;989.62;66;43;0.65;1
2025-09-23 12:01:30;47;109030.00;18.00;989.60;65;42;0.65;1
2025-09-23 12:02:00;47;108678.00;18.00;989.58;64;42;0.64;1
2025-09-23 12:02:30;47;109599.00;18.00;989.64;63;41;0.64;1
2025-09-23 12:03:00;47;110973.00;18.00;989.62;64;42;0.64;1
2025-09-23 12:03:30;46;108537.00;18.00;989.58;86;51;0.74;1
2025-09-23 12:04:00;46;110390.00;19.00;989.60;81;49;0.72;1
2025-09-23 12:04:30;46;110827.00;19.00;989.64;75;47;0.69;1
2025-09-23 12:05:00;46;109243.00;19.00;989.66;72;45;0.68;1
2025-09-23 12:05:30;47;108327.00;18.00;989.66;93;54;0.78;1
2025-09-23 12:06:00;47;107841.00;18.00;989.64;98;57;0.81;1
2025-09-23 12:06:30;48;106273.00;18.00;989.64;105;60;0.85;1
2025-09-23 12:07:00;48;106005.00;17.00;989.60;114;63;0.90;1
2025-09-23 12:07:30;48;104555.00;17.00;989.60;117;65;0.92;1
2025-09-23 12:08:00;49;104750.00;17.00;989.58;132;71;1.01;1
2025-09-23 12:08:30;49;101647.00;17.00;989.60;149;79;1.13;1
2025-09-23 12:09:00;49;98491.00;17.00;989.60;175;90;1.35;1
2025-09-23 12:09:30;49;95039.00;17.00;989.62;201;102;1.60;1
2025-09-23 12:10:00;50;93610.00;16.00;989.62;220;110;1.81;1
2025-09-23 12:10:30;50;95399.00;16.00;989.60;229;114;1.92;1
2025-09-23 12:11:00;50;94541.00;16.00;989.58;221;111;1.83;1
2025-09-23 12:11:30;50;93698.00;16.00;989.58;231;115;1.95;1
2025-09-23 12:12:00;50;91654.00;16.00;989.54;239;118;2.06;1
2025-09-23 12:12:30;51;91855.00;16.00;989.53;247;122;2.16;1
2025-09-23 12:13:00;51;90276.00;16.00;989.54;247;125;2.29;1
2025-09-23 12:13:30;51;90082.00;15.00;989.53;251;128;2.39;1
2025-09-23 12:14:00;51;89222.00;15.00;989.54;262;141;2.89;1
2025-09-23 12:14:30;51;89222.00;15.00;989.53;253;143;3.00;1
2025-09-23 12:15:00;51;90082.00;15.00;989.51;247;141;2.92;1
2025-09-23 12:15:30;51;90763.00;15.00;989.53;237;136;2.69;1
2025-09-23 12:16:00;51;90763.00;15.00;989.51;234;135;2.64;1
2025-09-23 12:16:30;51;91058.00;15.00;989.54;236;135;2.66;1
2025-09-23 12:17:00;52;91355.00;15.00;989.51;227;131;2.49;1
2025-09-23 12:17:30;52;90763.00;15.00;989.49;222;128;2.38;1
2025-09-23 12:18:00;52;89698.00;15.00;989.49;228;131;2.50;1
2025-09-23 12:18:30;52;88657.00;15.00;989.53;240;137;2.74;1
2025-09-23 12:19:00;52;89222.00;15.00;989.51;237;136;2.68;1
2025-09-23 12:19:30;52;87276.00;15.00;989.49;249;143;2.98;1
2025-09-23 12:20:00;52;87915.00;15.00;989.51;245;141;2.91;1
2025-09-23 12:20:30;52;86825.00;15.00;989.51;249;145;3.07;1
2025-09-23 12:21:00;52;86557.00;15.00;989.53;245;144;3.02;1
2025-09-23 12:21:30;52;87186.00;15.00;989.54;235;138;2.78;1
2025-09-23 12:22:00;52;87186.00;15.00;989.54;232;136;2.70;1
2025-09-23 12:22:30;52;85762.00;15.00;989.54;243;142;2.96;1
2025-09-23 12:23:00;52;86646.00;14.00;989.54;247;144;3.05;1
2025-09-23 12:23:30;52;87186.00;14.00;989.58;249;146;3.12;1
2025-09-23 12:24:00;52;87095.00;14.00;989.58;251;153;3.50;2
2025-09-23 12:24:30;52;86290.00;14.00;989.58;251;156;3.64;2
2025-09-23 12:25:00;53;86290.00;14.00;989.56;250;161;3.93;2
2025-09-23 12:25:30;53;87549.00;14.00;989.60;240;156;3.62;2
2025-09-23 12:26:00;53;87549.00;14.00;989.56;237;154;3.53;2
2025-09-23 12:26:30;53;87186.00;14.00;989.53;241;156;3.65;3
2025-09-23 12:27:00;53;88099.00;14.00;989.47;233;152;3.41;3
2025-09-23 12:27:30;53;88099.00;14.00;989.49;231;150;3.33;3
2025-09-23 12:28:00;53;88007.00;14.00;989.47;228;148;3.22;3
2025-09-23 12:28:30;53;88751.00;14.00;989.45;225;146;3.14;3
2025-09-23 12:29:00;53;88751.00;14.00;989.43;220;143;3.01;3
2025-09-23 12:29:30;53;88377.00;14.00;989.45;220;143;2.99;3
2025-09-23 12:30:00;53;88845.00;14.00;989.45;217;141;2.91;3
2025-09-23 12:30:30;53;89127.00;14.00;989.45;212;138;2.79;3
2025-09-23 12:31:00;53;88657.00;14.00;989.47;211;137;2.75;3
2025-09-23 12:31:30;53;89127.00;14.00;989.47;208;136;2.68;3
2025-09-23 12:32:00;53;89222.00;14.00;989.45;203;133;2.57;3
2025-09-23 12:32:30;53;88845.00;14.00;989.45;203;133;2.56;3
2025-09-23 12:33:00;53;89412.00;14.00;989.45;201;131;2.52;3
2025-09-23 12:33:30;54;89794.00;14.00;989.53;195;128;2.37;3
2025-09-23 12:34:00;54;89222.00;14.00;989.54;196;129;2.41;3
2025-09-23 12:34:30;54;90179.00;14.00;989.51;194;127;2.36;3
2025-09-23 12:35:00;54;90373.00;14.00;989.56;189;124;2.24;3
2025-09-23 12:35:30;54;90470.00;14.00;989.58;187;123;2.19;3
2025-09-23 12:36:00;54;90665.00;14.00;989.60;184;121;2.14;3
2025-09-23 12:36:30;54;90960.00;14.00;989.60;177;116;2.00;3
2025-09-23 12:37:00;54;91754.00;14.00;989.62;172;113;1.91;3
2025-09-23 12:37:30;53;92767.00;14.00;989.58;166;110;1.82;3
2025-09-23 12:38:00;53;93489.00;14.00;989.62;160;106;1.72;3
2025-09-23 12:38:30;53;94118.00;14.00;989.66;156;104;1.65;3
2025-09-23 12:39:00;53;94329.00;14.00;989.64;154;103;1.63;3
2025-09-23 12:39:30;53;94861.00;14.00;989.62;154;102;1.62;3
2025-09-23 12:40:00;53;94968.00;14.00;989.64;153;102;1.61;3
2025-09-23 12:40:30;53;94647.00;14.00;989.62;153;102;1.60;3
2025-09-23 12:41:00;53;94647.00;14.00;989.64;153;102;1.60;3
2025-09-23 12:41:30;53;94647.00;14.00;989.62;152;102;1.60;3
2025-09-23 12:42:00;53;94861.00;14.00;989.66;150;100;1.57;3
2025-09-23 12:42:30;53;95076.00;14.00;989.72;148;99;1.53;3
2025-09-23 12:43:00;53;93802.00;14.00;989.70;160;106;1.71;3
2025-09-23 12:43:30;53;94329.00;14.00;989.70;160;106;1.70;3
2025-09-23 12:44:00;53;94754.00;14.00;989.70;159;105;1.69;3
