;temperatureEreignis;gasEreignis;humidityEreignis;barometerEreignis
114;29,26;79439;36;999,08
115;29,27;76129;36;999,09
116;29,27;75992;36;999,08
117;29,28;73855;36;999,08
118;29,27;70985;37;999,09
119;29,28;69288;37;999,08
120;29,28;68554;37;999,08
121;29,28;68109;37;999,09
122;29,28;67291;37;999,08
123;29,29;65919;37;999,09
124;29,3;67023;37;999,09
125;29,3;65713;37;999,09
126;29,29;65254;37;999,09
127;29,3;63624;37;999,09
128;29,29;62862;37;999,09
129;29,3;62165;37;999,09
130;29,3;62442;37;999,09
131;29,3;61845;37;999,09
132;29,3;60992;37;999,09
133;29,3;61303;37;999,09
134;29,31;59105;37;999,12
135;29,31;59439;37;999,12
136;29,31;59990;37;999,12
137;29,32;59188;37;999,12
138;29,32;59313;37;999,12
139;29,32;58856;37;999,12
140;29,32;58083;37;999,12
141;29,32;57883;37;999,09
142;29,32;57566;37;999,12
143;29,33;57136;37;999,13
144;29,33;56865;37;999,12
145;29,32;55697;37;999,09
146;29,33;56788;37;999,13
147;29,34;56294;37;999,13
148;29,33;55919;37;999,13
149;29,33;55076;37;999,13
150;29,33;54682;37;999,13
151;29,33;55550;37;999,13
152;29,34;54259;37;999,13
153;29,33;55623;38;999,13
154;29,33;54329;37;999,13
155;29,33;54753;37;999,13
156;29,34;54470;38;999,16
157;29,33;54364;38;999,13
158;29,34;54294;38;999,13
159;29,34;53980;38;999,13
160;29,34;53945;38;999,13
161;29,34;53945;38;999,13
162;29,34;53194;38;999,13
163;29,35;52398;38;999,21
164;29,35;53127;38;999,2
165;29,35;52464;38;999,2
166;29,36;52859;38;999,2
167;29,36;52694;38;999,2
168;29,35;52138;38;999,2
169;29,36;51881;38;999,2
170;29,36;51913;38;999,2
171;29,36;51785;38;999,2
172;29,37;52365;38;999,2
173;29,37;52496;38;999,23
174;29,37;51499;38;999,2
175;29,37;51977;38;999,21
176;29,37;51436;38;999,21
177;29,37;52009;38;999,21
178;29,37;51913;38;999,21
179;29,37;51217;38;999,21
180;29,38;51913;38;999,21
181;29,38;51468;38;999,21
182;29,37;50999;38;999,21
183;29,38;50753;38;999,21
184;29,38;50783;38;999,21
185;29,38;51721;38;999,2
