;temperatureEreignis;;gasEreignis;;humidityEreignis;;barometerEreignis
12099;28,63;12099;93802;12099;40;12099;1003,11
12100;28,63;12100;93489;12100;40;12100;1003,13
12101;28,63;12101;93178;12101;40;12101;1003,11
12102;28,64;12102;92870;12102;40;12102;1003,11
12103;28,63;12103;93282;12103;40;12103;1003,11
12104;28,63;12104;93593;12104;40;12104;1003,11
12105;28,63;12105;93075;12105;40;12105;1003,11
12106;28,63;12106;93178;12106;40;12106;1003,11
12107;28,63;12107;93178;12107;40;12107;1003,11
12108;28,63;12108;93178;12108;40;12108;1003,11
12109;28,63;12109;94541;12109;40;12109;1003,13
12110;28,63;12110;93282;12110;40;12110;1003,13
12111;28,63;12111;93075;12111;40;12111;1003,07
12112;28,63;12112;93593;12112;40;12112;1003,11
12113;28,63;12113;93385;12113;40;12113;1003,13
12114;28,63;12114;93593;12114;40;12114;1003,11
12115;28,63;12115;93489;12115;40;12115;1003,11
12116;28,62;12116;93802;12116;40;12116;1003,07
12117;28,63;12117;93075;12117;40;12117;1003,11
12118;28,63;12118;93489;12118;40;12118;1003,13
12119;28,63;12119;93282;12119;40;12119;1003,11
12120;28,63;12120;93802;12120;40;12120;1003,09
12121;28,63;12121;93802;12121;40;12121;1003,11
12122;28,63;12122;94012;12122;40;12122;1003,11
12123;28,63;12123;93802;12123;40;12123;1003,09
12124;28,62;12124;93907;12124;40;12124;1003,09
12125;28,63;12125;93802;12125;40;12125;1003,13
12126;28,63;12126;93698;12126;40;12126;1003,11
12127;28,63;12127;93593;12127;40;12127;1003,13
12128;28,62;12128;93385;12128;40;12128;1003,09
12129;28,63;12129;93907;12129;40;12129;1003,11
12130;28,63;12130;93698;12130;40;12130;1003,11
12131;28,63;12131;93385;12131;40;12131;1003,11
12132;28,63;12132;93489;12132;40;12132;1003,09
12133;28,62;12133;93282;12133;40;12133;1003,09
12134;28,63;12134;92972;12134;40;12134;1003,09
12135;28,63;12135;93282;12135;40;12135;1003,09
12136;28,63;12136;94329;12136;40;12136;1003,11
12137;28,63;12137;93075;12137;40;12137;1003,11
