timestamp;temperature;gas;humidity;barometer;IAQ;IAQ_S;VOCS;accuracy
2025-09-30 11:05:38;29.41;67023.00;39.00;1002.56;126;139;2.82;3
2025-09-30 11:05:39;29.41;67725.00;39.00;1002.56;126;139;2.82;3
2025-09-30 11:05:40;29.41;67780.00;39.00;1002.56;126;139;2.82;3
2025-09-30 11:05:41;29.41;66651.00;39.00;1002.54;126;140;2.85;3
2025-09-30 11:05:42;29.41;67507.00;39.00;1002.56;126;140;2.85;3
2025-09-30 11:05:43;29.41;67345.00;39.00;1002.56;126;140;2.85;3
2025-09-30 11:05:44;29.40;66970.00;39.00;1002.54;127;141;2.89;3
2025-09-30 11:05:45;29.41;67023.00;39.00;1002.54;127;141;2.89;3
2025-09-30 11:05:46;29.41;67780.00;39.00;1002.58;127;141;2.89;3
2025-09-30 11:05:47;29.41;67237.00;39.00;1002.56;127;140;2.86;3
2025-09-30 11:05:48;29.41;67023.00;39.00;1002.56;127;140;2.86;3
2025-09-30 11:05:49;29.41;66598.00;39.00;1002.56;127;140;2.86;3
2025-09-30 11:05:50;29.42;66810.00;39.00;1002.56;128;142;2.94;3
2025-09-30 11:05:51;29.41;67291.00;39.00;1002.56;128;142;2.94;3
2025-09-30 11:05:52;29.41;66651.00;39.00;1002.56;128;142;2.94;3
2025-09-30 11:05:53;29.41;67291.00;39.00;1002.56;128;141;2.92;3
2025-09-30 11:05:54;29.42;66493.00;39.00;1002.56;128;141;2.92;3
2025-09-30 11:05:55;29.42;67834.00;39.00;1002.56;128;141;2.92;3
2025-09-30 11:05:56;29.41;67184.00;39.00;1002.56;128;141;2.91;3
2025-09-30 11:05:57;29.41;68109.00;39.00;1002.56;128;141;2.91;3
2025-09-30 11:05:58;29.41;67291.00;39.00;1002.56;128;141;2.91;3
2025-09-30 11:05:59;29.42;68109.00;39.00;1002.56;128;142;2.93;3
2025-09-30 11:06:00;29.41;67889.00;39.00;1002.56;128;142;2.93;3
2025-09-30 11:06:01;29.42;68442.00;39.00;1002.56;128;142;2.93;3
2025-09-30 11:06:02;29.42;67291.00;39.00;1002.54;128;142;2.94;3
2025-09-30 11:06:03;29.41;67562.00;39.00;1002.56;128;142;2.94;3
2025-09-30 11:06:04;29.41;67999.00;39.00;1002.56;128;142;2.94;3
2025-09-30 11:06:05;29.41;67345.00;39.00;1002.56;128;141;2.92;3
2025-09-30 11:06:06;29.42;67291.00;39.00;1002.56;128;141;2.92;3
2025-09-30 11:06:07;29.41;69117.00;39.00;1002.56;128;141;2.92;3
