;temperature;gas;humidity;barometer
300;30,48;76896;41;1005,01
301;30,49;76825;41;1005
302;30,51;76825;41;1005
303;30,5;77463;41;1004,98
304;30,51;77677;40;1005,01
305;30,52;76966;40;1005
306;30,52;77966;40;1005
307;30,52;77534;40;1004,98
308;30,53;78402;40;1005
309;30,54;77037;40;1005
310;30,54;77606;40;1005
311;30,54;76966;41;1004,98
312;30,54;77463;41;1004,98
313;30,54;77821;41;1005
314;30,55;77606;41;1005
315;30,55;77463;40;1005
316;30,55;77821;41;1005,01
317;30,55;77677;41;1005
318;30,55;76896;41;1005
319;30,55;77320;41;1005
320;30,55;76406;41;1005
321;30,56;76337;41;1005
322;30,56;75176;41;1005
323;30,56;73855;41;1005,01
324;30,57;72642;42;1005
325;30,58;72020;43;1005,01
326;30,59;71896;43;1005
327;30,6;70926;43;1005
328;30,6;70628;44;1004,98
329;30,61;70391;44;1005
330;30,62;70332;44;1005
331;30,62;70097;44;1004,98
332;30,63;70391;44;1005
333;30,63;69981;44;1005
334;30,64;69518;44;1005
335;30,64;70391;44;1004,98
336;30,64;70509;44;1005,04
337;30,65;71226;44;1005,04
338;30,66;71590;44;1005,04
339;30,67;71651;43;1005,04
340;30,67;72831;43;1005,04
341;30,67;72831;43;1005,01
342;30,67;73212;43;1005,04
343;30,68;73212;42;1005,04
344;30,67;73467;42;1005,01
345;30,67;73855;42;1005,04
346;30,68;73985;42;1005,04
347;30,68;73275;42;1005,01
348;30,67;71166;42;1005,01
349;30,68;70215;43;1005,04
350;30,69;69806;43;1005,04
351;30,69;70215;43;1005,04
352;30,69;69806;43;1005,01
353;30,7;69174;44;1005,01
354;30,71;68331;44;1005,04
355;30,72;68386;44;1005,04
356;30,72;67944;44;1005,04
357;30,72;67834;44;1005,01
358;30,73;68442;45;1005,05
359;30,74;67725;45;1005,04
360;30,75;67237;45;1005,01
361;30,76;66074;45;1005,04
362;30,76;65713;45;1005,04
363;30,78;65559;46;1005,04
364;30,78;65508;46;1005,05
365;30,78;65508;46;1005,01
366;30,78;65764;46;1005,01
367;30,79;66074;45;1005,05
368;30,79;66598;45;1005,04
369;30,8;66757;45;1005,01
370;30,8;67023;45;1005,04
371;30,8;67616;44;1005,04
372;30,8;67616;44;1005,04
373;30,8;68666;44;1005,01
374;30,81;68947;44;1005,05
375;30,81;69004;43;1005,04
376;30,82;69633;43;1005,04
377;30,82;69691;43;1005,04
378;30,82;70273;42;1005,04
379;30,82;70568;42;1005,04
380;30,83;70926;42;1005,05
381;30,83;71287;42;1005,05
382;30,83;72205;42;1005,05
383;30,83;71226;42;1005,04
384;30,83;70866;42;1005,01
385;30,84;70156;42;1005,01
386;30,85;68722;42;1005,05
387;30,85;67562;42;1005,04
388;30,85;66493;43;1005,04
389;30,86;65153;43;1005,01
390;30,87;63575;44;1005,08
391;30,88;63004;44;1005,05
392;30,88;62257;45;1005,05
393;30,88;62488;45;1005,05
394;30,88;62675;45;1005,05
395;30,88;63288;45;1005,05
396;30,88;63527;44;1005,04
397;30,89;64256;44;1005,08
398;30,9;64851;44;1005,05
399;30,9;65406;43;1005,05
400;30,91;65457;43;1005,05
401;30,91;66810;43;1005,08
402;30,91;66704;43;1005,08
403;30,92;66757;43;1005,05
404;30,92;67507;42;1005,05
405;30,93;68054;42;1005,05
406;30,93;68220;42;1005,05
407;30,94;68891;42;1005,05
408;30,94;68610;41;1005,04
409;30,94;68947;41;1005,05
410;30,95;69174;41;1005,08
411;30,96;70039;41;1005,08
412;30,96;69518;41;1005,08
413;30,96;69575;41;1005,05
414;30,96;70215;41;1005,08
415;30,97;70806;41;1005,08
416;30,97;70332;40;1005,08
417;30,97;70687;40;1005,05
418;30,97;71468;40;1005,08
419;30,97;70806;40;1005,08
420;30,97;71106;40;1005,09
421;30,97;70628;40;1005,08
422;30,97;69922;40;1005,05
423;30,98;69575;40;1005,05
424;30,98;68834;41;1005,08
425;30,99;69004;41;1005,08
426;30,99;67834;41;1005,04
427;30,99;66283;41;1005,08
428;30,99;63914;42;1005,05
429;31;63962;42;1005,05
430;31;63384;43;1005,05
431;31;63720;43;1005,04
432;31;63624;43;1005,04
433;31;63865;43;1005,08
434;31,01;63914;43;1005,05
435;31,02;63336;43;1005,05
436;31,02;63241;43;1005,04
437;31,02;63193;43;1005,08
438;31,03;61936;43;1005,05
439;31,04;60119;43;1005,05
440;31,06;57963;44;1005,05
441;31,07;57292;44;1005,04
442;31,08;56712;45;1005,08
443;31,1;55623;45;1005,08
444;31,1;55697;46;1005,08
445;31,11;55257;46;1005,08
