;temperature;gas;humidity;barometer
20;28,94;97917;40;1008,39
21;28,94;95201;40;1008,39
22;28,94;93610;40;1008,41
23;28,96;94329;40;1008,41
24;28,96;94012;40;1008,41
25;28,95;93075;40;1008,41
26;28,96;92157;40;1008,39
27;28,96;91157;40;1008,39
28;28,96;89794;40;1008,41
29;28,96;88751;40;1008,39
30;28,96;89222;40;1008,39
31;28,97;88470;41;1008,41
32;28,97;87732;41;1008,41
33;28,97;88192;41;1008,41
34;28,97;87640;41;1008,41
35;28,97;87005;41;1008,41
36;28,98;86202;41;1008,39
37;28,99;86114;41;1008,39
38;28,98;86557;41;1008,39
39;28,99;86025;41;1008,41
40;28,99;86290;41;1008,41
41;29;86025;41;1008,41
42;29;85414;41;1008,39
43;29;85240;41;1008,39
44;29;84300;41;1008,39
45;29;84300;41;1008,41
46;29;84725;41;1008,39
47;29,01;84554;41;1008,39
48;29;84300;41;1008,41
49;29;84384;41;1008,39
50;29;84810;41;1008,39
51;29,01;84300;41;1008,37
52;29;84131;41;1008,39
53;29,01;83963;41;1008,41
54;29,01;83879;41;1008,37
55;29,01;83629;41;1008,41
56;29,01;84047;41;1008,39
57;29,01;84047;41;1008,39
58;29,02;84047;41;1008,39
59;29,02;84047;41;1008,39
60;29,02;83879;41;1008,39
61;29,02;84047;41;1008,37
62;29,03;84215;41;1008,39
63;29,03;84810;41;1008,39
64;29,03;84215;41;1008,39
65;29,03;83795;41;1008,41
66;29,03;84131;41;1008,37
67;29,03;84047;41;1008,39
68;29,03;84300;41;1008,37
69;29,04;84384;41;1008,39
70;29,04;83879;41;1008,37
71;29,04;84554;41;1008,39
72;29,05;84810;41;1008,41
73;29,04;84725;41;1008,37
74;29,05;84896;41;1008,37
75;29,05;84131;41;1008,37
76;29,05;84982;41;1008,39
77;29,05;85327;41;1008,39
78;29,04;85240;41;1008,37
79;29,05;85154;41;1008,37
80;29,06;85068;41;1008,39
81;29,06;85500;41;1008,37
82;29,06;84725;41;1008,37
83;29,06;85327;41;1008,41
84;29,06;84896;41;1008,37
85;29,06;85068;41;1008,37
86;29,06;85500;41;1008,37
87;29,07;85587;41;1008,39
88;29,07;85850;41;1008,39
89;29,07;85938;41;1008,39
90;29,07;85154;41;1008,37
91;29,07;85587;41;1008,37
92;29,08;85587;41;1008,37
93;29,08;86114;41;1008,37
94;29,08;85850;41;1008,37
95;29,08;85762;41;1008,39
96;29,08;86290;41;1008,37
97;29,08;86290;41;1008,37
98;29,09;86025;41;1008,39
99;29,09;87367;41;1008,39
100;29,09;85938;41;1008,39
101;29,09;86379;41;1008,39
102;29,09;86290;41;1008,39
103;29,09;86379;41;1008,39
104;29,09;86202;41;1008,39
105;29,1;85938;41;1008,37
106;29,1;86468;41;1008,37
107;29,1;85587;41;1008,37
108;29,1;86825;41;1008,37
109;29,1;86202;41;1008,37
110;29,1;86379;41;1008,39
111;29,11;86202;41;1008,39
112;29,11;86557;41;1008,39
113;29,11;86290;41;1008,39
114;29,11;86468;41;1008,39
115;29,11;86114;41;1008,39
116;29,12;86646;41;1008,39
117;29,12;86290;41;1008,37
118;29,12;86736;41;1008,37
119;29,12;86825;41;1008,37
120;29,12;87186;41;1008,37
121;29,13;86825;41;1008,37
122;29,13;86646;41;1008,37
123;29,13;87549;41;1008,43
124;29,13;86468;41;1008,43
125;29,13;87005;41;1008,43
126;29,13;86915;41;1008,43
127;29,13;87005;41;1008,41
128;29,13;87276;41;1008,43
129;29,13;86825;41;1008,43
130;29,13;87005;41;1008,41
131;29,14;86915;41;1008,41
132;29,14;87549;41;1008,41
133;29,13;87549;41;1008,41
134;29,14;87005;41;1008,41
135;29,14;87186;41;1008,41
136;29,14;86468;41;1008,41
137;29,14;87095;41;1008,41
138;29,14;87276;41;1008,41
139;29,14;87549;41;1008,39
140;29,15;87367;41;1008,41
141;29,15;87367;41;1008,41
142;29,15;87276;41;1008,41
143;29,16;86825;41;1008,43
144;29,16;87005;41;1008,41
145;29,15;87367;41;1008,41
146;29,16;87640;41;1008,41
147;29,16;87915;41;1008,41
148;29,15;88751;41;1008,39
149;29,16;89033;41;1008,41
150;29,16;88751;41;1008,41
151;29,16;89890;41;1008,41
