;temperature;gas;humidity;barometer
500;28,47;80814;38;1002,02
501;28,47;81205;38;1002,02
502;28,47;80970;38;1002,02
503;28,47;80659;38;1002,02
504;28,47;80970;38;1002,02
505;28,47;80892;38;1002,02
506;28,47;81126;38;1002,02
507;28,47;81283;38;1002,07
508;28,47;81126;38;1002,07
509;28,47;81599;38;1002
510;28,47;81362;38;1002,06
511;28,47;81283;38;1002,07
512;28,47;81126;38;1002,06
513;28,47;80970;38;1002,07
514;28,47;81362;38;1002,02
515;28,48;81205;38;1002,07
516;28,47;80892;38;1002,07
517;28,47;81126;38;1002,07
518;28,47;80970;38;1002,07
519;28,47;81126;38;1002,07
520;28,47;81362;38;1002,07
521;28,47;80970;38;1002,06
522;28,48;80582;38;1002,06
523;28,48;80582;38;1002,07
524;28,47;81283;38;1002,06
525;28,48;81520;38;1002,06
526;28,48;81362;38;1002,06
527;28,48;81362;38;1002,06
528;28,48;81283;38;1002,06
529;28,47;81599;38;1002,06
530;28,47;80351;38;1002,06
531;28,49;81126;38;1002,06
532;28,48;80659;38;1002,06
533;28,48;81048;38;1002,06
534;28,48;80659;38;1002,06
535;28,48;80505;38;1002,06
536;28,48;81599;38;1002,06
537;28,48;80970;38;1002,06
538;28,48;80659;38;1002,06
539;28,48;80814;38;1002,06
540;28,48;80351;38;1002,06
541;28,48;80970;38;1002,06
542;28,48;80970;38;1002,06
543;28,48;81126;38;1002,06
544;28,48;80737;38;1002,06
545;28,48;80582;38;1002,06
546;28,48;80505;38;1002,06
547;28,48;80737;38;1002,06
548;28,48;80121;38;1002,07
549;28,47;80659;38;1002,06
550;28,48;81441;38;1002,07
551;28,48;80970;38;1002,06
552;28,48;80274;38;1002,06
553;28,48;80274;38;1002,06
554;28,48;80892;38;1002,07
555;28,48;81205;38;1002,06
556;28,48;81126;38;1002,06
557;28,48;80197;38;1002,06
558;28,48;81283;38;1002,06
559;28,48;81205;38;1002,06
560;28,49;81283;38;1002,06
561;28,48;81126;38;1002,06
562;28,49;81126;38;1002,06
563;28,49;80737;38;1002,06
564;28,48;81283;38;1002,06
565;28,48;80659;38;1002,06
566;28,49;80892;38;1002,06
567;28,48;80970;38;1002,06
568;28,49;80582;38;1002,06
569;28,49;81205;38;1002,06
570;28,49;81126;38;1002,06
571;28,48;81048;38;1002,06
572;28,48;81205;38;1002,06
573;28,49;80274;38;1002,07
574;28,49;80505;38;1002,06
575;28,49;80970;38;1002,06
576;28,49;81441;38;1002,06
577;28,49;81362;38;1002,06
578;28,49;80659;38;1002,06
579;28,49;79741;38;1002,09
580;28,49;81205;38;1002,06
581;28,48;80892;38;1002,06
582;28,49;81441;38;1002,06
583;28,49;81441;38;1002,06
584;28,49;80505;38;1002,07
585;28,49;80892;38;1002,07
586;28,49;80892;38;1002,09
587;28,49;80351;38;1002,07
588;28,49;81048;38;1002,07
589;28,49;80814;38;1002,06
590;28,49;80970;38;1002,07
591;28,49;80428;38;1002,06
592;28,49;80505;38;1002,09
593;28,49;81048;38;1002,06
594;28,49;81126;38;1002,07
595;28,49;80274;38;1002,07
596;28,49;80737;38;1002,06
597;28,49;80197;38;1002,09
598;28,49;80814;38;1002,07
599;28,49;80892;38;1002,07
600;28,49;80970;38;1002,07
601;28,49;80505;38;1002,09
602;28,49;81048;38;1002,07
603;28,49;80197;38;1002,07
604;28,5;81126;38;1002,09
605;28,49;80970;38;1002,06
606;28,49;80351;38;1002,06
607;28,49;81283;38;1002,06
608;28,49;80274;38;1002,09
609;28,49;80892;38;1002,09
610;28,49;80892;38;1002,09
611;28,49;80659;38;1002,09
612;28,49;80970;38;1002,09
613;28,49;81126;38;1002,09
614;28,49;80428;38;1002,09
615;28,49;80505;38;1002,09
616;28,49;80197;38;1002,09
617;28,5;80274;38;1002,06
618;28,49;80892;38;1002,07
619;28,49;80814;38;1002,09
620;28,49;80428;38;1002,09
621;28,5;80814;38;1002,09
622;28,49;80351;38;1002,11
623;28,49;80351;38;1002,09
624;28,5;80197;38;1002,09
625;28,49;80892;38;1002,09
626;28,5;80659;38;1002,09
627;28,5;80045;38;1002,09
628;28,5;80814;38;1002,09
629;28,5;81048;38;1002,06
630;28,49;80582;38;1002,09
631;28,49;80970;38;1002,06
632;28,49;80659;38;1002,11
633;28,49;80045;38;1002,09
634;28,5;80892;38;1002,11
635;28,5;80121;38;1002,09
636;28,49;80814;38;1002,09
637;28,49;80737;38;1002,11
638;28,5;80582;38;1002,09
639;28,49;79968;38;1002,11
640;28,49;80428;38;1002,09
641;28,49;80121;38;1002,07
642;28,49;80274;38;1002,11
643;28,49;80045;38;1002,11
644;28,49;80505;38;1002,11
645;28,49;80045;38;1002,11
646;28,5;80582;38;1002,09
647;28,5;80892;38;1002,11
648;28,49;80197;38;1002,09
649;28,49;80045;38;1002,11
650;28,49;80892;38;1002,11
651;28,49;80582;38;1002,11
652;28,49;80659;38;1002,09
653;28,49;80045;38;1002,09
654;28,49;80892;38;1002,11
655;28,5;81126;38;1002,11
656;28,5;79892;38;1002,11
657;28,49;81205;38;1002,11
658;28,49;80892;38;1002,11
659;28,49;80274;38;1002,09
660;28,5;80197;38;1002,09
661;28,5;80428;38;1002,11
662;28,49;79968;38;1002,09
663;28,49;80274;38;1002,11
664;28,49;80659;38;1002,11
665;28,5;80351;38;1002,07
666;28,49;80351;38;1002,13
667;28,49;80045;38;1002,11
668;28,49;80970;38;1002,11
669;28,5;80505;38;1002,11
670;28,49;80582;38;1002,11
671;28,49;80814;38;1002,11
672;28,49;79741;38;1002,13
673;28,49;79968;38;1002,13
674;28,49;80428;38;1002,11
675;28,49;80659;38;1002,11
676;28,49;80045;38;1002,11
677;28,49;80970;38;1002,11
678;28,49;80814;38;1002,11
679;28,5;80197;38;1002,13
680;28,49;79590;38;1002,13
681;28,49;80814;38;1002,13
682;28,49;80274;38;1002,11
683;28,5;80121;38;1002,13
684;28,5;80274;38;1002,11
685;28,5;80121;38;1002,13
686;28,5;80045;38;1002,11
687;28,5;80892;38;1002,13
688;28,5;80121;38;1002,13
689;28,5;80505;38;1002,11
690;28,49;80582;38;1002,13
691;28,5;80814;38;1002,11
692;28,5;80737;38;1002,13
693;28,5;80659;38;1002,13
694;28,49;80351;38;1002,13
695;28,5;80045;38;1002,11
696;28,49;80659;38;1002,13
697;28,5;80197;38;1002,13
698;28,49;80737;38;1002,13
699;28,5;79892;38;1002,13
700;28,49;80659;38;1002,13
701;28,49;80582;38;1002,13
702;28,5;80351;38;1002,11
703;28,49;80197;38;1002,13
704;28,5;80659;38;1002,13
705;28,5;80892;38;1002,11
706;28,5;80197;38;1002,11
707;28,5;80582;38;1002,13
708;28,5;80505;38;1002,11
709;28,5;80121;38;1002,11
710;28,49;80970;38;1002,13
711;28,49;80582;38;1002,11
712;28,5;80274;38;1002,11
713;28,5;81048;38;1002,11
714;28,5;80659;38;1002,11
715;28,5;80659;38;1002,11
716;28,5;80582;38;1002,11
717;28,5;79892;38;1002,11
718;28,5;80892;38;1002,11
719;28,5;80892;38;1002,11
720;28,5;80197;38;1002,11
721;28,5;80045;38;1002,11
722;28,51;81678;38;1002,11
723;28,5;80197;38;1002,11
724;28,5;80121;38;1002,11
725;28,5;80505;38;1002,09
726;28,51;80582;38;1002,11
727;28,51;80737;38;1002,13
728;28,51;80659;38;1002,11
729;28,51;80659;38;1002,11
730;28,5;79968;38;1002,13
731;28,51;80582;38;1002,11
732;28,5;80505;38;1002,09
733;28,51;80197;38;1002,11
734;28,5;80274;38;1002,13
735;28,51;80351;38;1002,11
736;28,5;80351;38;1002,11
737;28,5;80892;38;1002,11
738;28,5;79892;38;1002,11
739;28,5;80121;38;1002,11
740;28,5;80428;38;1002,11
741;28,5;80582;38;1002,11
742;28,5;80197;38;1002,13
743;28,5;79892;38;1002,11
744;28,5;80737;38;1002,13
745;28,51;80505;38;1002,13
746;28,51;80582;38;1002,11
747;28,5;80197;38;1002,11
748;28,5;80582;38;1002,11
749;28,5;79968;38;1002,11
750;28,5;80045;38;1002,11
751;28,5;80659;38;1002,11
752;28,51;80045;38;1002,11
753;28,51;80197;38;1002,13
754;28,51;80505;38;1002,13
755;28,51;80582;38;1002,11
756;28,51;80274;38;1002,11
757;28,5;80659;38;1002,13
758;28,51;80197;38;1002,11
759;28,51;80892;38;1002,13
760;28,51;80274;38;1002,13
761;28,51;80121;38;1002,15
762;28,51;79741;38;1002,09
763;28,51;80274;38;1002,13
764;28,51;80274;38;1002,11
765;28,51;80351;38;1002,13
766;28,51;80428;38;1002,13
767;28,51;80121;38;1002,13
768;28,51;80197;38;1002,11
769;28,51;80582;38;1002,11
770;28,51;80274;38;1002,11
771;28,51;80659;38;1002,13
772;28,51;80505;38;1002,11
773;28,52;80274;38;1002,13
774;28,51;79817;38;1002,09
775;28,51;80505;38;1002,13
776;28,51;80351;38;1002,13
777;28,51;80505;38;1002,13
778;28,51;80045;38;1002,11
779;28,51;79817;38;1002,13
780;28,51;79968;38;1002,11
781;28,51;80197;38;1002,11
782;28,51;80505;38;1002,11
783;28,51;80351;38;1002,13
784;28,51;80121;38;1002,13
785;28,52;80505;38;1002,11
786;28,51;80351;38;1002,07
787;28,51;80582;38;1002,13
788;28,51;80505;38;1002,11
789;28,51;80505;38;1002,11
790;28,51;80197;38;1002,13
791;28,51;79741;38;1002,11
792;28,51;80659;38;1002,11
793;28,51;80505;38;1002,09
794;28,51;80659;38;1002,13
795;28,52;80428;38;1002,11
796;28,51;80428;38;1002,11
797;28,51;80121;38;1002,11
798;28,5;80892;38;1002,07
799;28,51;80351;38;1002,11
800;28,51;80428;38;1002,11
