;temperature;gas;humidity;barometer
980;28,22;94861;41;1000,37
981;28,23;93385;41;1000,37
982;28,22;95399;41;1000,37
983;28,23;93593;41;1000,38
984;28,23;94012;41;1000,37
985;28,23;93593;41;1000,37
986;28,23;93385;41;1000,37
987;28,23;95183;41;1000,34
988;28,22;95399;41;1000,37
989;28,23;93593;41;1000,38
990;28,23;95508;41;1000,4
991;28,23;95399;41;1000,37
992;28,23;95399;41;1000,37
993;28,23;94754;41;1000,37
994;28,22;93593;41;1000,37
995;28,23;93385;41;1000,37
996;28,23;93385;41;1000,37
997;28,23;95508;41;1000,37
998;28,22;93907;41;1000,37
999;28,23;95183;41;1000,37
1000;28,22;93802;41;1000,38
1001;28,23;95183;41;1000,37
1002;28,22;94861;41;1000,38
1003;28,22;93593;41;1000,37
1004;28,22;93178;41;1000,37
1005;28,22;93698;41;1000,37
1006;28,23;93802;41;1000,38
1007;28,23;93698;41;1000,37
1008;28,23;93593;41;1000,38
1009;28,22;93489;41;1000,37
1010;28,23;93385;41;1000,37
1011;28,22;93907;41;1000,37
1012;28,22;94647;41;1000,37
1013;28,22;93802;41;1000,38
1014;28,22;93489;41;1000,37
1015;28,23;93698;41;1000,37
1016;28,23;93802;41;1000,38
1017;28,22;93489;41;1000,37
1018;28,22;93802;41;1000,37
1019;28,23;93802;41;1000,37
1020;28,22;93385;41;1000,37
1021;28,23;93698;41;1000,37
1022;28,22;94118;41;1000,38
1023;28,22;94012;41;1000,38
1024;28,23;95508;41;1000,37
1025;28,23;94329;41;1000,37
1026;28,22;94012;41;1000,37
1027;28,22;93593;41;1000,37
1028;28,22;93907;41;1000,38
1029;28,23;94223;41;1000,37
1030;28,23;93489;41;1000,37
1031;28,23;95291;41;1000,37
1032;28,23;94223;41;1000,37
1033;28,23;94012;41;1000,37
1034;28,22;93802;41;1000,37
1035;28,22;95508;41;1000,37
1036;28,22;94329;41;1000,37
1037;28,22;93698;41;1000,37
1038;28,22;95291;41;1000,37
1039;28,22;94223;41;1000,37
1040;28,23;93802;41;1000,38
1041;28,23;93907;41;1000,38
1042;28,23;93802;41;1000,38
1043;28,22;93698;41;1000,37
1044;28,23;94647;41;1000,38
1045;28,22;93698;41;1000,37
1046;28,22;93698;41;1000,38
1047;28,21;93489;41;1000,37
1048;28,22;94012;41;1000,37
1049;28,22;95183;41;1000,37
1050;28,22;94012;41;1000,37
1051;28,22;95291;41;1000,38
1052;28,22;94118;41;1000,38
1053;28,22;93802;41;1000,38
1054;28,22;93698;41;1000,38
1055;28,22;93907;41;1000,38
1056;28,22;95399;41;1000,37
1057;28,21;94012;41;1000,38
1058;28,21;94754;41;1000,38
1059;28,22;94968;41;1000,38
1060;28,22;94223;41;1000,34
1061;28,21;93802;41;1000,38
1062;28,21;95508;41;1000,34
1063;28,21;94118;41;1000,37
1064;28,21;93385;41;1000,37
1065;28,21;93698;41;1000,34
1066;28,21;94012;41;1000,37
1067;28,21;93907;41;1000,37
1068;28,21;94223;41;1000,37
1069;28,21;94118;41;1000,37
1070;28,21;94329;41;1000,37
1071;28,2;93907;41;1000,37
1072;28,21;94968;41;1000,37
1073;28,2;94223;41;1000,38
1074;28,2;94012;41;1000,38
1075;28,2;93907;41;1000,37
1076;28,2;93802;41;1000,37
1077;28,2;94223;41;1000,37
1078;28,2;94012;41;1000,37
1079;28,2;95508;41;1000,37
1080;28,2;94223;41;1000,38
1081;28,2;94012;41;1000,38
1082;28,19;93698;41;1000,38
1083;28,2;94223;41;1000,38
1084;28,2;94223;41;1000,38
1085;28,2;94754;41;1000,37
1086;28,2;94223;41;1000,38
1087;28,2;93802;41;1000,38
1088;28,2;94223;41;1000,38
1089;28,19;93907;41;1000,37
1090;28,19;93698;41;1000,34
1091;28,19;94223;41;1000,38
1092;28,19;94435;41;1000,34
1093;28,19;94329;41;1000,38
1094;28,19;93802;41;1000,34
1095;28,19;94118;41;1000,37
1096;28,19;93802;41;1000,38
1097;28,19;94118;41;1000,34
1098;28,18;93506;41;1000,37
1099;28,19;93907;41;1000,37
1100;28,19;94435;41;1000,34
1101;28,19;94329;41;1000,37
1102;28,19;93802;41;1000,34
1103;28,18;94647;41;1000,37
1104;28,18;94329;41;1000,37
1105;28,18;94223;41;1000,34
1106;28,18;94012;41;1000,34
1107;28,18;94541;41;1000,37
1108;28,18;93698;41;1000,37
1109;28,18;94223;41;1000,37
1110;28,18;94861;41;1000,37
1111;28,18;94754;41;1000,37
1112;28,18;94012;41;1000,37
1113;28,18;94435;41;1000,37
1114;28,18;93610;41;1000,37
1115;28,18;94329;41;1000,37
1116;28,17;93454;41;1000,37
1117;28,17;94223;41;1000,38
1118;28,17;94541;41;1000,37
1119;28,18;94647;41;1000,37
1120;28,18;94435;41;1000,37
1121;28,18;94541;41;1000,34
1122;28,18;94435;41;1000,38
1123;28,18;93698;41;1000,37
1124;28,18;94647;41;1000,37
1125;28,18;94647;41;1000,37
1126;28,18;94223;41;1000,37
1127;28,18;93802;41;1000,37
1128;28,17;93907;41;1000,37
1129;28,17;94435;41;1000,38
1130;28,18;93489;41;1000,37
1131;28,17;93907;41;1000,37
1132;28,17;93662;41;1000,37
1133;28,17;94118;41;1000,34
1134;28,17;94329;41;1000,37
1135;28,17;94968;41;1000,38
1136;28,17;94754;41;1000,38
1137;28,17;94223;41;1000,37
1138;28,17;93907;41;1000,34
1139;28,17;94435;42;1000,33
1140;28,17;94223;41;1000,37
1141;28,18;94754;42;1000,37
1142;28,17;94754;41;1000,38
1143;28,17;94754;41;1000,38
1144;28,17;93593;41;1000,37
1145;28,18;94861;42;1000,37
1146;28,17;93489;41;1000,37
1147;28,17;94012;41;1000,37
1148;28,17;93558;41;1000,37
1149;28,17;94329;42;1000,37
1150;28,17;93802;42;1000,38
1151;28,17;94861;42;1000,37
1152;28,17;94118;42;1000,37
1153;28,17;94754;42;1000,38
1154;28,17;94541;42;1000,37
1155;28,17;94435;41;1000,37
1156;28,17;94647;42;1000,34
1157;28,17;93802;42;1000,38
1158;28,18;94647;42;1000,37
1159;28,18;94541;42;1000,37
1160;28,17;95076;42;1000,38
1161;28,18;94223;42;1000,34
1162;28,17;94223;41;1000,37
1163;28,17;94647;42;1000,38
1164;28,17;93558;42;1000,37
1165;28,17;94861;42;1000,34
1166;28,17;94541;42;1000,34
1167;28,17;94754;42;1000,37
1168;28,17;94223;41;1000,37
1169;28,17;94861;42;1000,37
1170;28,17;94754;42;1000,37
1171;28,17;94134;42;1000,34
1172;28,17;94968;41;1000,37
1173;28,17;93454;42;1000,37
1174;28,17;94861;41;1000,37
1175;28,17;94754;41;1000,37
1176;28,17;94754;41;1000,37
1177;28,18;93662;41;1000,37
1178;28,17;94223;41;1000,37
1179;28,17;94968;41;1000,37
1180;28,17;93819;41;1000,37
1181;28,17;94754;41;1000,37
1182;28,17;94082;41;1000,34
1183;28,18;93454;41;1000,34
1184;28,18;93872;41;1000,34
1185;28,18;93662;41;1000,37
1186;28,17;93715;41;1000,37
1187;28,18;93977;41;1000,34
1188;28,18;93662;41;1000,34
1189;28,18;94134;41;1000,34
1190;28,18;93662;41;1000,34
