;temperature;gas;humidity;barometer
60;28,84;84469;41;1004,83
61;28,84;84639;41;1004,83
62;28,85;84047;41;1004,82
63;28,85;84639;41;1004,83
64;28,86;83963;41;1004,83
65;28,86;84131;41;1004,83
66;28,86;84047;41;1004,83
67;28,87;83879;41;1004,83
68;28,88;83712;41;1004,83
69;28,89;83132;41;1004,86
70;28,9;82968;41;1004,83
71;28,9;83215;41;1004,83
72;28,91;82723;41;1004,86
73;28,92;82399;41;1004,86
74;28,94;82886;41;1004,87
75;28,94;82077;41;1004,87
76;28,95;83297;41;1004,87
77;28,95;82077;41;1004,86
78;28,96;82399;41;1004,86
79;28,96;82157;41;1004,86
80;28,97;81126;41;1004,87
81;28,98;81441;41;1004,86
82;28,98;81126;41;1004,86
83;28,99;81283;41;1004,86
84;29;80892;41;1004,86
85;29;81362;41;1004,87
86;29,01;81126;41;1004,87
87;29,02;81283;41;1004,87
88;29,02;80197;41;1004,86
89;29,02;80121;41;1004,86
90;28,96;80351;41;1004,87
91;28,96;80428;41;1004,87
92;28,97;79741;41;1004,9
93;28,98;79892;41;1004,87
94;28,99;79817;41;1004,9
95;29;79590;41;1004,87
96;29;79515;41;1004,87
97;29,01;79892;41;1004,9
98;29,02;79439;41;1004,9
99;29,01;80197;41;1004,91
100;29,01;80197;41;1004,87
101;29;79741;41;1004,86
102;29,01;79817;41;1004,9
103;29,01;79968;41;1004,87
104;29,01;79590;41;1004,9
105;29,01;79665;41;1004,9
106;29,02;79741;41;1004,87
107;29,03;80351;41;1004,87
108;29,03;79590;41;1004,9
109;29,04;80582;41;1004,87
110;29,05;79892;41;1004,87
111;29,05;79817;41;1004,9
112;29,05;80274;41;1004,87
113;29,06;79968;41;1004,87
114;29,07;79968;40;1004,9
115;29,07;79968;40;1004,9
116;29,08;79968;40;1004,87
117;29,08;79665;40;1004,9
118;29,09;79665;40;1004,9
119;29,1;80197;40;1004,9
120;29,11;79364;40;1004,87
121;29,11;79741;40;1004,9
122;29,12;79289;40;1004,9
123;29,12;80274;40;1004,87
124;29,13;79215;40;1004,94
125;29,13;79364;40;1004,94
126;29,14;79439;40;1004,91
127;29,15;78843;40;1004,94
128;29,15;79066;40;1004,94
129;29,15;79741;40;1004,94
130;29,16;79439;40;1004,91
131;29,16;78696;40;1004,94
132;29,17;79215;40;1004,94
133;29,18;79215;40;1004,91
134;29,18;79215;40;1004,94
135;29,19;78696;40;1004,94
136;29,2;77966;40;1004,94
137;29,19;79066;40;1004,91
138;29,2;78038;40;1004,91
139;29,2;78038;40;1004,91
140;29,21;78038;40;1004,94
141;29,22;79741;40;1004,94
142;29,22;78183;40;1004,94
143;29,22;78475;40;1004,91
144;29,22;77749;40;1004,91
145;29,22;77534;40;1004,91
146;29,22;77966;40;1004,9
147;29,23;77749;40;1004,91
148;29,23;78038;40;1004,91
149;29,24;78475;40;1004,91
150;29,24;77966;40;1004,91
151;29,24;77893;40;1004,91
152;29,24;77749;40;1004,94
153;29,25;77107;40;1004,94
154;29,26;77821;40;1004,94
155;29,26;78110;40;1004,91
156;29,27;78038;40;1004,94
157;29,27;77893;40;1004,91
158;29,27;77893;40;1004,94
159;29,28;77249;40;1004,91
160;29,28;77677;40;1004,91
161;29,28;77893;40;1004,91
162;29,29;77821;40;1004,94
163;29,3;77534;40;1004,94
164;29,3;77107;40;1004,94
165;29,3;77677;40;1004,94
166;29,29;77966;40;1004,94
167;29,28;78475;40;1004,94
168;29,29;77178;40;1004,94
169;29,29;78696;40;1004,94
170;29,29;79289;40;1004,94
171;29,31;77463;40;1004,91
172;29,31;77178;40;1004,94
173;29,31;77037;40;1004,94
174;29,31;76755;40;1004,91
175;29,32;78183;40;1004,91
176;29,32;76825;40;1004,91
177;29,32;76337;40;1004,91
178;29,33;76545;40;1004,91
179;29,33;76406;40;1004,91
180;29,33;76406;40;1004,9
181;29,33;75923;40;1004,91
182;29,34;75992;40;1004,95
183;29,35;75718;40;1004,95
184;29,35;77249;40;1004,94
185;29,35;75311;40;1004,94
186;29,36;74775;40;1004,94
187;29,36;74444;40;1004,91
188;29,36;74708;40;1004,91
189;29,37;74510;40;1004,9
190;29,37;74312;40;1004,91
191;29,37;74181;40;1004,94
192;29,37;75514;40;1004,94
193;29,37;74115;40;1004,9
194;29,37;73725;40;1004,91
195;29,38;74181;40;1004,91
196;29,37;74050;40;1004,91
197;29,39;73021;40;1004,94
198;29,38;73339;40;1004,9
199;29,39;73212;40;1004,91
200;29,39;73212;40;1004,91
201;29,4;73148;40;1004,91
202;29,4;72143;40;1004,9
203;29,4;72579;40;1004,94
204;29,4;73275;40;1004,91
205;29,41;72642;40;1004,91
206;29,42;71835;40;1004,91
207;29,43;72020;40;1004,94
208;29,43;72205;40;1004,91
209;29,42;72642;40;1004,9
210;29,43;71529;40;1004,91
211;29,43;71468;40;1004,91
212;29,42;71835;40;1004,9
213;29,42;71408;40;1004,9
214;29,42;71835;40;1004,9
215;29,42;70926;40;1004,91
216;29,42;73084;40;1004,9
217;29,41;71835;40;1004,91
218;29,42;71166;40;1004,9
219;29,42;72081;40;1004,91
