;temperature;gas;humidity;barometer
2399;26,16;146834;39;1011,36
2400;26,16;146962;39;1011,36
2401;26,15;147348;39;1011,36
2402;26,16;146834;39;1011,36
2403;26,16;146578;39;1011,36
2404;26,16;146450;39;1011,39
2405;26,15;147867;39;1011,39
2406;26,15;146322;39;1011,35
2407;26,15;147867;39;1011,36
2408;26,15;147348;39;1011,39
2409;26,15;145815;39;1011,39
2410;26,15;146322;39;1011,39
2411;26,15;147607;39;1011,39
2412;26,16;146834;39;1011,39
2413;26,15;147219;39;1011,36
2414;26,16;148389;39;1011,39
2415;26,15;147219;39;1011,39
2416;26,16;148520;39;1011,36
2417;26,16;145688;39;1011,36
2418;26,15;146450;39;1011,39
2419;26,16;147090;39;1011,39
2420;26,15;146705;39;1011,39
2421;26,15;147348;39;1011,39
2422;26,16;147737;39;1011,39
2423;26,16;146834;39;1011,39
2424;26,15;146962;39;1011,39
2425;26,15;147090;39;1011,39
2426;26,15;148389;39;1011,39
2427;26,15;147478;39;1011,36
2428;26,16;148127;39;1011,36
2429;26,15;147867;39;1011,36
2430;26,16;147219;39;1011,36
2431;26,16;147348;39;1011,36
2432;26,16;147090;39;1011,36
2433;26,16;147348;39;1011,36
2434;26,16;146962;39;1011,36
2435;26,16;147219;39;1011,36
2436;26,16;146962;39;1011,36
2437;26,16;146578;39;1011,35
2438;26,16;147737;39;1011,36
2439;26,16;147997;39;1011,36
2440;26,16;148389;39;1011,36
2441;26,17;147607;39;1011,36
2442;26,16;148127;39;1011,36
2443;26,16;147219;39;1011,36
2444;26,16;147478;39;1011,36
2445;26,16;147090;39;1011,36
2446;26,17;147867;39;1011,39
2447;26,17;147478;39;1011,39
2448;26,16;148651;39;1011,36
2449;26,16;148258;39;1011,36
2450;26,17;148127;39;1011,36
2451;26,16;147219;39;1011,36
2452;26,16;148127;39;1011,39
2453;26,17;146834;39;1011,36
2454;26,17;148258;39;1011,36
2455;26,17;148127;39;1011,36
2456;26,16;148389;39;1011,36
2457;26,16;146834;39;1011,36
2458;26,16;148258;39;1011,36
2459;26,16;147737;39;1011,36
2460;26,17;147219;39;1011,39
2461;26,17;147737;39;1011,39
2462;26,17;147219;39;1011,39
2463;26,17;147219;39;1011,39
2464;26,17;146578;39;1011,36
2465;26,17;146962;39;1011,39
2466;26,17;147090;39;1011,39
2467;26,17;146834;39;1011,39
2468;26,17;147737;39;1011,39
2469;26,17;146068;39;1011,39
2470;26,17;147478;39;1011,36
2471;26,17;147737;39;1011,39
2472;26,17;148127;39;1011,36
2473;26,17;147607;39;1011,36
2474;26,17;146322;39;1011,39
2475;26,17;147607;39;1011,36
2476;26,17;147607;39;1011,39
2477;26,17;147478;39;1011,39
2478;26,17;147219;39;1011,39
2479;26,17;146705;39;1011,39
2480;26,17;147997;39;1011,39
2481;26,17;148258;39;1011,39
2482;26,17;147997;39;1011,39
2483;26,17;147219;39;1011,39
2484;26,17;149046;39;1011,35
2485;26,17;146322;39;1011,39
2486;26,17;147090;39;1011,39
2487;26,17;147090;39;1011,39
2488;26,17;146705;39;1011,39
2489;26,17;145815;39;1011,39
2490;26,17;146962;39;1011,4
2491;26,17;148127;39;1011,39
2492;26,17;148389;39;1011,39
2493;26,17;146962;39;1011,39
2494;26,17;147997;39;1011,36
2495;26,17;146578;39;1011,39
2496;26,17;147348;39;1011,39
2497;26,16;147348;39;1011,39
2498;26,17;147348;39;1011,39
2499;26,17;147478;39;1011,35
2500;26,17;147219;39;1011,35
2501;26,17;148520;39;1011,39
2502;26,17;147607;39;1011,36
2503;26,17;147090;39;1011,35
2504;26,16;148914;39;1011,35
2505;26,16;148914;39;1011,35
2506;26,17;147348;39;1011,36
2507;26,16;147219;39;1011,36
2508;26,16;146962;39;1011,35
2509;26,15;147348;39;1011,36
2510;26,15;146962;39;1011,36
2511;26,16;148127;39;1011,36
2512;26,16;146962;39;1011,36
2513;26,16;147219;39;1011,36
2514;26,16;147867;39;1011,35
2515;26,16;147737;39;1011,35
2516;26,16;146578;39;1011,36
2517;26,16;147219;39;1011,36
2518;26,16;148520;40;1011,36
2519;26,16;147737;39;1011,36
2520;26,16;147090;40;1011,36
2521;26,16;147348;40;1011,36
2522;26,16;147478;40;1011,36
2523;26,16;148258;40;1011,36
2524;26,16;147090;40;1011,36
2525;26,16;148783;40;1011,36
2526;26,16;147607;40;1011,36
2527;26,15;147478;40;1011,36
2528;26,15;147219;40;1011,36
2529;26,15;147090;40;1011,36
2530;26,16;148651;40;1011,36
2531;26,15;147478;40;1011,39
2532;26,16;147348;40;1011,36
2533;26,16;148651;40;1011,36
2534;26,16;146834;40;1011,36
2535;26,16;146962;40;1011,36
2536;26,16;146322;40;1011,35
2537;26,16;147478;40;1011,35
2538;26,16;148127;40;1011,36
2539;26,16;147997;40;1011,36
2540;26,16;146962;40;1011,36
2541;26,17;147219;40;1011,36
2542;26,15;146578;40;1011,36
2543;26,16;148258;40;1011,36
2544;26,16;147607;40;1011,35
2545;26,16;147348;40;1011,35
2546;26,16;147737;40;1011,35
2547;26,16;147478;40;1011,36
2548;26,16;147090;40;1011,36
2549;26,16;147607;40;1011,36
2550;26,15;147478;40;1011,36
2551;26,16;147607;40;1011,36
2552;26,16;147607;40;1011,36
2553;26,16;146834;40;1011,36
2554;26,15;147090;40;1011,36
2555;26,15;148783;40;1011,36
2556;26,16;146962;40;1011,36
2557;26,16;148127;40;1011,36
2558;26,15;147219;40;1011,36
2559;26,15;146834;40;1011,36
