;temperature;gas;humidity;barometer
200;29,17;93178;41;1012,6
201;29,16;93802;41;1012,58
202;29,16;93489;41;1012,58
203;29,16;93385;41;1012,58
204;29,17;93489;41;1012,57
205;29,16;93385;41;1012,58
206;29,16;93698;41;1012,58
207;29,17;93698;41;1012,6
208;29,16;94754;41;1012,58
209;29,17;93178;41;1012,6
210;29,16;93178;41;1012,58
211;29,17;92972;41;1012,6
212;29,16;93178;41;1012,58
213;29,16;94223;41;1012,58
214;29,16;93075;41;1012,6
215;29,17;93385;41;1012,6
216;29,16;93075;41;1012,6
217;29,16;92972;41;1012,58
218;29,16;92972;41;1012,58
219;29,17;93489;41;1012,6
220;29,17;93075;41;1012,6
221;29,16;93698;41;1012,63
222;29,16;93907;41;1012,57
223;29,16;92767;41;1012,57
224;29,16;94118;41;1012,58
225;29,16;93489;41;1012,58
226;29,17;93075;41;1012,6
227;29,16;93489;41;1012,58
228;29,16;93282;41;1012,57
229;29,16;93698;41;1012,57
230;29,16;93698;41;1012,57
231;29,17;93075;41;1012,6
232;29,16;93698;41;1012,57
233;29,16;92972;41;1012,57
234;29,16;92972;41;1012,57
235;29,17;93178;42;1012,6
236;29,17;93385;41;1012,6
237;29,17;93075;41;1012,6
238;29,16;93075;41;1012,57
239;29,16;93282;41;1012,58
240;29,17;93178;41;1012,6
241;29,16;92870;41;1012,57
242;29,16;93178;42;1012,58
243;29,16;93385;42;1012,58
244;29,17;93178;41;1012,58
245;29,16;93282;42;1012,57
246;29,17;93178;42;1012,58
247;29,17;93282;42;1012,6
248;29,16;93178;42;1012,58
249;29,16;93802;41;1012,58
250;29,17;93489;41;1012,6
251;29,16;93907;42;1012,57
252;29,16;93282;42;1012,57
253;29,16;93385;42;1012,57
254;29,17;93489;42;1012,6
255;29,17;93178;42;1012,6
256;29,17;93282;41;1012,6
257;29,16;94012;42;1012,57
258;29,16;93282;42;1012,57
259;29,16;93282;42;1012,58
260;29,16;92665;42;1012,58
261;29,16;93489;41;1012,58
262;29,16;93698;41;1012,58
263;29,16;94435;42;1012,58
264;29,16;93385;42;1012,57
265;29,16;93075;42;1012,58
266;29,16;93698;42;1012,57
267;29,16;93698;42;1012,57
268;29,17;94329;42;1012,58
269;29,16;93178;42;1012,57
270;29,16;94012;41;1012,58
271;29,16;93907;41;1012,6
272;29,17;93593;41;1012,6
273;29,17;94118;41;1012,58
274;29,16;93282;41;1012,57
275;29,16;94329;41;1012,57
276;29,16;94329;41;1012,6
277;29,16;93593;41;1012,6
278;29,16;94118;41;1012,58
279;29,16;93282;41;1012,58
280;29,16;93698;41;1012,57
281;29,16;94012;41;1012,57
282;29,16;93698;41;1012,58
283;29,16;94647;41;1012,58
284;29,16;94223;41;1012,58
285;29,16;93802;41;1012,57
286;29,16;93489;41;1012,57
287;29,16;93385;41;1012,57
288;29,16;94329;41;1012,57
289;29,16;93489;41;1012,57
290;29,16;93385;41;1012,58
291;29,16;93593;41;1012,6
292;29,16;93489;41;1012,57
293;29,16;94012;41;1012,6
294;29,17;93593;41;1012,57
295;29,16;93385;41;1012,57
296;29,16;93385;41;1012,57
297;29,16;94435;41;1012,57
298;29,16;93282;41;1012,57
299;29,16;93489;41;1012,58
300;29,17;93178;41;1012,57
301;29,16;93593;41;1012,57
302;29,16;93385;41;1012,6
303;29,17;93385;41;1012,57
304;29,16;93178;41;1012,57
305;29,16;93282;42;1012,6
306;29,17;93593;41;1012,6
307;29,16;93282;42;1012,57
308;29,16;94329;42;1012,58
309;29,16;93075;41;1012,57
310;29,16;93489;41;1012,57
311;29,16;93385;41;1012,57
312;29,16;93489;42;1012,57
313;29,16;93178;42;1012,57
314;29,16;93282;42;1012,57
315;29,16;94118;41;1012,57
316;29,16;93282;42;1012,57
317;29,16;93593;42;1012,57
318;29,16;93282;42;1012,57
319;29,16;93489;42;1012,57
320;29,16;93385;42;1012,57
321;29,16;93907;42;1012,57
322;29,16;93385;42;1012,57
323;29,16;93075;42;1012,57
324;29,16;93282;42;1012,57
325;29,16;93593;42;1012,57
326;29,16;93593;41;1012,57
327;29,16;93282;42;1012,56
328;29,16;94118;42;1012,56
329;29,16;92870;41;1012,56
330;29,16;93282;42;1012,56
331;29,16;93178;42;1012,57
332;29,16;93802;42;1012,57
333;29,16;93593;42;1012,56
334;29,16;94329;42;1012,56
335;29,16;93593;42;1012,57
336;29,17;93178;42;1012,58
337;29,16;94223;42;1012,56
338;29,16;94012;42;1012,57
339;29,16;93385;42;1012,57
340;29,16;92870;42;1012,57
341;29,16;93282;42;1012,57
