;temperature;gas;humidity;barometer
841;28,98;85327;42;1012,46
842;28,98;86114;42;1012,46
843;28,98;86202;42;1012,46
844;28,98;86646;42;1012,46
845;28,98;85938;42;1012,46
846;28,98;85938;42;1012,47
847;28,98;85327;42;1012,47
848;28,98;85414;42;1012,47
849;28,97;85240;42;1012,47
850;28,97;85240;42;1012,47
851;28,97;85154;42;1012,47
852;28,97;84725;42;1012,46
853;28,97;84469;42;1012,47
854;28,97;84639;42;1012,47
855;28,97;84554;42;1012,47
856;28,97;84384;42;1012,47
857;28,97;84554;42;1012,47
858;28,97;84131;42;1012,47
859;28,97;84300;42;1012,47
860;28,97;83215;42;1012,47
861;28,97;83132;42;1012,46
862;28,97;83215;42;1012,47
863;28,97;82968;42;1012,47
864;28,97;82968;42;1012,47
865;28,97;82886;42;1012,47
866;28,97;83463;42;1012,47
867;28,97;83215;42;1012,47
868;28,97;82399;42;1012,47
869;28,97;82399;42;1012,47
870;28,97;82238;42;1012,46
871;28,98;82723;42;1012,47
872;28,97;82077;42;1012,47
873;28,97;82077;42;1012,46
874;28,97;82077;42;1012,46
875;28,97;81283;42;1012,47
876;28,97;81283;42;1012,47
877;28,97;80659;42;1012,47
878;28,97;80428;42;1012,47
879;28,97;80351;42;1012,47
880;28,97;80121;42;1012,47
881;28,98;79968;42;1012,47
882;28,97;79741;42;1012,47
883;28,97;79515;42;1012,47
884;28,97;79364;42;1012,47
885;28,97;78622;42;1012,47
886;28,97;78038;42;1012,47
887;28,97;78256;42;1012,47
888;28,97;78402;42;1012,47
889;28,97;78183;42;1012,47
890;28,97;78402;42;1012,47
891;28,97;77821;42;1012,46
892;28,97;77821;42;1012,46
893;28,97;77966;42;1012,47
894;28,98;77749;42;1012,43
895;28,97;77749;42;1012,47
896;28,97;76825;42;1012,47
897;28,97;77391;42;1012,47
898;28,97;77037;42;1012,47
899;28,97;76406;42;1012,46
900;28,97;76685;42;1012,47
901;28,98;76406;42;1012,47
902;28,97;76060;42;1012,47
903;28,98;76198;42;1012,47
904;28,98;76198;42;1012,47
905;28,97;76476;42;1012,47
906;28,97;76545;42;1012,47
907;28,97;75992;42;1012,43
908;28,97;76268;42;1012,47
909;28,97;76337;42;1012,43
910;28,97;76060;42;1012,46
911;28,98;76896;42;1012,47
912;28,97;77249;42;1012,46
913;28,97;76966;42;1012,47
914;28,98;76545;42;1012,47
915;28,97;76545;42;1012,47
916;28,97;76337;42;1012,47
917;28,97;76966;42;1012,49
918;28,97;76755;42;1012,46
919;28,97;76825;42;1012,47
920;28,97;76685;42;1012,47
921;28,97;77178;42;1012,47
922;28,97;76685;42;1012,47
923;28,97;76825;42;1012,47
924;28,97;76545;42;1012,47
925;28,97;77391;42;1012,47
926;28,97;76896;42;1012,47
927;28,97;77391;42;1012,47
928;28,97;77107;42;1012,47
929;28,97;77391;42;1012,47
930;28,96;77037;42;1012,46
931;28,97;76685;42;1012,47
932;28,97;76406;42;1012,47
933;28,97;77463;42;1012,46
934;28,97;77178;42;1012,43
935;28,97;76966;42;1012,47
936;28,97;77249;42;1012,46
937;28,97;76337;42;1012,47
938;28,97;76685;42;1012,47
939;28,97;77178;42;1012,46
940;28,97;77534;42;1012,46
941;28,97;77391;42;1012,47
942;28,97;77391;42;1012,43
943;28,97;77463;42;1012,46
944;28,97;77320;42;1012,47
945;28,97;77534;42;1012,47
946;28,98;77320;42;1012,47
947;28,97;77463;42;1012,46
948;28,97;77107;42;1012,47
949;28,98;77320;42;1012,47
950;28,97;77320;42;1012,47
951;28,97;76966;42;1012,47
952;28,98;77107;42;1012,47
953;28,97;76685;42;1012,47
954;28,97;76268;42;1012,46
955;28,97;76129;42;1012,43
956;28,97;76825;42;1012,47
957;28,96;76966;42;1012,46
958;28,96;76896;42;1012,43
959;28,96;76966;42;1012,46
960;28,97;76685;42;1012,46
961;28,97;76545;42;1012,46
962;28,97;76755;42;1012,46
963;28,96;76755;42;1012,46
964;28,96;76476;42;1012,46
965;28,96;76476;42;1012,43
