;temperature;gas;humidity;barometer
1120;28,36;94541;41;1011,24
1121;28,36;95076;41;1011,24
1122;28,36;94223;41;1011,22
1123;28,35;95508;41;1011,24
1124;28,36;95291;41;1011,24
1125;28,35;93593;41;1011,24
1126;28,36;94861;41;1011,24
1127;28,35;94968;41;1011,24
1128;28,36;95183;41;1011,24
1129;28,35;94754;41;1011,24
1130;28,36;93385;41;1011,24
1131;28,36;95291;41;1011,24
1132;28,35;94968;41;1011,24
1133;28,36;95508;41;1011,24
1134;28,35;95399;41;1011,24
1135;28,36;95076;41;1011,24
1136;28,36;95399;41;1011,24
1137;28,36;95183;41;1011,24
1138;28,35;93802;41;1011,24
1139;28,35;95291;41;1011,24
1140;28,36;95399;41;1011,24
1141;28,35;94647;41;1011,24
1142;28,35;95076;41;1011,24
1143;28,35;95291;41;1011,24
1144;28,35;93802;41;1011,24
1145;28,36;93385;41;1011,25
1146;28,35;93282;41;1011,24
1147;28,35;95508;41;1011,24
1148;28,35;95508;41;1011,24
1149;28,35;95508;41;1011,25
1150;28,35;93489;41;1011,24
1151;28,35;95291;41;1011,24
1152;28,35;94118;41;1011,24
1153;28,35;95399;41;1011,24
1154;28,35;95076;41;1011,25
1155;28,35;93282;41;1011,22
1156;28,35;95291;41;1011,24
1157;28,35;95399;41;1011,24
1158;28,35;95508;41;1011,24
1159;28,36;93802;41;1011,24
1160;28,35;95399;41;1011,24
1161;28,35;93698;41;1011,24
1162;28,35;93178;41;1011,22
1163;28,36;94968;41;1011,22
1164;28,35;95399;41;1011,24
1165;28,35;95076;41;1011,24
1166;28,35;95076;41;1011,22
1167;28,35;93593;41;1011,22
1168;28,36;95291;41;1011,24
1169;28,35;93802;41;1011,24
1170;28,35;93489;41;1011,24
1171;28,35;95291;41;1011,24
1172;28,35;93698;41;1011,24
1173;28,35;93907;41;1011,22
1174;28,35;93698;41;1011,19
1175;28,35;95291;41;1011,24
1176;28,35;94435;41;1011,22
1177;28,35;93593;41;1011,24
1178;28,35;95508;41;1011,22
1179;28,34;95291;41;1011,22
1180;28,35;95291;41;1011,22
1181;28,35;93907;41;1011,22
1182;28,35;95183;41;1011,22
1183;28,35;95291;41;1011,22
1184;28,34;95183;41;1011,24
1185;28,34;93385;41;1011,24
1186;28,34;95508;41;1011,24
1187;28,34;95399;41;1011,22
1188;28,34;93802;41;1011,24
1189;28,34;94118;41;1011,24
1190;28,34;94118;41;1011,24
1191;28,34;95183;41;1011,22
1192;28,34;93698;41;1011,22
1193;28,34;94329;41;1011,24
1194;28,34;93907;41;1011,22
1195;28,34;94118;41;1011,22
1196;28,34;94118;41;1011,22
1197;28,35;93698;41;1011,22
1198;28,34;93385;41;1011,22
1199;28,34;94012;41;1011,22
1200;28,34;93698;41;1011,24
1201;28,34;93385;41;1011,24
1202;28,34;93282;41;1011,22
1203;28,34;93489;41;1011,22
1204;28,34;95399;41;1011,22
1205;28,34;95291;41;1011,24
1206;28,34;93489;41;1011,22
1207;28,34;95076;41;1011,24
1208;28,34;93385;41;1011,22
1209;28,34;93489;41;1011,22
1210;28,34;94435;41;1011,22
1211;28,34;94329;41;1011,24
1212;28,33;95508;41;1011,19
1213;28,34;93802;41;1011,22
1214;28,34;95508;41;1011,24
1215;28,34;93282;41;1011,22
1216;28,34;93178;41;1011,22
1217;28,34;93489;41;1011,22
1218;28,34;93282;41;1011,22
1219;28,34;95183;41;1011,22
1220;28,34;94118;41;1011,24
1221;28,34;94329;41;1011,22
1222;28,34;94329;41;1011,22
1223;28,34;93593;41;1011,22
1224;28,34;93489;41;1011,22
1225;28,34;93282;41;1011,24
1226;28,34;95183;41;1011,22
1227;28,34;95076;41;1011,24
1228;28,34;95183;41;1011,24
1229;28,34;95291;41;1011,24
1230;28,34;95508;41;1011,24
1231;28,34;95508;41;1011,24
1232;28,34;94012;41;1011,24
1233;28,34;93385;41;1011,22
1234;28,34;95508;41;1011,22
1235;28,34;93178;41;1011,24
1236;28,34;95399;41;1011,24
1237;28,34;93802;41;1011,22
1238;28,34;93489;41;1011,24
1239;28,34;94435;41;1011,24
1240;28,34;93489;41;1011,24
1241;28,34;93802;41;1011,24
1242;28,34;93698;41;1011,24
1243;28,34;95291;41;1011,24
1244;28,34;93593;41;1011,22
1245;28,34;93907;41;1011,24
1246;28,34;93489;41;1011,22
1247;28,34;93698;41;1011,24
1248;28,34;94118;41;1011,24
1249;28,34;94012;41;1011,24
1250;28,34;93593;41;1011,22
1251;28,34;93385;41;1011,24
1252;28,34;94118;41;1011,24
1253;28,34;93593;41;1011,24
1254;28,34;94223;41;1011,24
1255;28,34;94223;41;1011,24
1256;28,34;93593;41;1011,24
1257;28,34;93489;41;1011,24
1258;28,34;94329;41;1011,22
1259;28,33;93907;41;1011,24
1260;28,34;93907;41;1011,24
1261;28,33;93802;41;1011,24
1262;28,34;93802;41;1011,24
1263;28,34;93593;41;1011,24
1264;28,34;93593;41;1011,24
1265;28,33;94329;41;1011,24
1266;28,34;93802;41;1011,22
1267;28,34;93907;41;1011,22
1268;28,34;93802;41;1011,24
1269;28,34;93802;41;1011,24
1270;28,33;94541;41;1011,24
1271;28,34;93593;41;1011,24
1272;28,34;94118;41;1011,24
1273;28,33;94223;41;1011,22
1274;28,34;94329;41;1011,24
1275;28,34;93802;41;1011,24
1276;28,34;94435;41;1011,22
1277;28,34;93907;41;1011,24
1278;28,34;94118;41;1011,22
1279;28,34;94223;41;1011,22
1280;28,34;94012;41;1011,22
1281;28,34;94861;41;1011,22
1282;28,33;93802;41;1011,22
1283;28,34;94223;41;1011,22
1284;28,34;93802;41;1011,22
1285;28,34;94118;41;1011,22
1286;28,35;94012;41;1011,22
1287;28,35;94541;41;1011,22
1288;28,35;93907;41;1011,22
1289;28,34;94118;41;1011,22
1290;28,34;94861;41;1011,19
1291;28,34;94647;41;1011,19
1292;28,35;94118;41;1011,22
1293;28,35;94329;41;1011,24
1294;28,35;94647;41;1011,19
1295;28,35;94754;41;1011,22
1296;28,35;93802;41;1011,19
1297;28,34;93802;41;1011,19
1298;28,35;94435;41;1011,22
1299;28,35;94754;41;1011,22
1300;28,35;94118;41;1011,19
1301;28,34;94118;41;1011,19
1302;28,34;94541;41;1011,22
1303;28,35;94118;41;1011,19
1304;28,34;94223;41;1011,19
1305;28,35;94118;41;1011,24
1306;28,35;94435;41;1011,19
1307;28,35;93907;41;1011,19
1308;28,35;93907;41;1011,19
1309;28,34;94012;41;1011,19
1310;28,34;93907;41;1011,19
1311;28,35;93907;41;1011,19
1312;28,35;94012;41;1011,19
1313;28,35;94223;41;1011,19
1314;28,35;94223;41;1011,22
1315;28,35;94861;41;1011,22
1316;28,35;94754;41;1011,24
1317;28,35;94012;41;1011,22
1318;28,35;94012;41;1011,19
1319;28,35;94329;41;1011,19
1320;28,35;94329;41;1011,19
1321;28,35;93819;41;1011,19
1322;28,35;94861;41;1011,22
1323;28,35;94118;41;1011,19
1324;28,35;94647;41;1011,19
1325;28,35;94754;41;1011,19
1326;28,35;94647;41;1011,19
1327;28,35;94329;41;1011,18
1328;28,35;94435;41;1011,19
1329;28,35;94541;41;1011,22
1330;28,35;94647;41;1011,19
1331;28,35;93767;41;1011,18
1332;28,35;93558;41;1011,22
1333;28,35;94435;41;1011,22
1334;28,35;94118;41;1011,22
1335;28,36;94223;41;1011,22
1336;28,36;94329;41;1011,22
1337;28,35;94223;41;1011,22
1338;28,36;93802;41;1011,22
1339;28,35;94647;41;1011,22
1340;28,36;93454;41;1011,22
1341;28,35;94861;41;1011,19
1342;28,36;94118;41;1011,22
1343;28,36;94647;41;1011,22
1344;28,36;94223;41;1011,19
1345;28,36;94223;41;1011,19
1346;28,36;93454;41;1011,19
1347;28,36;94223;41;1011,19
1348;28,37;94012;41;1011,19
1349;28,36;94541;41;1011,19
1350;28,36;94223;41;1011,19
1351;28,36;94329;41;1011,19
1352;28,36;94435;41;1011,19
1353;28,37;93907;41;1011,19
1354;28,36;94754;41;1011,19
1355;28,37;94012;41;1011,19
1356;28,36;94012;41;1011,19
1357;28,36;94118;41;1011,19
1358;28,37;94118;41;1011,22
1359;28,37;94329;41;1011,22
1360;28,37;93698;41;1011,22
1361;28,37;94012;41;1011,19
1362;28,38;94223;41;1011,22
1363;28,37;93907;41;1011,18
1364;28,38;94754;41;1011,22
1365;28,38;94329;41;1011,19
1366;28,37;94012;41;1011,19
1367;28,38;94435;41;1011,22
1368;28,38;94118;41;1011,22
1369;28,38;94223;41;1011,19
1370;28,37;94647;41;1011,19
1371;28,38;94435;41;1011,19
1372;28,38;94435;41;1011,19
1373;28,38;94435;41;1011,19
1374;28,38;94754;41;1011,19
1375;28,38;94082;41;1011,19
1376;28,38;94541;41;1011,19
1377;28,38;94647;41;1011,19
1378;28,38;93872;41;1011,19
1379;28,38;93819;41;1011,19
1380;28,38;94541;41;1011,19
1381;28,38;94861;41;1011,19
1382;28,38;93506;41;1011,19
1383;28,38;93924;41;1011,19
1384;28,38;93872;41;1011,19
1385;28,38;93767;41;1011,19
1386;28,38;93506;41;1011,19
1387;28,38;94754;41;1011,19
1388;28,38;94435;41;1011,19
1389;28,38;93767;41;1011,19
1390;28,39;94647;41;1011,18
1391;28,38;94647;41;1011,18
1392;28,38;93662;41;1011,19
1393;28,38;94754;41;1011,19
1394;28,38;94647;41;1011,19
1395;28,39;94647;41;1011,19
1396;28,38;94435;41;1011,18
1397;28,39;94754;41;1011,18
1398;28,39;94754;41;1011,19
1399;28,38;93872;41;1011,19
1400;28,38;93767;41;1011,19
