;temperature;gas;humidity;barometer
3020;28,39;95291;42;1000,34
3021;28,39;94861;42;1000,34
3022;28,39;94647;42;1000,33
3023;28,4;94541;42;1000,33
3024;28,39;94754;42;1000,34
3025;28,39;94118;42;1000,34
3026;28,39;94861;42;1000,3
3027;28,39;94861;42;1000,3
3028;28,39;94754;42;1000,34
3029;28,39;93593;42;1000,34
3030;28,39;94223;42;1000,33
3031;28,38;93489;42;1000,3
3032;28,39;94012;42;1000,3
3033;28,39;93802;42;1000,33
3034;28,38;93698;42;1000,33
3035;28,39;93698;42;1000,33
3036;28,39;94012;42;1000,3
3037;28,39;92665;42;1000,3
3038;28,39;93282;42;1000,3
3039;28,39;93282;42;1000,3
3040;28,39;93178;42;1000,3
3041;28,39;93385;42;1000,33
3042;28,39;93907;42;1000,3
3043;28,39;93075;42;1000,3
3044;28,39;93075;42;1000,3
3045;28,39;93489;42;1000,3
3046;28,39;92767;42;1000,3
3047;28,39;92767;42;1000,33
3048;28,39;91955;42;1000,3
3049;28,39;92258;42;1000,33
3050;28,39;91855;42;1000,33
3051;28,39;91554;42;1000,33
3052;28,4;92157;42;1000,3
3053;28,39;91554;42;1000,33
3054;28,39;91754;42;1000,33
3055;28,39;91455;42;1000,33
3056;28,39;91754;42;1000,33
3057;28,39;91355;42;1000,33
3058;28,4;90960;42;1000,33
3059;28,4;90665;42;1000,33
3060;28,4;90862;42;1000,3
3061;28,4;89794;42;1000,3
3062;28,39;90276;42;1000,3
3063;28,4;88939;42;1000,3
3064;28,4;89698;42;1000,3
3065;28,4;89317;42;1000,3
3066;28,4;88845;42;1000,3
3067;28,4;89412;42;1000,3
3068;28,4;89317;42;1000,3
3069;28,4;89507;42;1000,3
3070;28,4;88751;42;1000,3
3071;28,4;88939;42;1000,33
3072;28,4;88939;42;1000,3
3073;28,4;89317;42;1000,3
3074;28,4;88939;42;1000,3
3075;28,4;88377;42;1000,3
3076;28,4;89222;42;1000,33
3077;28,4;88939;42;1000,33
3078;28,4;89602;42;1000,3
3079;28,39;89222;42;1000,33
3080;28,4;89222;42;1000,3
3081;28,4;89412;42;1000,33
3082;28,39;89033;42;1000,3
3083;28,4;89412;42;1000,33
3084;28,39;89412;42;1000,33
3085;28,39;89127;42;1000,3
3086;28,39;89698;42;1000,3
3087;28,39;89507;42;1000,33
3088;28,39;89412;42;1000,33
3089;28,4;89033;42;1000,33
3090;28,39;89222;42;1000,33
3091;28,39;89698;42;1000,3
3092;28,39;89127;42;1000,33
3093;28,39;88564;42;1000,33
3094;28,4;88845;42;1000,33
3095;28,39;88939;42;1000,33
3096;28,4;87915;42;1000,33
3097;28,39;88751;42;1000,33
3098;28,39;88377;42;1000,33
3099;28,39;88007;42;1000,33
3100;28,39;88007;42;1000,28
3101;28,39;87823;42;1000,28
3102;28,39;87549;42;1000,3
3103;28,39;87823;42;1000,28
3104;28,39;87732;42;1000,28
3105;28,39;87549;42;1000,3
3106;28,39;87367;42;1000,28
3107;28,39;87458;42;1000,3
3108;28,39;87367;42;1000,3
3109;28,39;86825;42;1000,28
3110;28,38;87186;42;1000,28
3111;28,38;87095;42;1000,3
3112;28,38;87186;42;1000,3
3113;28,38;86557;42;1000,3
3114;28,38;87095;42;1000,3
3115;28,38;86915;42;1000,3
3116;28,38;86825;42;1000,3
3117;28,38;86290;42;1000,3
3118;28,38;87549;42;1000,3
3119;28,38;87640;42;1000,3
3120;28,38;86736;42;1000,3
3121;28,39;87095;42;1000,3
3122;28,39;87367;42;1000,28
3123;28,38;86825;42;1000,3
3124;28,39;86646;42;1000,3
3125;28,39;86825;42;1000,3
3126;28,39;85938;42;1000,3
3127;28,39;86379;42;1000,28
3128;28,38;86468;42;1000,3
3129;28,38;86736;42;1000,28
3130;28,38;86202;42;1000,28
3131;28,37;86202;42;1000,3
3132;28,38;86557;42;1000,28
3133;28,39;85587;42;1000,3
3134;28,39;85850;42;1000,3
3135;28,39;85500;42;1000,3
3136;28,38;85414;42;1000,28
3137;28,38;85500;42;1000,3
3138;28,38;86114;42;1000,3
3139;28,39;85500;42;1000,3
3140;28,38;85762;42;1000,3
3141;28,38;85587;42;1000,28
3142;28,38;85414;42;1000,28
3143;28,38;85327;42;1000,3
3144;28,38;85414;42;1000,3
3145;28,38;86114;42;1000,28
3146;28,38;85587;42;1000,3
3147;28,38;85587;42;1000,3
3148;28,38;85154;42;1000,3
3149;28,38;85240;42;1000,3
3150;28,38;85850;42;1000,28
3151;28,38;85938;42;1000,28
3152;28,38;86202;42;1000,3
3153;28,38;85762;42;1000,28
3154;28,38;85850;42;1000,3
3155;28,38;86290;42;1000,28
3156;28,39;85240;42;1000,3
3157;28,38;85675;42;1000,3
3158;28,38;85414;42;1000,3
3159;28,38;85068;42;1000,3
3160;28,38;84896;42;1000,3
3161;28,38;85675;42;1000,28
3162;28,38;84554;42;1000,3
3163;28,39;84982;42;1000,28
3164;28,38;85154;42;1000,3
3165;28,39;84215;42;1000,3
3166;28,38;84639;42;1000,28
3167;28,39;84215;42;1000,28
3168;28,38;83963;42;1000,28
3169;28,38;83795;42;1000,3
3170;28,38;83463;42;1000,3
3171;28,38;83463;42;1000,3
3172;28,38;83297;42;1000,3
3173;28,38;83132;42;1000,3
3174;28,38;82968;42;1000,3
3175;28,38;83297;42;1000,3
3176;28,38;82805;42;1000,28
3177;28,37;83380;42;1000,3
3178;28,38;83463;42;1000,3
3179;28,38;83712;42;1000,3
3180;28,38;83463;42;1000,33
3181;28,38;82886;42;1000,3
3182;28,38;82480;42;1000,3
3183;28,37;82642;42;1000,3
3184;28,37;83712;42;1000,3
3185;28,38;83463;42;1000,3
3186;28,37;83463;42;1000,3
3187;28,38;83380;42;1000,3
3188;28,38;83380;42;1000,3
3189;28,37;83132;42;1000,3
3190;28,38;83546;42;1000,3
3191;28,38;83795;42;1000,3
3192;28,38;83795;42;1000,3
3193;28,38;83879;42;1000,3
3194;28,37;83963;42;1000,3
3195;28,38;83795;42;1000,3
3196;28,38;83879;42;1000,3
3197;28,38;84047;42;1000,28
3198;28,38;83879;42;1000,3
3199;28,38;84215;42;1000,3
3200;28,38;83712;42;1000,28
3201;28,38;83546;42;1000,28
3202;28,38;83546;42;1000,3
3203;28,39;83712;42;1000,3
3204;28,39;83463;42;1000,28
3205;28,39;83963;42;1000,28
3206;28,39;83546;42;1000,3
3207;28,39;83795;42;1000,3
3208;28,38;83712;42;1000,3
3209;28,38;83963;42;1000,3
3210;28,38;83132;42;1000,3
3211;28,38;83795;42;1000,3
3212;28,38;82968;42;1000,3
3213;28,38;82886;42;1000,3
3214;28,38;83050;42;1000,3
3215;28,39;82805;42;1000,3
3216;28,38;82723;42;1000,3
3217;28,38;82886;42;1000,3
3218;28,38;82480;42;1000,3
3219;28,38;82561;42;1000,3
3220;28,38;82157;42;1000,3
3221;28,38;82480;42;1000,3
3222;28,38;82238;42;1000,3
3223;28,38;81837;42;1000,3
3224;28,38;81917;42;1000,3
3225;28,38;82077;42;1000,3
3226;28,38;81758;42;1000,3
3227;28,38;81599;42;1000,3
3228;28,38;81520;42;1000,3
3229;28,38;82238;42;1000,3
3230;28,38;82077;42;1000,3
3231;28,37;80970;42;1000,33
3232;28,38;81283;42;1000,3
3233;28,38;81283;42;1000,3
3234;28,37;81048;42;1000,33
3235;28,38;80737;42;1000,33
3236;28,38;81362;42;1000,33
3237;28,38;80814;42;1000,33
3238;28,38;80814;42;1000,33
3239;28,38;80737;42;1000,3
3240;28,37;80970;42;1000,3
3241;28,38;80505;42;1000,33
3242;28,38;80505;42;1000,3
3243;28,38;80351;42;1000,33
3244;28,37;80351;42;1000,33
3245;28,37;79817;42;1000,33
3246;28,37;79892;42;1000,3
3247;28,38;79892;42;1000,33
3248;28,37;79289;42;1000,33
3249;28,38;79665;42;1000,33
3250;28,37;79665;42;1000,33
3251;28,37;79515;42;1000,33
3252;28,37;79892;42;1000,33
3253;28,38;80428;42;1000,33
3254;28,38;79817;42;1000,33
3255;28,38;79665;42;1000,33
3256;28,38;79439;42;1000,33
3257;28,38;79590;42;1000,3
3258;28,37;79741;42;1000,33
3259;28,37;80045;42;1000,33
3260;28,37;80351;42;1000,33
3261;28,38;80045;42;1000,3
3262;28,38;80428;42;1000,33
3263;28,38;80659;42;1000,3
3264;28,38;80814;42;1000,33
3265;28,38;80274;42;1000,33
3266;28,38;80659;42;1000,3
3267;28,37;80582;42;1000,3
3268;28,38;80428;42;1000,3
3269;28,38;80659;42;1000,33
3270;28,36;80737;42;1000,28
3271;28,37;80737;42;1000,28
3272;28,37;81205;42;1000,33
3273;28,37;81520;42;1000,33
3274;28,38;81283;42;1000,33
3275;28,37;81520;42;1000,3
3276;28,37;82238;42;1000,3
3277;28,37;81520;42;1000,33
3278;28,37;81837;42;1000,28
3279;28,37;81520;42;1000,3
3280;28,38;81837;42;1000,3
3281;28,37;81441;42;1000,3
3282;28,38;81441;42;1000,3
3283;28,37;81917;42;1000,3
3284;28,38;82157;42;1000,3
3285;28,38;82238;42;1000,3
3286;28,38;82238;42;1000,3
3287;28,38;81678;42;1000,3
3288;28,38;82238;42;1000,3
3289;28,38;82561;42;1000,3
