;temperature;gas;humidity;barometer
2831;28,68;97917;41;1000,13
2832;28,68;96679;41;1000,09
2833;28,66;93872;41;1000,09
2834;28,66;93698;41;1000,09
2835;28,66;85938;41;1000,09
2836;28,65;78256;41;1000,12
2837;28,66;69174;41;1000,12
2838;28,65;66023;41;1000,12
2839;28,65;65153;41;1000,12
2840;28,65;64011;41;1000,12
2841;28,66;64207;41;1000,12
2842;28,66;65457;41;1000,09
2843;28,66;67076;41;1000,12
2844;28,66;68722;41;1000,09
2845;28,66;69575;41;1000,09
2846;28,66;67999;41;1000,12
2847;28,65;66916;41;1000,12
2848;28,65;65001;41;1000,08
2849;28,65;65867;41;1000,08
2850;28,65;66704;41;1000,08
2851;28,65;67291;42;1000,08
2852;28,65;68666;41;1000,08
2853;28,65;68275;42;1000,08
2854;28,65;68666;42;1000,08
2855;28,65;70332;42;1000,08
2856;28,64;70568;42;1000,08
2857;28,65;72454;42;1000,08
2858;28,65;73790;41;1000,09
2859;28,65;72081;42;1000,12
2860;28,64;72020;42;1000,09
2861;28,64;73467;42;1000,08
2862;28,64;75923;42;1000,08
2863;28,64;76896;42;1000,09
2864;28,63;76685;42;1000,08
2865;28,64;78475;42;1000,09
2866;28,58;80121;42;1000,12
2867;28,5;81520;42;1000,13
2868;28,46;82480;41;1000,09
2869;28,44;83215;41;1000,09
2870;28,46;84131;42;1000,12
2871;28,48;84725;42;1000,15
2872;28,48;85587;42;1000,15
2873;28,49;84896;42;1000,19
2874;28,48;86736;42;1000,17
2875;28,49;85500;42;1000,19
2876;28,49;86825;42;1000,17
2877;28,49;87095;42;1000,19
2878;28,5;87367;42;1000,19
2879;28,51;87549;42;1000,19
2880;28,51;88470;42;1000,21
2881;28,51;87549;42;1000,19
2882;28,52;87458;42;1000,19
2883;28,52;87186;42;1000,19
2884;28,53;88099;42;1000,19
2885;28,53;88285;42;1000,19
2886;28,54;88939;42;1000,17
2887;28,54;89412;42;1000,17
2888;28,54;90568;42;1000,17
2889;28,54;90179;42;1000,15
2890;28,55;90568;42;1000,17
2891;28,55;90862;42;1000,17
