;temperature;gas;humidity;barometer
1800;28,33;92056;41;1000,33
1801;28,33;91754;42;1000,37
1802;28,33;91855;42;1000,33
1803;28,33;91058;41;1000,33
1804;28,33;91654;41;1000,34
1805;28,33;91058;41;1000,34
1806;28,33;91754;42;1000,33
1807;28,33;91355;42;1000,33
1808;28,33;91256;41;1000,34
1809;28,33;91554;42;1000,37
1810;28,33;91455;41;1000,34
1811;28,33;92056;41;1000,33
1812;28,33;91455;41;1000,33
1813;28,33;90665;41;1000,34
1814;28,33;90470;41;1000,34
1815;28,33;90568;41;1000,34
1816;28,33;90276;41;1000,34
1817;28,33;90179;41;1000,33
1818;28,33;90276;41;1000,33
1819;28,33;89317;41;1000,33
1820;28,33;89602;41;1000,34
1821;28,33;89412;41;1000,34
1822;28,32;89602;41;1000,33
1823;28,33;89127;41;1000,33
1824;28,33;88751;41;1000,34
1825;28,33;89222;41;1000,33
1826;28,33;88845;41;1000,34
1827;28,33;88845;41;1000,3
1828;28,33;89127;41;1000,34
1829;28,33;88192;41;1000,34
1830;28,33;89222;41;1000,34
1831;28,33;88470;41;1000,34
1832;28,33;88285;41;1000,34
1833;28,33;88192;41;1000,3
1834;28,33;88470;41;1000,34
1835;28,33;89033;41;1000,33
1836;28,33;88192;41;1000,34
1837;28,33;88377;42;1000,34
1838;28,33;88099;41;1000,34
1839;28,33;89033;42;1000,34
1840;28,33;88751;42;1000,33
1841;28,33;89033;41;1000,34
1842;28,33;89127;41;1000,34
1843;28,33;88192;42;1000,34
1844;28,33;89033;42;1000,34
1845;28,34;88285;41;1000,33
1846;28,33;88007;42;1000,34
1847;28,33;87640;41;1000,3
1848;28,33;87640;41;1000,33
1849;28,34;87276;41;1000,33
1850;28,34;87367;41;1000,34
1851;28,34;87823;41;1000,34
1852;28,34;87276;41;1000,34
1853;28,34;87823;41;1000,33
1854;28,34;87549;41;1000,33
1855;28,34;87823;41;1000,33
1856;28,34;87095;41;1000,33
1857;28,34;87095;41;1000,33
1858;28,34;86915;41;1000,33
1859;28,34;86468;42;1000,33
