;temperature;gas;humidity;barometer
468;28,8;82318;41;1000,21
469;28,8;74908;41;1000,21
470;28,79;71712;41;1000,21
471;28,79;73275;41;1000,19
472;28,78;75923;41;1000,19
473;28,78;78038;41;1000,19
474;28,78;79289;41;1000,17
475;28,78;80892;41;1000,19
476;28,78;81441;41;1000,19
477;28,78;81599;41;1000,19
478;28,78;82723;41;1000,19
479;28,78;82805;41;1000,21
480;28,78;83546;41;1000,21
481;28,79;83795;41;1000,19
482;28,78;84384;41;1000,19
483;28,79;77534;41;1000,19
484;28,79;75243;41;1000,19
485;28,78;77966;41;1000,17
486;28,76;79968;41;1000,19
487;28,75;81048;41;1000,19
488;28,76;81283;41;1000,21
489;28,75;80197;41;1000,21
490;28,75;78991;41;1000,21
491;28,75;78622;41;1000,17
492;28,75;78843;41;1000,19
493;28,74;78548;41;1000,19
494;28,74;78183;41;1000,19
495;28,74;79665;41;1000,19
496;28,73;79140;41;1000,19
497;28,74;80121;41;1000,19
498;28,73;80892;41;1000,21
499;28,73;81048;41;1000,19
500;28,73;81678;41;1000,21
501;28,73;81599;41;1000,19
502;28,74;80970;41;1000,19
503;28,73;81917;41;1000,21
504;28,73;82399;41;1000,21
505;28,74;81917;41;1000,21
506;28,73;82561;41;1000,21
507;28,73;82805;42;1000,21
508;28,73;82886;42;1000,19
509;28,73;82077;42;1000,23
510;28,71;80659;42;1000,26
511;28,69;79289;42;1000,26
512;28,67;78256;42;1000,26
513;28,67;76545;42;1000,26
514;28,66;75243;42;1000,26
515;28,65;77606;42;1000,26
516;28,65;77966;42;1000,27
517;28,64;79590;42;1000,26
518;28,63;80814;41;1000,26
519;28,62;75855;42;1000,26
520;28,62;68947;42;1000,27
521;28,61;68610;42;1000,23
522;28,61;69460;42;1000,26
523;28,6;72143;42;1000,27
524;28,59;73855;42;1000,26
525;28,58;77320;42;1000,27
526;28,58;78769;41;1000,28
527;28,57;77966;41;1000,27
528;28,56;75582;41;1000,26
529;28,55;75311;41;1000,27
530;28,55;75514;41;1000,27
531;28,54;77391;41;1000,23
532;28,53;78548;41;1000,28
533;28,52;79817;41;1000,26
534;28,52;79968;41;1000,26
535;28,51;79741;41;1000,26
536;28,51;78402;41;1000,27
537;28,51;60076;41;1000,27
538;28,5;49208;41;1000,27
539;28,49;47006;41;1000,26
540;28,48;48219;41;1000,26
541;28,48;40887;41;1000,27
542;28,48;41451;41;1000,27
543;28,48;42541;41;1000,28
544;28,47;45435;41;1000,23
545;28,46;45682;41;1000,26
546;28,46;46032;41;1000,21
547;28,45;41989;41;1000,26
548;28,45;31304;41;1000,23
549;28,44;26312;41;1000,23
550;28,44;27409;41;1000,26
551;28,43;31374;42;1000,26
552;28,43;34205;42;1000,23
553;28,42;38884;42;1000,23
554;28,42;43063;42;1000,23
555;28,42;46032;42;1000,26
556;28,41;49236;42;1000,26
557;28,41;51217;42;1000,26
558;28,41;53533;42;1000,26
559;28,41;54119;42;1000,26
560;28,4;53295;42;1000,23
561;28,4;42584;42;1000,26
562;28,41;29258;42;1000,23
563;28,4;20766;42;1000,23
564;28,4;17556;42;1000,26
565;28,4;16457;42;1000,26
566;28,4;16718;42;1000,26
567;28,39;17809;42;1000,23
568;28,39;18306;42;1000,23
569;28,39;19695;42;1000,26
570;28,39;21554;42;1000,23
571;28,38;24193;42;1000,23
572;28,38;26378;42;1000,21
573;28,38;29380;42;1000,23
574;28,37;33050;42;1000,23
575;28,37;34656;42;1000,19
576;28,36;34944;42;1000,21
577;28,36;37767;42;1000,21
578;28,36;40338;42;1000,23
579;28,35;42931;42;1000,23
580;28,35;44241;42;1000,21
581;28,34;47297;42;1000,23
582;28,34;48864;42;1000,21
583;28,33;50418;42;1000,21
584;28,33;51562;42;1000,26
585;28,33;52826;42;1000,23
586;28,33;53807;42;1000,21
587;28,33;54049;42;1000,26
588;28,33;54825;42;1000,23
589;28,33;55771;42;1000,26
590;28,33;56750;42;1000,21
591;28,33;58003;42;1000,21
592;28,33;52009;42;1000,21
593;28,33;52106;42;1000,21
594;28,33;53194;42;1000,21
595;28,33;54505;42;1000,23
596;28,33;56942;42;1000,23
597;28,33;58204;42;1000,26
598;28,33;59608;42;1000,26
599;28,34;60771;42;1000,26
600;28,34;62257;42;1000,23
601;28,34;62909;42;1000,23
602;28,34;63768;42;1000,23
603;28,34;64109;42;1000,23
604;28,34;65559;42;1000,23
605;28,34;65816;42;1000,23
606;28,33;66651;42;1000,23
607;28,34;67670;42;1000,23
608;28,35;68220;42;1000,23
609;28,34;68610;42;1000,26
610;28,34;69117;42;1000,23
611;28,34;69403;42;1000,23
612;28,34;69691;42;1000,23
613;28,34;69922;42;1000,23
614;28,34;70450;42;1000,23
615;28,34;71166;42;1000,23
616;28,34;71468;42;1000,23
617;28,34;71529;42;1000,23
618;28,34;72642;42;1000,23
619;28,34;72894;42;1000,23
620;28,35;72957;42;1000,23
621;28,35;73855;42;1000,21
622;28,35;74181;42;1000,26
623;28,35;74510;42;1000,21
624;28,35;74510;42;1000,21
625;28,36;69174;42;1000,26
626;28,36;60948;42;1000,23
627;28,35;59397;42;1000,23
628;28,35;58164;42;1000,26
629;28,35;60033;42;1000,26
630;28,35;61259;42;1000,21
631;28,35;61936;42;1000,26
632;28,36;63575;42;1000,23
633;28,36;65355;42;1000,26
634;28,35;66704;42;1000,23
635;28,36;67237;42;1000,26
636;28,36;67023;42;1000,23
637;28,36;68331;42;1000,23
638;28,37;69518;42;1000,23
639;28,36;69231;42;1000,21
640;28,37;70097;42;1000,23
641;28,37;71468;42;1000,26
642;28,37;71835;42;1000,26
643;28,38;72020;42;1000,26
644;28,38;72267;42;1000,23
645;28,38;68947;42;1000,23
646;28,38;69004;42;1000,23
647;28,38;69806;42;1000,23
648;28,38;71774;42;1000,23
649;28,38;72579;42;1000,23
650;28,38;73661;42;1000,23
651;28,38;74444;42;1000,23
652;28,38;75582;42;1000,23
653;28,38;75718;42;1000,26
654;28,38;76755;42;1000,23
655;28,38;77249;42;1000,23
656;28,38;77677;42;1000,23
657;28,38;78402;42;1000,23
658;28,38;78991;42;1000,23
659;28,38;79439;42;1000,23
660;28,38;79590;42;1000,23
661;28,38;79665;42;1000,23
662;28,38;79590;42;1000,21
663;28,39;79665;42;1000,26
664;28,39;79665;42;1000,26
665;28,39;78402;42;1000,23
666;28,39;78256;42;1000,23
667;28,39;76337;42;1000,23
668;28,4;74642;42;1000,23
669;28,4;73855;42;1000,23
670;28,4;72831;42;1000,21
671;28,41;72768;42;1000,21
672;28,41;72454;42;1000,23
673;28,41;72957;42;1000,23
674;28,41;71166;42;1000,26
675;28,41;70568;42;1000,23
676;28,42;68109;42;1000,23
677;28,42;67130;42;1000,23
678;28,43;65971;42;1000,23
679;28,43;66023;42;1000,21
680;28,43;66023;42;1000,26
681;28,43;64158;42;1000,26
682;28,43;66493;42;1000,23
683;28,43;69288;42;1000,23
684;28,44;71590;42;1000,23
685;28,44;72579;42;1000,23
686;28,44;74050;42;1000,23
687;28,44;75582;42;1000,23
688;28,44;76476;42;1000,21
689;28,45;77463;42;1000,23
690;28,45;77893;42;1000,26
691;28,45;78548;42;1000,26
692;28,46;79741;42;1000,23
693;28,46;79968;42;1000,26
694;28,47;80045;42;1000,26
695;28,47;81205;42;1000,23
696;28,47;79364;42;1000,26
697;28,47;76476;42;1000,23
698;28,46;75582;42;1000,23
699;28,46;77107;42;1000,23
700;28,46;76966;42;1000,23
701;28,47;77391;42;1000,26
702;28,46;76966;42;1000,23
703;28,47;77391;42;1000,23
704;28,47;77534;42;1000,28
705;28,47;78038;42;1000,23
706;28,47;77677;42;1000,28
707;28,47;77821;42;1000,27
708;28,47;78622;42;1000,28
709;28,48;78329;42;1000,27
710;28,48;78991;42;1000,27
711;28,48;78843;42;1000,27
712;28,48;79968;42;1000,27
