;temperature;gas;humidity;barometer
620;28,4;90470;41;1011,25
621;28,4;90179;41;1011,24
622;28,41;89127;41;1011,24
623;28,41;89890;41;1011,25
624;28,41;89602;41;1011,26
625;28,41;90373;41;1011,24
626;28,41;89412;41;1011,25
627;28,41;89507;41;1011,25
628;28,41;90082;41;1011,25
629;28,41;89222;41;1011,26
630;28,41;89127;41;1011,25
631;28,41;89127;41;1011,25
632;28,41;89794;41;1011,25
633;28,41;89033;41;1011,25
634;28,41;89317;41;1011,26
635;28,41;88470;41;1011,24
636;28,41;87732;41;1011,25
637;28,41;88192;41;1011,25
638;28,41;87549;41;1011,25
639;28,42;87823;41;1011,25
640;28,41;87732;41;1011,26
641;28,42;88377;41;1011,25
642;28,41;87732;41;1011,25
643;28,41;87458;41;1011,26
644;28,42;88192;41;1011,26
645;28,42;87732;41;1011,25
646;28,42;88192;41;1011,26
647;28,42;87367;41;1011,26
648;28,42;86825;41;1011,26
649;28,42;86825;41;1011,26
650;28,42;87186;41;1011,25
651;28,42;87276;41;1011,25
652;28,42;88007;41;1011,25
653;28,42;87640;41;1011,25
654;28,42;88099;41;1011,25
655;28,42;88657;41;1011,25
656;28,42;88099;41;1011,25
657;28,42;87823;41;1011,25
658;28,42;88285;41;1011,25
659;28,42;87367;41;1011,25
660;28,42;86646;41;1011,25
661;28,42;85327;41;1011,25
662;28,41;84469;41;1011,25
663;28,42;84639;41;1011,25
664;28,42;83546;41;1011,25
665;28,41;83380;41;1011,25
666;28,42;82886;41;1011,25
667;28,42;82238;41;1011,25
668;28,42;82157;41;1011,25
669;28,43;81126;41;1011,25
670;28,43;81520;41;1011,25
671;28,42;80274;41;1011,25
672;28,43;80351;41;1011,25
673;28,43;80197;41;1011,26
674;28,43;79439;41;1011,24
675;28,42;79590;41;1011,24
676;28,43;78917;41;1011,25
677;28,43;79590;41;1011,25
678;28,43;78917;41;1011,25
679;28,43;78991;41;1011,24
680;28,43;78769;41;1011,26
681;28,43;79289;41;1011,25
682;28,43;78991;41;1011,25
683;28,43;78917;41;1011,24
684;28,43;79364;41;1011,26
685;28,43;79968;41;1011,26
686;28,43;79892;41;1011,26
687;28,43;80197;41;1011,26
688;28,43;80582;41;1011,26
689;28,43;79968;41;1011,25
690;28,43;80659;41;1011,26
691;28,43;80737;41;1011,26
692;28,43;81837;41;1011,26
693;28,43;81599;41;1011,26
694;28,43;81837;41;1011,26
695;28,43;81837;41;1011,26
696;28,43;82399;41;1011,26
697;28,43;82886;41;1011,25
698;28,43;81997;41;1011,26
699;28,43;82318;41;1011,24
700;28,43;82480;41;1011,26
701;28,43;82561;41;1011,26
702;28,43;82399;41;1011,25
703;28,43;82318;41;1011,26
704;28,43;82157;41;1011,25
705;28,44;82238;41;1011,25
706;28,43;81917;41;1011,25
707;28,43;82318;41;1011,26
708;28,43;81837;41;1011,26
709;28,43;81205;41;1011,26
710;28,44;81758;41;1011,26
711;28,43;82318;41;1011,26
712;28,43;81837;41;1011,26
713;28,43;82238;41;1011,26
714;28,43;81678;41;1011,26
715;28,44;82157;41;1011,25
716;28,43;82238;41;1011,26
717;28,43;81917;41;1011,26
718;28,43;82077;41;1011,25
719;28,44;82157;41;1011,25
720;28,44;82238;41;1011,26
721;28,43;82968;41;1011,26
722;28,43;82077;41;1011,25
723;28,43;81917;41;1011,25
724;28,44;82077;41;1011,25
725;28,44;82318;41;1011,26
726;28,44;82723;41;1011,25
727;28,43;81997;41;1011,26
728;28,44;82399;41;1011,25
729;28,43;82157;41;1011,25
730;28,44;82642;41;1011,26
731;28,43;82561;41;1011,26
732;28,43;82805;41;1011,26
733;28,43;83132;41;1011,26
734;28,43;83050;41;1011,26
735;28,44;83215;41;1011,26
736;28,43;84384;41;1011,26
737;28,43;84047;41;1011,26
738;28,43;84554;41;1011,26
739;28,43;84300;41;1011,26
740;28,43;84725;41;1011,26
741;28,43;84982;41;1011,26
742;28,43;84554;41;1011,25
743;28,43;84384;41;1011,26
744;28,43;84384;41;1011,25
745;28,43;84639;41;1011,25
746;28,43;84896;41;1011,25
747;28,43;84810;41;1011,24
748;28,43;85068;41;1011,24
749;28,43;85068;41;1011,26
750;28,42;85500;41;1011,25
751;28,43;85500;41;1011,24
752;28,43;85850;41;1011,26
753;28,43;85327;41;1011,25
754;28,42;85154;41;1011,25
755;28,43;85068;41;1011,25
756;28,42;86290;41;1011,25
757;28,42;85068;41;1011,26
758;28,42;85327;41;1011,25
759;28,42;86025;41;1011,25
760;28,42;85327;41;1011,25
761;28,42;84725;41;1011,25
762;28,42;85327;41;1011,25
763;28,43;84896;41;1011,29
764;28,43;85068;41;1011,25
765;28,42;85414;41;1011,25
766;28,42;85762;41;1011,25
767;28,42;86290;41;1011,25
768;28,41;86825;41;1011,25
769;28,42;86025;41;1011,25
770;28,42;86557;41;1011,25
771;28,42;86646;41;1011,25
772;28,42;86825;41;1011,25
773;28,43;87915;41;1011,25
774;28,42;87823;41;1011,25
775;28,42;87549;41;1011,25
776;28,42;87640;41;1011,25
777;28,42;87276;41;1011,25
778;28,42;88007;41;1011,25
779;28,42;88007;41;1011,25
780;28,42;88377;41;1011,26
781;28,42;88657;41;1011,26
782;28,42;88564;41;1011,25
783;28,42;88845;41;1011,26
784;28,41;89222;41;1011,26
785;28,42;88939;41;1011,25
786;28,41;89127;41;1011,26
787;28,41;89412;41;1011,26
788;28,42;88939;41;1011,25
789;28,41;89602;41;1011,24
790;28,41;89222;41;1011,26
791;28,41;90568;41;1011,25
792;28,41;89986;41;1011,25
793;28,42;89507;41;1011,25
794;28,42;90179;41;1011,25
795;28,41;90960;41;1011,26
796;28,41;89986;41;1011,26
797;28,41;90862;41;1011,26
798;28,41;90568;41;1011,26
799;28,41;90568;41;1011,26
800;28,41;91157;41;1011,26
