;temperature;gas;humidity;barometer
1150;24,6;705;51;1000,97
1151;24,6;705;52;1000,99
1152;24,59;705;52;1000,99
1153;24,59;705;52;1000,97
1154;24,58;705;51;1000,99
1155;24,58;705;52;1000,99
1156;24,57;705;52;1000,99
1157;24,57;705;52;1001,01
1158;24,56;705;52;1000,95
1159;24,56;705;52;1000,95
1160;24,56;705;52;1000,97
1161;24,55;705;52;1000,97
1162;24,55;705;52;1000,99
1163;24,55;705;52;1000,99
1164;24,54;705;52;1000,97
1165;24,54;705;52;1000,97
1166;24,53;705;52;1000,99
1167;24,53;705;52;1000,99
1168;24,52;705;52;1000,93
1169;24,51;705;52;1000,99
1170;24,51;705;52;1000,99
1171;24,51;705;52;1000,95
1172;24,5;705;52;1000,97
1173;24,5;705;52;1000,97
1174;24,5;705;52;1000,97
1175;24,49;705;52;1000,99
1176;24,49;705;51;1000,99
1177;24,48;705;51;1000,97
1178;24,48;705;52;1000,97
1179;24,48;705;52;1000,97
1180;24,46;705;52;1000,95
1181;24,47;705;52;1000,99
1182;24,47;705;52;1000,99
1183;24,47;705;52;1000,99
1184;24,46;705;52;1000,97
1185;24,46;705;52;1000,99
1186;24,45;705;52;1000,99
1187;24,45;705;52;1000,99
1188;24,44;705;52;1000,97
1189;24,44;705;52;1000,97
1190;24,44;705;52;1000,99
1191;24,43;705;52;1000,99
1192;24,43;705;52;1000,99
1193;24,43;705;52;1000,99
1194;24,43;705;52;1000,99
1195;24,42;857;52;1000,99
1196;24,41;1093;52;1000,97
1197;24,39;1003;52;1000,97
1198;24,38;979;52;1000,97
1199;24,38;992;52;1000,97
1200;24,37;1024;52;1000,97
1201;24,37;1074;52;1000,97
1202;24,35;1181;52;1000,97
1203;24,36;1242;52;1000,99
1204;24,35;1310;52;1000,99
1205;24,35;1472;52;1000,93
1206;24,34;1753;52;1000,95
1207;24,34;1887;52;1000,95
1208;24,34;2091;52;1000,93
1209;24,32;2231;52;1000,95
1210;24,31;2412;51;1000,95
1211;24,32;2547;51;1000,93
1212;24,3;2680;51;1000,95
1213;24,3;2916;51;1000,95
1214;24,29;3070;51;1000,95
1215;24,29;3139;51;1000,95
1216;24,29;3169;51;1000,93
1217;24,29;3226;51;1000,93
1218;24,28;3318;51;1000,97
1219;24,28;3436;51;1000,95
1220;24,27;3536;51;1000,95
1221;24,26;3644;51;1000,95
1222;24,26;3693;51;1000,97
1223;24,25;3803;51;1000,97
