;temperature;gas;humidity;barometer
184;22,87;61303;55;1004,44
185;22,87;60119;55;1004,44
186;22,87;48414;55;1004,43
187;22,86;35504;56;1004,43
188;22,86;23533;56;1004,44
189;22,86;17440;56;1004,44
190;22,86;15162;56;1004,47
191;22,85;14267;56;1004,43
192;22,85;14209;56;1004,47
193;22,86;14947;57;1004,44
194;22,86;17085;57;1004,44
195;22,86;18306;57;1004,44
196;22,86;18697;57;1004,47
197;22,86;20503;57;1004,47
198;22,86;23273;57;1004,47
199;22,85;24807;57;1004,44
200;22,84;26832;57;1004,44
201;22,85;29237;57;1004,44
202;22,85;31562;57;1004,44
203;22,85;32389;57;1004,47
204;22,85;30936;57;1004,47
205;22,86;29670;57;1004,47
206;22,86;25483;57;1004,47
207;22,86;14957;57;1004,44
208;22,86;12980;57;1004,47
209;22,85;12837;57;1004,47
210;22,86;14716;57;1004,48
211;22,85;14113;57;1004,44
212;22,85;13317;57;1004,43
213;22,85;13093;57;1004,47
214;22,86;14001;57;1004,47
215;22,86;16907;57;1004,47
216;22,86;20911;57;1004,47
217;22,86;25576;57;1004,47
218;22,86;26747;57;1004,47
219;22,87;25907;57;1004,44
220;22,86;24221;57;1004,44
221;22,85;25560;57;1004,43
222;22,86;26935;57;1004,44
223;22,87;26987;57;1004,44
224;22,87;22524;57;1004,44
225;22,87;15532;57;1004,44
226;22,87;13798;57;1004,44
227;22,88;12084;58;1004,47
228;22,87;9557;58;1004,44
229;22,88;10526;58;1004,47
230;22,87;13126;58;1004,44
231;22,86;16291;58;1004,47
232;22,86;16600;58;1004,47
233;22,86;18499;58;1004,47
234;22,86;18697;58;1004,47
235;22,86;19585;58;1004,47
236;22,87;20766;58;1004,47
237;22,87;21249;58;1004,44
238;22,88;20766;58;1004,47
239;22,88;19440;58;1004,47
240;22,88;19422;58;1004,44
241;22,88;19476;58;1004,44
242;22,88;20014;58;1004,47
243;22,89;22238;58;1004,47
244;22,9;23560;58;1004,44
245;22,91;24836;58;1004,43
246;22,91;24661;58;1004,43
247;22,91;24041;58;1004,43
248;22,92;24376;58;1004,44
249;22,92;25907;58;1004,44
250;22,92;27752;58;1004,43
251;22,93;30030;58;1004,43
252;22,93;31539;58;1004,47
253;22,94;33631;58;1004,43
254;22,93;36364;58;1004,47
255;22,94;37036;58;1004,41
256;22,93;32614;58;1004,44
257;22,94;32413;58;1004,44
258;22,94;32844;58;1004,44
259;22,95;34150;58;1004,43
260;22,95;35625;58;1004,43
261;22,95;36301;57;1004,41
262;22,95;38179;57;1004,43
263;22,95;38634;57;1004,44
264;22,95;40184;57;1004,44
265;22,96;40729;57;1004,44
266;22,96;41167;57;1004,44
267;22,96;41288;57;1004,44
268;22,97;41739;57;1004,43
269;22,97;41574;57;1004,43
270;22,97;41864;57;1004,43
271;22,97;41167;57;1004,43
272;22,97;40377;57;1004,44
273;22,97;37767;57;1004,44
274;22,98;38006;57;1004,44
275;22,98;38248;57;1004,44
276;22,98;39101;57;1004,43
277;22,98;40494;57;1004,43
278;22,98;41288;57;1004,43
279;22,98;41047;57;1004,43
280;22,99;41739;57;1004,43
281;22,99;41370;57;1004,41
282;22,99;41864;57;1004,43
283;22,99;42284;57;1004,44
284;22,99;42975;57;1004,43
285;22,99;42844;57;1004,41
286;22,99;43872;57;1004,43
287;23;45632;57;1004,43
288;23;49179;57;1004,43
289;23,01;52365;57;1004,43
290;23,01;55367;57;1004,44
291;23,01;56712;57;1004,43
292;23,01;56597;57;1004,41
293;23,02;55956;57;1004,43
294;23,02;54682;57;1004,43
295;23,02;53060;57;1004,41
296;23,03;53738;57;1004,43
297;23,04;54470;57;1004,44
298;23,03;56369;57;1004,41
299;23,03;57487;57;1004,43
300;23,04;57963;57;1004,43
