;temperature;gas;humidity;barometer
20;27,44;98376;43;1001,05
21;27,44;98664;43;1001,05
22;27,44;99364;43;1001,03
23;27,45;97803;43;1001,03
24;27,45;96568;43;1001,03
25;27,45;95743;43;1001,03
26;27,45;94771;43;1001,03
27;27,45;94825;43;1001,05
28;27,46;94985;43;1001,05
29;27,46;95093;43;1001,05
30;27,46;96346;43;1001,05
31;27,47;95743;43;1001,03
32;27,47;94541;43;1001,05
33;27,48;94329;43;1001,05
34;27,48;89033;43;1001,05
35;27,48;84810;43;1001,05
36;27,48;79289;43;1001,03
37;27,49;76268;43;1001,03
38;27,49;73467;43;1001,03
39;27,49;71590;43;1001,01
40;27,5;71226;43;1001,05
41;27,5;72020;43;1001,03
42;27,5;72143;43;1001,03
43;27,51;71347;43;1001,03
44;27,51;71045;43;1001,03
45;27,51;69403;43;1001,03
46;27,52;66493;43;1001,05
47;27,52;63768;43;1001,03
48;27,52;60249;43;1001,01
49;27,52;58244;43;1001,01
50;27,53;55294;43;1001,01
51;27,53;52859;43;1001,01
52;27,53;51030;43;1001,05
53;27,54;49909;43;1001,01
54;27,54;48442;43;1001,01
55;27,54;47430;43;1001,01
56;27,54;46032;43;1001,01
57;27,55;45632;43;1000,99
58;27,54;44522;43;1000,99
59;27,56;43689;43;1001,01
60;27,56;43107;43;1000,99
61;27,56;42327;43;1001,01
62;27,56;41167;43;1000,99
63;27,57;40455;43;1000,99
64;27,57;39579;43;1000,99
65;27,57;38599;43;1000,99
66;27,58;37266;43;1000,99
67;27,58;36971;43;1000,99
68;27,58;36301;43;1000,99
69;27,58;35266;43;1000,99
70;27,59;34771;43;1000,97
71;27,59;34289;43;1000,97
72;27,59;33180;43;1000,97
73;27,6;32413;43;1001,03
74;27,59;31753;43;1000,97
75;27,6;31165;43;1001,01
76;27,61;30181;43;1001,01
77;27,61;29380;43;1001,01
78;27,62;27844;43;1001,01
79;27,62;27427;43;1001,01
80;27,62;25670;43;1001,01
81;27,62;23905;43;1001,03
82;27,62;22052;43;1001,03
83;27,62;21249;43;1001,03
84;27,62;19976;43;1001,01
85;27,62;19157;43;1001,01
86;27,62;18915;43;1001,01
87;27,62;18747;43;1001,01
88;27,63;18581;43;1001,01
89;27,63;18865;43;1001,01
90;27,64;19677;43;1001,03
91;27,64;20603;43;1001,03
92;27,63;21532;43;1001,03
93;27,63;22476;43;1001,01
94;27,63;21959;43;1001,01
95;27,62;21314;43;1001,01
96;27,63;20931;43;1001,01
97;27,62;20483;43;1001,01
98;27,63;20483;43;1001,01
99;27,63;20603;43;1001,01
100;27,63;20766;44;1000,99
101;27,63;20848;44;1001,01
102;27,64;20828;44;1000,99
103;27,63;21057;44;1001,01
104;27,64;21206;44;1001,01
105;27,64;21400;44;1000,99
106;27,65;21621;44;1001,03
107;27,65;21982;45;1001,01
108;27,66;21936;45;1001,01
109;27,66;23973;45;1001,01
110;27,66;25330;45;1001,01
111;27,67;26165;45;1001,01
112;27,66;26197;45;1001,01
113;27,66;26477;45;1000,99
114;27,66;26279;45;1000,99
115;27,67;26312;45;1000,97
116;27,68;26246;45;1000,99
117;27,68;26394;45;1001,01
118;27,68;26312;45;1000,99
119;27,68;25670;45;1001,01
120;27,69;25284;45;1000,97
121;27,69;25238;45;1001,01
122;27,7;24851;45;1000,99
123;27,7;24221;45;1000,99
124;27,7;23221;45;1000,99
125;27,71;22191;45;1000,99
