;temperature;gas;humidity;barometer
20;29,17;65971;40;1004,91
21;29,17;65713;40;1004,91
22;29,17;65254;40;1004,91
23;29,16;65052;40;1004,9
24;29,16;65304;40;1004,9
25;29,16;62721;40;1004,9
26;29,15;61573;40;1004,9
27;29,15;59188;40;1004,91
28;29,15;57252;40;1004,9
29;29,16;55771;40;1004,9
30;29,15;54189;40;1004,9
31;29,16;52694;40;1004,91
32;29,16;50692;40;1004,9
33;29,16;49761;40;1004,9
34;29,16;48386;40;1004,9
35;29,16;47430;40;1004,91
36;29,16;45337;40;1004,9
37;29,16;44711;40;1004,91
38;29,16;44194;40;1004,9
39;29,16;43019;40;1004,87
40;29,16;41989;40;1004,9
41;29,16;41370;40;1004,91
42;29,16;40338;40;1004,9
43;29,16;39320;40;1004,9
44;29,16;38528;40;1004,87
45;29,16;37465;40;1004,9
46;29,16;36364;40;1004,91
47;29,17;35746;40;1004,91
48;29,17;34261;40;1004,87
49;29,17;32921;40;1004,91
50;29,17;31027;40;1004,91
51;29,17;29712;40;1004,9
52;29,17;28123;40;1004,91
53;29,17;26595;40;1004,91
54;29,16;23797;40;1004,9
55;29,17;22621;40;1004,9
56;29,17;21314;40;1004,9
57;29,17;20187;40;1004,91
58;29,17;19070;40;1004,91
59;29,18;18370;40;1004,9
60;29,18;17268;40;1004,9
61;29,18;16560;40;1004,91
62;29,18;15429;40;1004,91
63;29,18;14936;40;1004,9
64;29,18;14306;40;1004,9
65;29,18;13394;40;1004,9
66;29,18;12539;40;1004,87
67;29,18;11773;40;1004,9
68;29,18;11237;40;1004,9
69;29,18;10463;40;1004,91
70;29,18;9807;40;1004,9
71;29,19;9212;40;1004,91
72;29,19;8693;40;1004,91
73;29,19;8394;40;1004,9
74;29,19;7847;40;1004,91
75;29,19;7393;40;1004,91
76;29,2;6970;40;1004,91
77;29,2;6686;40;1004,9
78;29,19;6338;40;1004,9
79;29,2;5984;40;1004,9
80;29,2;5656;40;1004,9
81;29,19;5450;40;1004,9
82;29,2;5134;40;1004,9
83;29,2;4875;40;1004,9
84;29,2;4600;40;1004,9
85;29,2;4455;40;1004,91
86;29,21;4181;40;1004,91
87;29,21;3959;40;1004,91
88;29,22;3765;40;1004,91
89;29,22;3644;40;1004,91
90;29,22;3465;40;1004,91
91;29,21;3262;40;1004,9
92;29,22;3103;40;1004,9
93;29,22;2998;40;1004,9
94;29,22;2830;40;1004,87
95;29,22;2686;40;1004,9
96;29,22;2535;40;1004,87
97;29,23;2461;40;1004,91
98;29,23;2332;40;1004,91
99;29,23;2224;40;1004,9
100;29,23;2137;40;1004,87
101;29,23;2031;40;1004,91
102;29,23;1958;40;1004,9
103;29,24;1869;40;1004,9
104;29,24;1765;41;1004,9
105;29,24;1675;41;1004,9
106;29,24;1614;41;1004,9
107;29,24;1524;41;1004,9
108;29,24;1444;41;1004,9
109;29,25;1362;41;1004,91
110;29,25;1308;41;1004,91
111;29,26;1237;41;1004,91
112;29,26;1168;41;1004,9
113;29,26;1100;41;1004,9
114;29,26;1061;41;1004,9
115;29,26;999;41;1004,9
116;29,27;941;41;1004,9
117;29,27;886;41;1004,9
118;29,27;848;41;1004,91
119;29,27;800;41;1004,9
120;29,27;757;41;1004,91
121;29,27;705;41;1004,91
122;29,28;705;41;1004,91
123;29,29;705;41;1004,9
124;29,29;705;41;1004,94
125;29,3;705;41;1004,91
126;29,3;705;41;1004,94
127;29,3;705;41;1004,9
128;29,31;705;41;1004,91
129;29,31;705;41;1004,94
130;29,31;705;41;1004,91
131;29,31;705;42;1004,91
132;29,31;705;42;1004,91
133;29,31;705;42;1004,91
134;29,32;705;42;1004,9
135;29,3;705;42;1004,87
136;29,32;705;42;1004,91
137;29,32;705;42;1004,91
138;29,33;705;42;1004,94
139;29,33;705;42;1004,94
140;29,33;705;42;1004,91
141;29,33;705;42;1004,91
142;29,33;705;42;1004,91
143;29,34;705;42;1004,91
144;29,34;705;42;1004,9
145;29,34;705;42;1004,9
146;29,34;705;42;1004,9
147;29,33;705;42;1004,87
148;29,35;705;42;1004,94
149;29,35;705;42;1004,94
150;29,36;705;42;1004,94
151;29,36;705;42;1004,94
152;29,36;705;43;1004,91
153;29,36;705;43;1004,91
154;29,36;705;43;1004,91
155;29,37;705;43;1004,94
156;29,36;705;43;1004,91
157;29,38;705;43;1004,94
158;29,38;705;43;1004,91
159;29,36;705;43;1004,87
160;29,37;705;43;1004,91
161;29,38;705;43;1004,91
162;29,38;705;43;1004,9
163;29,39;705;43;1004,9
164;29,39;705;43;1004,94
165;29,39;705;43;1004,91
166;29,39;705;43;1004,94
167;29,4;705;43;1004,91
168;29,4;705;43;1004,91
169;29,4;705;43;1004,9
170;29,41;705;43;1004,94
171;29,39;705;43;1004,9
172;29,41;705;43;1004,91
173;29,42;705;44;1004,91
174;29,42;705;44;1004,91
175;29,42;705;44;1004,91
176;29,42;705;44;1004,9
177;29,43;705;44;1004,91
178;29,43;705;44;1004,94
179;29,43;705;44;1004,91
180;29,44;705;44;1004,91
181;29,44;705;44;1004,9
182;29,44;705;44;1004,94
183;29,45;705;44;1004,94
184;29,45;705;44;1004,94
185;29,46;705;44;1004,91
186;29,46;705;44;1004,91
187;29,46;705;44;1004,91
188;29,46;705;44;1004,91
189;29,47;705;44;1004,94
190;29,47;705;44;1004,94
191;29,47;705;44;1004,94
192;29,48;705;45;1004,91
193;29,48;705;45;1004,91
194;29,49;705;45;1004,94
195;29,49;705;45;1004,94
196;29,49;705;45;1004,91
197;29,49;705;45;1004,91
198;29,49;705;45;1004,91
199;29,5;705;45;1004,94
200;29,5;705;45;1004,91
201;29,51;705;45;1004,94
202;29,51;705;45;1004,91
203;29,51;705;45;1004,91
204;29,52;705;45;1004,91
205;29,52;705;45;1004,91
206;29,52;705;45;1004,91
207;29,53;705;45;1004,94
208;29,53;705;45;1004,91
209;29,53;705;45;1004,91
210;29,54;705;46;1004,91
211;29,54;705;46;1004,9
212;29,54;705;46;1004,94
213;29,55;705;46;1004,91
214;29,55;705;46;1004,91
215;29,56;705;46;1004,91
216;29,56;705;46;1004,9
217;29,56;705;46;1004,9
218;29,57;705;46;1004,95
219;29,57;705;46;1004,95
220;29,57;705;46;1004,94
221;29,58;705;46;1004,94
222;29,59;705;46;1004,95
223;29,59;705;46;1004,95
224;29,59;705;46;1004,95
225;29,6;705;46;1004,95
226;29,6;705;46;1004,94
227;29,6;705;47;1004,98
228;29,61;705;47;1004,95
229;29,61;705;47;1004,95
230;29,62;705;47;1004,95
231;29,62;705;47;1004,95
232;29,62;705;47;1004,94
233;29,62;705;47;1004,94
234;29,63;705;47;1004,98
235;29,63;705;47;1004,95
236;29,64;705;47;1004,95
237;29,64;705;47;1004,91
238;29,64;705;47;1004,94
239;29,65;705;47;1004,95
240;29,65;705;47;1004,95
241;29,65;705;47;1004,95
242;29,66;705;47;1004,95
243;29,66;705;47;1004,94
244;29,66;705;47;1004,94
245;29,66;705;47;1004,95
246;29,67;705;47;1004,94
247;29,67;705;47;1004,94
248;29,68;705;47;1004,94
249;29,69;705;48;1004,95
250;29,69;705;48;1004,95
251;29,69;705;48;1004,95
252;29,69;705;48;1004,94
253;29,69;705;48;1004,94
254;29,7;705;48;1004,98
255;29,71;705;48;1004,95
256;29,71;705;48;1004,91
257;29,71;705;48;1004,95
258;29,71;705;48;1004,94
259;29,71;705;48;1004,94
260;29,72;705;48;1004,94
261;29,72;705;48;1004,94
262;29,73;705;48;1004,95
263;29,73;705;48;1004,95
264;29,73;705;48;1004,94
265;29,74;705;48;1004,94
266;29,74;705;48;1004,94
267;29,74;705;48;1004,91
268;29,75;705;48;1004,95
269;29,75;705;48;1004,91
270;29,75;705;48;1004,94
271;29,76;705;48;1004,94
272;29,76;705;48;1004,94
273;29,76;705;48;1004,94
274;29,77;705;48;1004,95
275;29,77;705;48;1004,95
276;29,78;705;48;1004,95
277;29,78;705;48;1004,95
278;29,78;705;48;1004,94
279;29,78;705;49;1004,94
280;29,78;705;49;1004,94
281;29,78;705;49;1005
282;29,79;705;49;1004,98
283;29,79;705;49;1004,98
284;29,79;705;49;1004,98
285;29,79;705;49;1004,98
286;29,8;705;49;1004,95
287;29,8;705;49;1005
288;29,8;705;49;1004,95
289;29,8;705;49;1004,98
290;29,81;705;49;1004,98
291;29,81;705;49;1004,98
292;29,81;705;49;1004,98
293;29,82;705;49;1004,98
294;29,81;705;49;1004,98
295;29,81;705;49;1004,95
296;29,82;705;49;1004,98
297;29,82;705;49;1004,95
298;29,83;705;49;1004,98
299;29,83;705;49;1004,98
300;29,83;705;49;1004,98
301;29,84;705;49;1004,98
302;29,84;705;49;1004,98
303;29,84;705;49;1004,95
304;29,84;705;49;1004,98
305;29,84;705;49;1004,98
306;29,85;705;49;1005
307;29,85;705;49;1005
308;29,85;705;49;1005
309;29,85;705;49;1004,98
310;29,85;705;49;1005
311;29,85;705;49;1004,98
312;29,85;705;49;1004,98
313;29,85;705;49;1004,98
314;29,86;705;49;1004,95
315;29,85;705;49;1004,98
316;29,86;705;49;1004,98
317;29,86;705;49;1004,98
318;29,86;705;49;1004,98
319;29,87;705;49;1004,95
320;29,87;705;49;1004,98
321;29,87;705;49;1005
322;29,87;705;49;1005
323;29,87;705;49;1004,98
324;29,87;705;49;1004,98
325;29,87;705;49;1004,98
326;29,88;705;49;1005
327;29,88;705;49;1004,98
328;29,88;705;49;1004,95
329;29,88;705;49;1005
330;29,88;705;49;1004,95
331;29,88;705;49;1004,95
332;29,87;705;49;1004,98
333;29,87;705;49;1005,09
334;29,87;705;49;1005,15
335;29,87;705;49;1005
336;29,86;705;49;1004,98
337;29,85;705;49;1005
338;29,85;705;49;1004,95
339;29,84;705;49;1004,95
340;29,85;705;48;1004,95
341;29,84;705;48;1004,98
342;29,84;705;48;1004,98
343;29,84;705;48;1004,98
344;29,84;705;48;1004,98
345;29,83;705;48;1004,98
346;29,84;705;48;1004,98
347;29,83;705;48;1004,98
348;29,83;705;48;1004,98
349;29,84;705;48;1004,98
350;29,84;705;48;1004,98
351;29,84;705;48;1004,98
352;29,84;705;48;1004,98
353;29,82;705;48;1005
354;29,83;705;48;1004,98
355;29,83;705;47;1004,98
356;29,83;705;47;1004,98
357;29,83;705;47;1004,98
358;29,83;705;47;1005
359;29,83;705;47;1005
360;29,83;705;47;1005
361;29,83;705;47;1005
362;29,83;705;47;1005
363;29,83;705;47;1005
364;29,83;705;47;1005
365;29,81;705;47;1005
366;29,83;705;47;1005
367;29,83;705;47;1005
368;29,83;705;47;1004,98
369;29,82;705;47;1004,98
370;29,83;705;47;1004,98
371;29,82;705;47;1004,98
372;29,82;705;47;1004,98
373;29,82;705;47;1004,98
374;29,82;705;47;1004,98
375;29,82;705;47;1004,98
376;29,82;705;47;1004,98
377;29,82;705;47;1004,98
378;29,82;705;47;1004,98
379;29,82;705;47;1004,98
380;29,82;705;47;1004,98
381;29,82;705;47;1004,98
382;29,82;705;47;1004,98
383;29,82;705;47;1005
384;29,82;705;47;1005
385;29,81;705;47;1004,98
386;29,81;705;47;1005
387;29,81;705;47;1005
388;29,81;705;47;1005
389;29,81;705;47;1005
390;29,81;705;47;1004,98
391;29,81;705;47;1005
392;29,81;705;47;1005
393;29,81;705;47;1005
394;29,81;705;47;1005
395;29,81;705;47;1005
396;29,8;705;47;1004,98
397;29,81;705;47;1004,98
398;29,8;705;47;1004,98
399;29,8;705;47;1004,98
400;29,8;705;47;1004,98
401;29,78;705;47;1004,98
402;29,8;705;47;1004,98
403;29,8;705;47;1004,98
404;29,8;705;47;1004,98
405;29,8;705;47;1004,98
406;29,8;705;47;1005
407;29,8;705;47;1005
408;29,79;705;47;1004,98
409;29,79;705;47;1005
410;29,79;705;47;1004,98
411;29,79;705;47;1004,98
412;29,79;705;47;1005
413;29,79;705;47;1005
414;29,79;705;47;1005
415;29,79;705;47;1005
416;29,79;705;47;1005,01
417;29,79;705;47;1005
418;29,79;705;47;1005
419;29,79;705;47;1005,01
420;29,78;705;46;1004,95
421;29,78;705;47;1005
422;29,78;705;46;1004,94
423;29,78;705;47;1004,94
424;29,78;705;46;1004,95
425;29,78;705;47;1004,95
426;29,78;705;47;1004,95
427;29,78;705;46;1004,95
428;29,77;705;46;1004,98
429;29,78;705;46;1004,98
430;29,77;705;47;1004,98
431;29,77;705;46;1004,98
432;29,77;705;46;1004,98
433;29,77;705;46;1004,98
434;29,77;705;46;1004,98
435;29,76;705;46;1004,98
436;29,76;705;46;1004,95
437;29,76;705;46;1004,95
438;29,76;705;46;1004,95
439;29,76;705;46;1004,95
440;29,76;705;46;1004,95
441;29,75;705;46;1004,98
442;29,75;705;46;1004,98
443;29,76;705;46;1004,98
444;29,76;705;46;1004,98
445;29,75;705;46;1004,98
446;29,76;705;46;1004,98
447;29,75;705;46;1004,98
448;29,74;705;46;1004,94
449;29,73;705;46;1004,95
450;29,74;705;46;1004,94
451;29,75;705;46;1004,98
452;29,75;705;46;1004,95
453;29,75;705;46;1005
454;29,74;705;46;1004,95
455;29,75;705;46;1004,95
456;29,74;705;46;1004,95
457;29,74;705;46;1004,98
458;29,74;705;46;1004,95
459;29,74;705;46;1004,95
460;29,74;705;46;1004,95
461;29,72;705;46;1004,94
462;29,73;705;46;1004,98
463;29,74;705;46;1004,98
464;29,73;705;46;1004,98
465;29,72;705;46;1004,94
466;29,73;705;46;1004,98
467;29,73;705;46;1004,98
468;29,73;705;46;1004,98
469;29,73;705;46;1004,98
470;29,72;705;46;1004,95
471;29,72;705;46;1004,95
472;29,72;705;46;1004,95
473;29,7;705;46;1004,91
474;29,71;705;46;1004,95
475;29,72;705;46;1004,95
476;29,72;705;46;1004,98
477;29,71;705;46;1004,98
478;29,71;705;46;1004,98
479;29,71;705;46;1004,98
480;29,71;705;46;1004,98
481;29,71;705;46;1004,98
482;29,71;705;46;1005
483;29,71;705;46;1004,98
484;29,71;705;46;1005
485;29,71;705;46;1004,95
486;29,69;705;46;1004,94
487;29,7;705;46;1004,95
488;29,7;705;46;1004,95
489;29,7;705;46;1004,98
490;29,69;705;46;1004,95
491;29,7;705;46;1004,98
492;29,7;705;46;1004,98
493;29,69;705;46;1004,98
494;29,69;705;46;1004,95
495;29,69;705;46;1004,94
496;29,68;705;46;1004,94
497;29,68;705;46;1004,94
498;29,66;705;46;1004,94
499;29,67;705;46;1004,91
500;29,67;705;46;1004,91
501;29,66;705;46;1004,87
502;29,67;705;46;1004,9
503;29,66;705;46;1004,9
504;29,66;705;46;1004,91
505;29,66;705;46;1004,91
506;29,65;705;46;1004,94
507;29,65;705;46;1004,91
508;29,65;705;46;1004,9
509;29,65;705;46;1004,87
510;29,62;705;46;1004,9
511;29,63;705;46;1004,9
512;29,62;705;46;1004,9
513;29,62;705;46;1004,91
514;29,62;705;46;1004,94
515;29,61;705;46;1004,91
516;29,61;705;46;1004,91
