timestamp;temperature;gas;humidity;barometer;IAQ;IAQ_S;VOCS;accuracy;humidty_corrected;temp_corrected
2025-10-11 13:01:28;29.07;93593.00;41.00;1012.58;28;26;0.51;1;58.46;23.07
2025-10-11 13:01:29;29.07;94012.00;41.00;1012.58;28;26;0.51;1;58.46;23.07
2025-10-11 13:01:30;29.07;94118.00;41.00;1012.58;28;26;0.51;1;58.46;23.07
2025-10-11 13:01:31;29.07;93802.00;41.00;1012.58;28;26;0.51;1;58.46;23.07
2025-10-11 13:01:32;29.07;94329.00;41.00;1012.58;28;26;0.51;1;58.46;23.07
2025-10-11 13:01:33;29.07;93802.00;41.00;1012.58;28;26;0.51;1;58.46;23.07
2025-10-11 13:01:34;29.07;94435.00;41.00;1012.58;30;27;0.51;1;58.46;23.07
2025-10-11 13:01:35;29.07;94223.00;41.00;1012.58;30;27;0.51;1;58.46;23.07
2025-10-11 13:01:36;29.08;93907.00;41.00;1012.57;30;27;0.51;1;58.46;23.08
2025-10-11 13:01:37;29.08;94012.00;41.00;1012.57;30;27;0.51;1;58.46;23.08
2025-10-11 13:01:38;29.07;94012.00;41.00;1012.58;30;27;0.51;1;58.46;23.07
2025-10-11 13:01:39;29.08;94541.00;41.00;1012.57;30;27;0.51;1;58.46;23.08
2025-10-11 13:01:40;29.07;94861.00;41.00;1012.57;28;26;0.51;1;58.46;23.07
2025-10-11 13:01:41;29.08;93802.00;41.00;1012.57;28;26;0.51;1;58.46;23.08
2025-10-11 13:01:42;29.08;94329.00;41.00;1012.58;28;26;0.51;1;58.46;23.08
2025-10-11 13:01:43;29.08;94012.00;41.00;1012.57;29;27;0.51;1;58.46;23.08
2025-10-11 13:01:44;29.08;94012.00;41.00;1012.57;29;27;0.51;1;58.46;23.08
2025-10-11 13:01:45;29.07;93385.00;41.00;1012.58;29;27;0.51;1;58.46;23.07
2025-10-11 13:01:46;29.08;93178.00;41.00;1012.58;32;28;0.52;1;58.46;23.08
2025-10-11 13:01:47;29.07;94329.00;41.00;1012.57;32;28;0.52;1;58.46;23.07
2025-10-11 13:01:48;29.08;93385.00;41.00;1012.57;32;28;0.52;1;58.46;23.08
2025-10-11 13:01:49;29.08;93385.00;41.00;1012.57;34;29;0.53;1;58.46;23.08
2025-10-11 13:01:50;29.08;94118.00;41.00;1012.57;34;29;0.53;1;58.46;23.08
2025-10-11 13:01:51;29.08;94012.00;41.00;1012.56;34;29;0.53;1;58.46;23.08
2025-10-11 13:01:52;29.07;93593.00;41.00;1012.57;33;28;0.52;1;58.46;23.07
