;temperature;gas;humidity;barometer
50;28,92;70806;41;1000,58
51;28,91;69806;41;1000,6
52;28,91;67780;41;1000,58
53;28,91;66074;41;1000,62
54;28,91;63575;41;1000,56
55;28,9;61214;41;1000,56
56;28,9;59271;41;1000,56
57;28,9;58204;41;1000,56
58;28,91;56942;42;1000,56
59;28,9;55771;42;1000,56
60;28,91;55221;42;1000,54
61;28,9;55221;42;1000,56
62;28,9;55697;42;1000,56
63;28,9;55040;42;1000,56
64;28,9;50814;42;1000,56
65;28,89;45632;42;1000,58
66;28,89;43285;42;1000,56
67;28,89;41047;42;1000,58
68;28,88;39654;43;1000,58
69;28,87;38634;43;1000,58
70;28,86;37938;44;1000,58
71;28,86;37003;44;1000,56
72;28,87;36270;45;1000,56
73;28,87;36458;45;1000,6
74;28,87;36681;45;1000,6
75;28,87;36585;46;1000,6
76;28,87;31351;46;1000,6
77;28,87;27826;46;1000,58
78;28,86;26645;46;1000,58
79;28,86;25827;46;1000,58
80;28,86;25103;47;1000,58
81;28,86;24984;47;1000,58
82;28,86;25238;47;1000,56
83;28,86;25193;47;1000,56
84;28,86;25043;47;1000,56
85;28,87;24999;47;1000,6
86;28,87;24954;47;1000,58
87;28,87;24895;47;1000,6
88;28,87;25178;47;1000,6
89;28,87;25254;47;1000,58
90;28,88;25452;47;1000,58
91;28,88;25670;47;1000,58
92;28,87;26003;47;1000,6
93;28,88;26394;47;1000,6
94;28,88;26883;47;1000,58
95;28,88;27161;47;1000,6
96;28,88;27716;46;1000,6
97;28,88;28030;46;1000,58
98;28,88;28123;46;1000,6
99;28,88;28086;46;1000,58
100;28,88;28447;46;1000,58
101;28,88;28389;46;1000,58
102;28,88;28408;46;1000,58
103;28,88;28427;45;1000,58
104;28,88;27161;45;1000,58
105;28,88;24319;45;1000,6
106;28,88;22621;45;1000,6
107;28,88;21936;45;1000,58
108;28,88;20363;45;1000,6
109;28,88;19549;45;1000,58
110;28,88;19422;45;1000,58
111;28,88;19513;45;1000,58
112;28,88;19369;45;1000,6
113;28,89;19531;45;1000,58
114;28,88;19262;45;1000,62
115;28,89;18614;45;1000,62
116;28,89;15140;45;1000,58
117;28,89;12988;45;1000,58
118;28,89;11649;45;1000,6
119;28,89;11533;45;1000,58
120;28,88;11623;45;1000,58
121;28,89;12494;45;1000,56
122;28,89;13069;45;1000,58
123;28,89;12972;45;1000,6
124;28,89;13012;45;1000,56
125;28,89;12705;45;1000,6
126;28,89;12752;45;1000,6
127;28,89;12736;45;1000,56
128;28,89;12861;45;1000,6
129;28,89;13334;45;1000,6
130;28,88;14218;45;1000,58
131;28,89;15521;45;1000,58
132;28,89;15945;44;1000,56
133;28,89;16866;44;1000,56
134;28,89;18085;44;1000,6
135;28,89;19369;44;1000,56
136;28,89;21057;44;1000,6
137;28,85;24319;44;1000,62
138;28,83;27074;44;1000,62
139;28,82;27900;43;1000,6
140;28,81;27771;43;1000,58
141;28,8;27752;43;1000,62
142;28,79;27955;43;1000,62
143;28,79;28738;43;1000,62
144;28,79;28996;43;1000,62
145;28,79;29902;43;1000,62
146;28,79;29360;43;1000,62
147;28,79;28105;43;1000,62
148;28,79;28011;43;1000,62
149;28,79;23094;43;1000,62
150;28,79;19315;43;1000,6
151;28,78;17824;43;1000,62
152;28,78;16961;43;1000,62
153;28,77;16018;43;1000,6
154;28,77;15339;43;1000,62
155;28,77;14503;43;1000,6
156;28,76;14286;43;1000,62
157;28,76;14414;43;1000,62
158;28,77;14655;43;1000,62
159;28,77;15151;44;1000,6
160;28,77;15532;44;1000,6
161;28,77;15860;44;1000,62
162;28,78;15896;44;1000,6
163;28,78;15872;44;1000,6
164;28,77;15544;44;1000,62
165;28,78;15362;44;1000,62
166;28,78;15295;44;1000,6
167;28,79;15486;44;1000,6
168;28,78;15825;44;1000,6
169;28,78;16560;44;1000,6
170;28,78;16961;44;1000,6
171;28,79;17513;44;1000,62
172;28,79;17794;44;1000,62
173;28,79;17870;44;1000,6
174;28,79;18085;44;1000,62
175;28,79;19001;44;1000,58
176;28,79;20072;44;1000,6
177;28,8;19976;44;1000,62
178;28,8;19070;44;1000,62
179;28,79;17734;44;1000,6
180;28,78;16431;44;1000,62
181;28,76;16329;44;1000,6
182;28,75;15896;44;1000,6
183;28,73;14831;44;1000,62
184;28,73;14238;44;1000,6
185;28,73;14113;44;1000,6
186;28,73;14296;44;1000,62
187;28,73;14513;44;1000,62
188;28,73;15872;44;1000,6
189;28,73;17002;44;1000,6
190;28,73;17764;44;1000,6
191;28,74;17885;44;1000,6
192;28,74;17630;44;1000,6
193;28,73;18085;45;1000,6
194;28,74;19087;45;1000,58
195;28,75;19807;45;1000,6
196;28,75;21015;45;1000,62
197;28,76;21755;44;1000,6
198;28,76;22075;44;1000,6
199;28,76;22121;44;1000,6
200;28,76;21823;44;1000,58
201;28,76;21121;44;1000,58
202;28,76;14364;44;1000,6
203;28,76;12154;44;1000,6
204;28,75;10537;44;1000,6
205;28,75;8915;45;1000,6
206;28,76;7771;45;1000,6
207;28,77;7388;45;1000,62
208;28,78;6961;45;1000,6
209;28,79;7132;45;1000,62
210;28,79;9671;45;1000,62
211;28,8;11346;45;1000,6
212;28,8;12869;45;1000,6
213;28,81;12822;45;1000,62
214;28,81;10537;45;1000,62
215;28,82;11189;45;1000,6
216;28,82;11094;45;1000,62
217;28,82;11623;45;1000,6
218;28,83;12442;45;1000,62
219;28,83;12546;45;1000,62
220;28,83;12845;45;1000,62
221;28,83;13225;45;1000,6
222;28,83;13540;45;1000,6
223;28,84;13735;45;1000,6
224;28,84;13619;45;1000,6
225;28,84;13334;44;1000,62
226;28,85;12311;44;1000,6
227;28,85;11059;44;1000,6
228;28,86;10432;44;1000,6
229;28,86;10547;44;1000,6
230;28,86;11047;44;1000,58
231;28,87;12282;44;1000,62
232;28,87;13567;44;1000,6
233;28,88;13991;44;1000,6
234;28,88;14085;44;1000,6
235;28,88;13807;44;1000,6
236;28,88;10023;44;1000,6
237;28,88;8216;44;1000,6
238;28,88;7841;44;1000,6
239;28,87;8274;44;1000,6
240;28,88;8537;44;1000,6
241;28,88;8593;44;1000,58
242;28,88;8622;44;1000,58
243;28,88;8455;45;1000,58
244;28,88;8288;45;1000,6
245;28,89;8127;45;1000,6
246;28,89;7280;45;1000,58
247;28,89;6035;45;1000,58
248;28,89;5416;46;1000,58
249;28,9;4977;46;1000,58
250;28,91;4474;46;1000,6
251;28,91;4312;46;1000,62
252;28,92;4366;46;1000,6
253;28,92;4418;46;1000,6
254;28,92;4544;46;1000,6
255;28,92;4734;46;1000,6
256;28,92;5943;46;1000,6
257;28,93;6861;46;1000,58
258;28,93;7472;46;1000,62
259;28,93;7074;46;1000,6
260;28,94;7306;46;1000,6
261;28,94;6970;46;1000,58
262;28,94;6323;46;1000,56
263;28,94;6251;46;1000,58
264;28,94;7771;46;1000,56
265;28,94;8870;46;1000,56
266;28,95;9618;45;1000,56
267;28,94;10208;45;1000,6
268;28,95;10329;45;1000,6
269;28,94;10198;45;1000,56
270;28,95;11141;45;1000,58
271;28,95;10864;45;1000,58
272;28,96;10600;45;1000,58
273;28,96;10013;45;1000,58
274;28,96;9663;44;1000,58
275;28,96;9245;44;1000,58
276;28,96;9752;44;1000,58
277;28,97;11297;44;1000,58
278;28,96;13102;44;1000,56
279;28,96;13159;44;1000,58
280;28,96;12084;44;1000,58
281;28,97;11734;44;1000,56
282;28,97;11610;44;1000,58
283;28,97;11623;44;1000,58
284;28,96;11273;44;1000,58
285;28,96;10579;44;1000,56
286;28,96;10339;44;1000,56
287;28,96;10339;43;1000,56
288;28,97;10909;43;1000,56
289;28,97;10898;43;1000,56
290;28,96;10753;43;1000,56
291;28,97;9531;43;1000,58
292;28,97;8334;43;1000,58
293;28,97;9419;43;1000,58
294;28,96;10978;43;1000,56
295;28,94;10875;43;1000,58
296;28,91;9928;43;1000,6
297;28,9;9488;43;1000,56
298;28,9;9302;44;1000,56
299;28,9;8877;44;1000,56
300;28,91;7991;44;1000,56
301;28,91;7754;44;1000,6
302;28,92;7877;44;1000,58
303;28,92;8027;44;1000,58
304;28,92;8146;44;1000,58
305;28,92;8354;44;1000,58
306;28,93;8938;44;1000,58
307;28,93;9140;44;1000,58
308;28,93;9336;44;1000,58
309;28,94;9188;44;1000,58
310;28,94;8572;44;1000,58
311;28,94;8096;44;1000,58
312;28,94;7575;44;1000,6
313;28,95;7378;44;1000,58
314;28,95;7161;44;1000,58
315;28,95;6799;44;1000,58
316;28,95;6569;44;1000,58
317;28,96;7714;44;1000,56
318;28,96;8461;44;1000,58
319;28,96;8817;44;1000,56
320;28,96;9302;44;1000,56
321;28,96;8489;44;1000,58
322;28,96;7451;44;1000,56
323;28,96;7041;44;1000,56
324;28,97;6614;44;1000,56
325;28,96;6131;44;1000,54
326;28,96;5852;43;1000,54
327;28,96;5705;43;1000,54
328;28,97;5712;43;1000,56
329;28,97;5820;43;1000,56
330;28,98;6035;43;1000,56
331;28,98;6163;43;1000,56
332;28,98;6285;43;1000,56
333;28,98;6358;43;1000,56
334;28,98;6300;43;1000,56
335;28,98;6259;43;1000,56
336;28,98;6214;43;1000,56
337;28,98;6163;43;1000,56
338;28,98;6124;43;1000,56
339;28,98;6032;43;1000,54
340;28,99;6092;43;1000,56
341;28,98;6251;43;1000,58
342;28,99;6455;43;1000,54
343;28,99;6516;43;1000,54
344;28,99;6447;43;1000,54
345;28,99;6467;43;1000,58
346;28,99;6725;43;1000,58
347;28,99;7137;43;1000,56
348;28,99;7341;43;1000,56
349;29;7404;43;1000,56
350;28,99;8171;43;1000,56
351;28,99;8579;43;1000,56
352;29;6915;43;1000,56
353;28,98;6610;43;1000,56
354;28,98;6635;43;1000,56
355;28,98;6947;43;1000,56
356;28,98;7027;43;1000,56
357;28,98;7347;44;1000,56
358;28,98;7510;44;1000,56
359;28,98;7112;44;1000,56
360;28,98;6947;44;1000,54
361;28,99;8171;45;1000,54
362;28,98;8817;45;1000,56
363;28,97;8968;45;1000,56
364;28,97;9204;45;1000,56
365;28,97;9505;45;1000,58
366;28,97;9743;45;1000,58
367;28,98;10442;45;1000,56
368;28,98;11237;45;1000,56
369;28,98;11826;45;1000,56
370;28,98;13012;45;1000,54
371;28,99;13637;45;1000,54
372;28,99;13862;45;1000,56
373;28,99;13735;45;1000,58
374;28,99;13619;45;1000,56
375;28,99;13690;45;1000,56
376;29;13619;45;1000,56
377;29;13200;45;1000,56
378;29;13110;45;1000,56
379;29;13209;45;1000,56
380;29;13899;45;1000,56
381;28,99;12791;45;1000,56
382;29;13385;45;1000,58
383;28,99;15097;45;1000,56
384;28,99;16573;45;1000,56
385;29;17675;45;1000,56
386;29;18322;45;1000,56
387;29;18780;46;1000,56
388;29;18898;46;1000,56
389;29;19245;46;1000,56
390;29;19807;46;1000,56
391;29,01;20265;46;1000,56
392;29;21400;46;1000,56
393;29,01;23824;46;1000,54
394;29,01;24432;46;1000,56
395;29;25514;46;1000,54
396;29;25875;46;1000,56
397;29;26132;46;1000,56
398;29;26230;45;1000,56
399;29,01;26628;45;1000,54
400;29;26295;45;1000,54
401;29;26246;45;1000,54
402;29;26312;45;1000,56
403;29;26262;45;1000,56
404;29;26477;45;1000,56
405;29;26527;45;1000,56
406;29;26494;45;1000,56
407;29;26628;45;1000,54
408;29,01;26378;45;1000,56
409;29;26935;45;1000,54
410;29,01;27249;45;1000,54
411;29,01;27498;45;1000,58
412;29,01;27992;45;1000,58
413;29,01;27807;45;1000,56
414;29,01;27716;45;1000,56
415;29,01;28030;45;1000,58
416;29,01;27734;44;1000,58
417;29,01;28256;44;1000,58
418;29;28313;45;1000,56
419;28,99;29116;45;1000,56
420;28,99;29278;45;1000,54
421;29;29691;45;1000,56
422;29;29966;45;1000,54
423;29;30181;46;1000,56
424;29;30377;46;1000,56
425;29;31050;46;1000,56
426;29;31873;46;1000,56
427;29;32895;46;1000,56
428;29;33497;46;1000,56
429;29;34542;46;1000,56
430;28,99;35355;46;1000,56
431;28,99;36176;46;1000,54
432;28,99;36745;46;1000,56
433;28,99;36745;45;1000,58
434;28,99;36809;45;1000,58
435;28,99;37599;45;1000,56
436;28,99;37869;45;1000,58
437;28,99;38248;45;1000,58
438;28,99;38813;45;1000,56
439;28,99;39101;44;1000,56
440;28,98;39505;44;1000,54
441;28,99;39766;44;1000,54
442;28,99;39766;44;1000,58
443;28,99;39917;44;1000,58
444;28,99;39993;44;1000,56
445;28,99;40146;44;1000,54
446;28,98;40494;44;1000,56
447;28,98;39879;44;1000,56
448;28,98;40650;44;1000,54
449;28,98;40494;44;1000,54
450;28,98;40689;44;1000,56
451;28,99;40455;44;1000,54
452;28,98;37465;44;1000,54
453;28,98;34886;44;1000,56
454;28,98;31515;44;1000,56
455;28,98;28797;44;1000,58
456;28,97;27109;44;1000,58
457;28,97;26494;44;1000,58
458;28,97;26116;44;1000,58
459;28,97;25955;44;1000,54
460;28,96;25545;44;1000,56
461;28,97;25514;44;1000,54
462;28,96;25498;44;1000,58
463;28,97;25437;44;1000,54
464;28,96;25670;44;1000,56
465;28,97;25939;44;1000,54
466;28,97;26035;44;1000,54
467;28,96;25987;44;1000,54
468;28,97;25223;44;1000,56
469;28,96;25178;44;1000,56
470;28,94;24575;44;1000,54
471;28,94;23507;44;1000,56
472;28,93;21755;44;1000,56
473;28,93;21036;44;1000,56
474;28,92;20443;44;1000,56
475;28,92;20187;44;1000,58
476;28,92;20246;44;1000,56
477;28,91;20265;44;1000,56
478;28,91;20543;44;1000,56
479;28,92;20828;44;1000,56
480;28,91;21057;44;1000,56
481;28,92;20994;44;1000,56
482;28,92;20911;44;1000,56
483;28,92;20786;44;1000,56
484;28,92;20848;44;1000,56
485;28,92;21057;44;1000,56
486;28,92;20952;44;1000,58
487;28,92;20644;44;1000,56
488;28,92;20091;44;1000,56
489;28,92;20149;44;1000,56
490;28,92;20304;44;1000,56
491;28,93;20543;44;1000,54
492;28,93;21755;44;1000,54
493;28,93;23196;44;1000,56
494;28,92;24575;44;1000,56
495;28,92;25345;44;1000,56
496;28,92;24939;44;1000,56
497;28,92;24083;44;1000,56
498;28,92;24347;44;1000,56
499;28,92;24705;43;1000,58
500;28,91;25254;44;1000,58
501;28,91;26165;44;1000,52
502;28,91;26901;44;1000,54
503;28,9;27267;44;1000,54
504;28,89;28105;44;1000,56
505;28,89;28856;44;1000,54
506;28,88;29421;44;1000,54
507;28,88;29712;44;1000,56
508;28,88;30225;45;1000,56
509;28,88;30800;45;1000,54
510;28,88;31027;45;1000,54
511;28,88;31398;45;1000,56
512;28,88;31849;45;1000,54
513;28,88;32998;45;1000,54
514;28,88;34289;45;1000,56
515;28,88;34599;45;1000,56
516;28,87;35415;45;1000,56
517;28,87;36083;45;1000,54
518;28,87;36270;44;1000,56
519;28,87;36364;44;1000,56
520;28,87;36617;44;1000,54
521;28,87;36681;44;1000,56
522;28,87;36745;44;1000,54
523;28,87;36874;44;1000,56
524;28,87;36841;44;1000,58
525;28,86;37069;44;1000,56
526;28,86;37233;44;1000,54
527;28,86;37465;44;1000,54
528;28,86;37972;44;1000,54
529;28,87;38179;44;1000,58
530;28,87;38564;44;1000,56
531;28,87;38920;44;1000,56
532;28,86;39029;44;1000,56
533;28,87;39431;44;1000,56
534;28,87;39691;43;1000,54
535;28,87;39617;43;1000,56
536;28,87;40031;43;1000,54
537;28,86;39879;43;1000,54
538;28,87;39917;43;1000,58
539;28,87;40184;43;1000,56
540;28,87;40416;43;1000,58
541;28,87;40223;43;1000,54
542;28,87;40223;43;1000,56
543;28,87;40108;43;1000,56
544;28,87;40146;43;1000,56
545;28,87;40455;43;1000,56
546;28,87;40338;43;1000,54
547;28,87;40927;43;1000,56
548;28,87;40847;43;1000,56
549;28,87;40768;43;1000,56
550;28,88;41127;43;1000,54
