
timestamp;temperature;gas;humidity;barometer;IAQ;IAQ_S;VOCS;accuracy;humidty_corrected;temp_corrected
2025-10-08 16:08:06;28.71;95797.00;41.00;1000.19;35;51;0.74;3;58.51;22.71
2025-10-08 16:08:07;28.71;97294.00;41.00;1000.15;35;51;0.74;3;58.51;22.71
2025-10-08 16:08:08;28.71;96679.00;41.00;1000.19;34;50;0.73;3;58.51;22.71
2025-10-08 16:08:09;28.70;95743.00;41.00;1000.15;34;50;0.73;3;58.52;22.70
2025-10-08 16:08:10;28.71;96734.00;41.00;1000.15;34;50;0.73;3;58.51;22.71
2025-10-08 16:08:11;28.71;97690.00;41.00;1000.15;34;48;0.71;3;58.51;22.71
2025-10-08 16:08:12;28.71;96126.00;41.00;1000.17;34;48;0.71;3;58.51;22.71
2025-10-08 16:08:13;28.72;96457.00;41.00;1000.19;34;48;0.71;3;58.51;22.72
2025-10-08 16:08:14;28.71;96623.00;41.00;1000.15;34;50;0.73;3;58.51;22.71
2025-10-08 16:08:15;28.71;96512.00;41.00;1000.17;34;50;0.73;3;58.51;22.71
2025-10-08 16:08:16;28.72;96623.00;41.00;1000.17;34;50;0.73;3;58.51;22.72
2025-10-08 16:08:17;28.72;96734.00;41.00;1000.15;34;49;0.72;3;58.51;22.72
2025-10-08 16:08:18;28.71;96346.00;41.00;1000.15;34;49;0.72;3;58.51;22.71
2025-10-08 16:08:19;28.71;96181.00;41.00;1000.17;34;49;0.72;3;58.51;22.71
2025-10-08 16:08:20;28.72;96568.00;41.00;1000.15;34;49;0.72;3;58.51;22.72
2025-10-08 16:08:21;28.69;96734.00;41.00;1000.19;34;49;0.72;3;58.52;22.69
2025-10-08 16:08:22;28.66;97407.00;41.00;1000.15;34;49;0.72;3;58.52;22.66
2025-10-08 16:08:23;28.66;97350.00;41.00;1000.15;33;48;0.71;3;58.52;22.66
2025-10-08 16:08:24;28.66;96790.00;41.00;1000.15;33;48;0.71;3;58.52;22.66
2025-10-08 16:08:25;28.67;97407.00;41.00;1000.15;33;48;0.71;3;58.52;22.67
2025-10-08 16:08:26;28.66;96401.00;41.00;1000.15;34;48;0.71;3;58.52;22.66
2025-10-08 16:08:27;28.67;97463.00;41.00;1000.15;34;48;0.71;3;58.52;22.67
2025-10-08 16:08:28;28.67;97350.00;41.00;1000.17;34;48;0.71;3;58.52;22.67
2025-10-08 16:08:29;28.67;96734.00;41.00;1000.13;34;48;0.71;3;58.52;22.67
2025-10-08 16:08:30;28.67;97350.00;41.00;1000.12;34;48;0.71;3;58.52;22.67
2025-10-08 16:08:31;28.65;96679.00;41.00;1000.15;34;48;0.71;3;58.52;22.65
2025-10-08 16:08:32;28.62;97294.00;41.00;1000.17;33;47;0.70;3;58.53;22.62
2025-10-08 16:08:33;28.60;97917.00;41.00;1000.21;33;47;0.70;3;58.53;22.60
2025-10-08 16:08:34;28.61;97238.00;41.00;1000.21;33;47;0.70;3;58.53;22.61
2025-10-08 16:08:35;28.61;97803.00;41.00;1000.21;33;46;0.68;3;58.53;22.61
2025-10-08 16:08:36;28.61;97803.00;41.00;1000.19;33;46;0.68;3;58.53;22.61
2025-10-08 16:08:37;28.60;98146.00;41.00;1000.17;33;46;0.68;3;58.53;22.60
2025-10-08 16:08:38;28.61;97633.00;41.00;1000.21;33;46;0.68;3;58.53;22.61
2025-10-08 16:08:39;28.60;97633.00;41.00;1000.19;32;45;0.68;3;58.53;22.60
2025-10-08 16:08:40;28.61;98146.00;41.00;1000.21;32;45;0.68;3;58.53;22.61
2025-10-08 16:08:41;28.62;98549.00;41.00;1000.21;32;45;0.68;3;58.53;22.62
2025-10-08 16:08:42;28.61;98549.00;41.00;1000.21;32;43;0.66;3;58.53;22.61
2025-10-08 16:08:43;28.61;98722.00;41.00;1000.21;32;43;0.66;3;58.53;22.61
2025-10-08 16:08:44;28.62;98722.00;41.00;1000.19;32;43;0.66;3;58.53;22.62
2025-10-08 16:08:45;28.62;97463.00;41.00;1000.19;31;41;0.64;3;58.53;22.62
2025-10-08 16:08:46;28.61;98664.00;41.00;1000.19;31;41;0.64;3;58.53;22.61
2025-10-08 16:08:47;28.62;97860.00;41.00;1000.19;31;41;0.64;3;58.53;22.62
2025-10-08 16:08:48;28.62;98146.00;41.00;1000.17;31;42;0.64;3;58.53;22.62
2025-10-08 16:08:49;28.62;97690.00;41.00;1000.21;31;42;0.64;3;58.53;22.62
2025-10-08 16:08:50;28.63;98549.00;41.00;1000.17;31;42;0.64;3;58.53;22.63
2025-10-08 16:08:51;28.63;98032.00;41.00;1000.19;31;41;0.63;3;58.53;22.63
2025-10-08 16:08:52;28.59;99305.00;41.00;1000.15;31;41;0.63;3;58.53;22.59
2025-10-08 16:08:53;28.38;98261.00;41.00;1000.17;31;41;0.63;3;58.57;22.38
2025-10-08 16:08:54;28.38;97917.00;41.00;1000.17;31;41;0.64;3;58.57;22.38
2025-10-08 16:08:55;28.42;98433.00;41.00;1000.19;31;41;0.64;3;58.56;22.42
2025-10-08 16:08:56;28.44;99013.00;41.00;1000.17;31;41;0.64;3;58.56;22.44
2025-10-08 16:08:57;28.43;98838.00;41.00;1000.17;30;40;0.62;3;58.56;22.43
2025-10-08 16:08:58;28.43;98261.00;41.00;1000.17;30;40;0.62;3;58.56;22.43
2025-10-08 16:08:59;28.43;99718.00;41.00;1000.17;30;40;0.62;3;58.56;22.43
2025-10-08 16:09:00;28.44;98722.00;41.00;1000.17;30;38;0.61;3;58.56;22.44
2025-10-08 16:09:01;28.44;99013.00;42.00;1000.19;30;38;0.61;3;59.98;22.44
2025-10-08 16:09:02;28.43;98549.00;41.00;1000.19;30;38;0.61;3;58.56;22.43
