;temperature;gas;humidity;barometer
320;23,08;57409;56;1004,44
321;23,08;57487;56;1004,44
322;23,08;56788;56;1004,44
323;23,08;41127;56;1004,47
324;23,07;26866;56;1004,43
325;23,06;19001;56;1004,44
326;23,06;16866;56;1004,44
327;23,06;18195;57;1004,44
328;23,06;19245;57;1004,44
329;23,06;20246;57;1004,43
330;23,07;20786;57;1004,44
331;23,07;21270;57;1004,43
332;23,07;21314;57;1004,43
333;23,08;21015;57;1004,47
334;23,08;21249;57;1004,44
335;23,08;21357;57;1004,44
336;23,09;21335;57;1004,44
337;23,09;21845;57;1004,44
338;23,09;22357;57;1004,47
339;23,1;23221;57;1004,47
340;23,09;24333;57;1004,44
341;23,1;24749;57;1004,44
342;23,1;25360;57;1004,44
343;23,11;25859;57;1004,43
344;23,11;26116;57;1004,43
345;23,12;26561;57;1004,44
346;23,11;26935;57;1004,44
347;23,12;27698;57;1004,44
348;23,12;29016;57;1004,44
349;23,12;30009;57;1004,44
350;23,13;31562;57;1004,44
351;23,12;33418;57;1004,44
352;23,12;35807;57;1004,43
353;23,12;36458;57;1004,43
354;23,13;37632;57;1004,43
355;23,13;37835;57;1004,43
356;23,13;37498;57;1004,43
357;23,13;37599;57;1004,47
358;23,13;39879;57;1004,44
359;23,14;41615;57;1004,44
360;23,14;42888;57;1004,44
361;23,14;44009;57;1004,44
362;23,14;44758;57;1004,43
363;23,14;44522;57;1004,43
364;23,14;44616;57;1004,43
365;23,14;45046;57;1004,43
366;23,14;46082;57;1004,43
367;23,14;45981;57;1004,43
368;23,15;47297;57;1004,43
369;23,15;47672;57;1004,43
370;23,14;47727;57;1004,43
371;23,15;48330;56;1004,43
372;23,15;48808;56;1004,43
373;23,15;49294;56;1004,44
374;23,15;49820;56;1004,44
375;23,15;50448;56;1004,44
376;23,15;50478;56;1004,44
377;23,16;51123;56;1004,44
378;23,16;51977;56;1004,44
379;23,16;53026;56;1004,44
380;23,16;53567;56;1004,44
381;23,16;54224;56;1004,43
382;23,16;55004;56;1004,43
383;23,16;55367;56;1004,43
384;23,16;55550;56;1004,43
385;23,17;56031;56;1004,43
386;23,17;56106;56;1004,44
387;23,17;56218;56;1004,44
388;23,18;57292;56;1004,44
389;23,18;57804;56;1004,44
390;23,17;57487;56;1004,41
391;23,16;58124;56;1004,43
392;23,18;58980;56;1004,43
393;23,18;59105;56;1004,43
394;23,18;59230;56;1004,43
395;23,18;59990;56;1004,43
396;23,18;60640;56;1004,43
397;23,18;60992;56;1004,43
398;23,19;61036;56;1004,43
399;23,19;61303;56;1004,44
400;23,19;61618;56;1004,43
