;temperature;gas;humidity;barometer
24;27,67;78183;42;1004,76
25;27,67;70926;42;1004,76
26;27,68;66970;42;1004,76
27;27,69;64901;42;1004,76
28;27,69;61438;42;1004,75
29;27,69;56712;42;1004,75
30;27,7;51689;42;1004,76
31;27,7;48978;42;1004,76
32;27,7;44854;42;1004,76
33;27,71;42031;42;1004,75
34;27,71;40184;42;1004,76
35;27,72;38992;42;1004,75
36;27,72;37498;42;1004,75
37;27,73;36301;42;1004,75
38;27,73;35776;42;1004,75
39;27,74;34742;42;1004,76
40;27,74;33685;42;1004,76
41;27,74;31729;42;1004,75
42;27,75;28621;42;1004,75
43;27,75;26067;42;1004,73
44;27,76;23756;42;1004,76
45;27,76;19788;42;1004,75
46;27,76;16893;42;1004,76
47;27,77;14675;42;1004,73
48;27,77;13558;42;1004,76
49;27,77;12112;43;1004,76
50;27,78;11094;43;1004,75
51;27,79;10401;43;1004,75
52;27,79;10004;43;1004,75
53;27,79;9574;43;1004,76
54;27,79;9336;43;1004,73
55;27,8;9245;43;1004,75
56;27,81;9278;43;1004,75
57;27,81;9403;43;1004,75
58;27,81;9496;43;1004,75
59;27,81;9592;43;1004,79
60;27,82;9725;43;1004,79
61;27,81;9872;43;1004,73
62;27,82;9966;43;1004,76
63;27,83;10052;43;1004,76
64;27,83;10188;43;1004,79
65;27,84;10228;43;1004,79
66;27,83;10339;43;1004,76
67;27,84;10380;43;1004,76
68;27,84;10370;43;1004,76
69;27,85;10401;43;1004,76
70;27,85;10411;43;1004,79
71;27,86;10401;43;1004,79
72;27,85;10380;43;1004,79
73;27,85;10360;43;1004,75
74;27,86;10288;43;1004,76
75;27,87;10218;43;1004,76
76;27,87;10061;43;1004,76
77;27,87;10004;43;1004,75
78;27,87;9835;43;1004,75
79;27,87;9743;43;1004,79
80;27,88;9574;43;1004,76
81;27,88;9403;43;1004,76
82;27,89;9270;43;1004,75
83;27,89;9132;43;1004,76
84;27,89;9030;43;1004,76
85;27,9;8877;43;1004,76
86;27,9;8780;43;1004,76
87;27,9;8629;43;1004,76
88;27,9;8482;43;1004,79
89;27,9;8314;43;1004,76
90;27,9;8255;43;1004,76
91;27,91;8089;43;1004,75
92;27,92;7930;43;1004,79
93;27,93;7806;43;1004,76
94;27,92;7669;43;1004,79
95;27,92;7569;43;1004,76
96;27,92;7446;43;1004,76
97;27,93;7352;43;1004,76
98;27,93;7265;43;1004,76
99;27,93;7127;43;1004,76
100;27,93;6998;43;1004,76
101;27,94;6906;43;1004,76
102;27,94;6821;43;1004,76
103;27,94;6729;43;1004,76
104;27,95;6585;43;1004,76
105;27,96;6503;43;1004,79
106;27,96;6432;43;1004,79
107;27,96;6346;43;1004,79
108;27,96;6240;43;1004,79
109;27,96;6181;43;1004,79
110;27,96;6099;43;1004,76
111;27,97;5980;43;1004,76
112;27,97;5930;43;1004,76
113;27,97;5839;43;1004,79
114;27,97;5813;43;1004,79
115;27,97;5681;43;1004,79
116;27,98;5638;43;1004,79
117;27,98;5542;43;1004,79
118;27,98;5519;43;1004,79
119;27,98;5433;43;1004,79
120;27,98;5382;43;1004,76
121;27,99;5306;43;1004,76
122;27,99;5231;43;1004,75
123;27,99;5154;43;1004,75
124;28;5119;43;1004,79
125;28;5064;43;1004,79
126;28;5011;43;1004,76
127;28;4987;43;1004,76
128;28;4916;43;1004,76
129;28;4875;43;1004,76
130;28,01;4866;43;1004,76
131;28;4803;43;1004,76
132;28;4764;43;1004,76
133;28,01;4734;43;1004,76
134;28,01;4687;43;1004,75
135;28,01;4654;43;1004,76
136;28,02;4596;43;1004,79
137;28,01;4592;43;1004,79
138;28,02;4560;43;1004,76
139;28,02;4521;43;1004,76
140;28,02;4505;43;1004,76
141;28,02;4455;43;1004,75
142;28,03;4455;43;1004,82
143;28,02;4406;43;1004,8
144;28,03;4370;43;1004,8
145;28,03;4348;43;1004,79
146;28,04;4362;43;1004,82
147;28,04;4392;43;1004,79
148;28,03;4451;43;1004,8
149;28,03;4517;43;1004,76
150;28,02;4592;43;1004,76
151;28,02;4637;43;1004,82
152;28,01;4747;43;1004,76
153;28;4843;43;1004,76
154;27,99;4884;43;1004,76
155;27,99;4963;43;1004,79
156;27,99;5069;43;1004,79
157;27,99;5174;43;1004,75
158;27,99;5226;43;1004,79
159;28;5263;43;1004,79
160;28;5344;43;1004,76
161;28;5388;43;1004,76
162;28;5438;43;1004,76
163;28;5490;43;1004,76
164;28,01;5495;43;1004,76
165;28,01;5542;43;1004,79
166;28,01;5530;43;1004,79
167;28,01;5595;43;1004,79
168;28,01;5566;43;1004,79
169;28,02;5583;43;1004,79
170;28,02;5566;43;1004,76
171;28,02;5583;43;1004,76
172;28,02;5577;43;1004,76
173;28,02;5577;43;1004,76
174;28,02;5601;43;1004,76
175;28,03;5583;43;1004,76
176;28,03;5572;43;1004,76
177;28,03;5595;43;1004,8
178;28,04;5595;43;1004,8
179;28,04;5560;43;1004,8
180;28,03;5560;43;1004,8
181;28,03;5560;43;1004,79
182;28,04;5542;43;1004,8
183;28,04;5524;43;1004,79
184;28,04;5542;43;1004,79
185;28,05;5554;43;1004,8
186;28,05;5524;43;1004,8
187;28,05;5542;43;1004,79
188;28,04;5530;43;1004,8
189;28,05;5501;43;1004,8
190;28,05;5548;43;1004,8
191;28,06;5501;43;1004,79
192;28,06;5536;43;1004,79
193;28,06;5490;43;1004,8
194;28,06;5519;43;1004,8
195;28,06;5530;43;1004,79
196;28,07;5524;43;1004,79
197;28,07;5501;43;1004,79
198;28,07;5495;43;1004,79
199;28,07;5542;43;1004,79
200;28,07;5484;43;1004,79
201;28,07;5490;43;1004,8
202;28,08;5513;43;1004,8
203;28,08;5495;43;1004,79
204;28,08;5513;43;1004,79
205;28,08;5513;43;1004,8
206;28,08;5513;43;1004,79
207;28,09;5519;43;1004,79
208;28,09;5513;43;1004,82
209;28,09;5548;43;1004,8
210;28,09;5705;43;1004,79
211;28,09;5807;43;1004,79
212;28,09;5872;43;1004,76
213;28,08;5865;43;1004,79
214;28,09;5879;43;1004,8
215;28,09;5953;43;1004,8
216;28,1;5943;43;1004,8
217;28,1;6018;43;1004,8
218;28,1;6113;43;1004,8
219;28,09;6358;43;1004,79
220;28,03;6660;43;1004,82
221;28,01;6825;43;1004,76
222;28,01;7141;43;1004,76
223;28,02;7430;43;1004,79
224;28,02;7537;43;1004,76
225;28,02;7680;43;1004,76
226;28,02;7720;43;1004,76
227;28,03;7800;43;1004,76
228;28,04;7936;43;1004,8
229;28,04;7924;43;1004,8
230;28,04;8015;43;1004,79
231;28,04;8159;43;1004,8
232;28,03;8400;43;1004,76
233;28,02;8468;44;1004,76
234;28;8885;44;1004,79
235;28;9148;44;1004,79
236;28;9403;45;1004,79
237;28;9566;45;1004,76
238;28,01;9780;45;1004,76
239;28,01;9909;45;1004,79
240;28,02;10100;45;1004,76
241;28,03;10159;45;1004,76
