timestamp;temperature;gas;humidity;barometer;IAQ;IAQ_S;VOCS;accuracy;humidty_corrected;temp_corrected
2025-10-08 14:39:45;27.11;94012.00;44.00;1000.46;44;79;1.13;3;63.06;21.11
2025-10-08 14:39:46;27.12;94012.00;44.00;1000.46;44;78;1.12;3;63.06;21.12
2025-10-08 14:39:47;27.13;94329.00;44.00;1000.46;44;78;1.12;3;63.06;21.13
2025-10-08 14:39:48;27.14;93698.00;44.00;1000.46;44;78;1.12;3;63.06;21.14
2025-10-08 14:39:49;27.14;93593.00;44.00;1000.46;44;78;1.12;3;63.06;21.14
2025-10-08 14:39:50;27.15;94435.00;44.00;1000.46;44;78;1.12;3;63.06;21.15
2025-10-08 14:39:51;27.16;94329.00;44.00;1000.44;44;78;1.12;3;63.06;21.16
2025-10-08 14:39:52;27.16;93907.00;44.00;1000.48;44;77;1.11;3;63.06;21.16
2025-10-08 14:39:53;27.17;93802.00;44.00;1000.46;44;77;1.11;3;63.05;21.17
2025-10-08 14:39:54;27.19;93802.00;44.00;1000.46;44;77;1.11;3;63.05;21.19
2025-10-08 14:39:55;27.19;94329.00;44.00;1000.46;44;77;1.10;3;63.05;21.19
2025-10-08 14:39:56;27.19;94012.00;44.00;1000.44;44;77;1.10;3;63.05;21.19
2025-10-08 14:39:57;27.20;93489.00;44.00;1000.44;44;77;1.10;3;63.05;21.20
2025-10-08 14:39:58;27.20;93385.00;44.00;1000.44;43;76;1.09;3;63.05;21.20
2025-10-08 14:39:59;27.21;93802.00;44.00;1000.44;43;76;1.09;3;63.05;21.21
2025-10-08 14:40:00;27.23;93593.00;44.00;1000.44;43;76;1.09;3;63.04;21.23
2025-10-08 14:40:01;27.23;93489.00;44.00;1000.44;44;77;1.11;3;63.04;21.23
2025-10-08 14:40:02;27.23;93489.00;44.00;1000.42;44;77;1.11;3;63.04;21.23
2025-10-08 14:40:03;27.24;93282.00;44.00;1000.44;44;77;1.11;3;63.04;21.24
2025-10-08 14:40:04;27.25;93282.00;44.00;1000.42;44;78;1.12;3;63.04;21.25
2025-10-08 14:40:05;27.25;92767.00;44.00;1000.44;44;78;1.12;3;63.04;21.25
2025-10-08 14:40:06;27.26;93075.00;44.00;1000.44;44;78;1.12;3;63.04;21.26
2025-10-08 14:40:07;27.27;92767.00;44.00;1000.42;44;78;1.12;3;63.04;21.27
2025-10-08 14:40:08;27.27;92972.00;44.00;1000.44;44;78;1.12;3;63.04;21.27
2025-10-08 14:40:09;27.28;93385.00;44.00;1000.42;44;78;1.12;3;63.04;21.28
