;temperature;gas;humidity;barometer
750;17,67;128144;60;1001,9
751;17,66;128339;60;1001,88
752;17,63;128732;60;1001,88
753;17,58;129326;60;1001,9
754;17,55;128634;60;1001,94
755;17,55;127754;60;1001,92
756;17,54;128046;60;1001,9
757;17,37;127367;60;1001,94
758;17,28;129426;60;1001,9
759;17,26;128732;60;1001,92
760;17,29;129227;60;1001,94
761;17,29;128930;60;1001,9
762;17,28;128046;60;1001,94
763;17,33;129726;60;1001,94
764;17,34;128732;60;1001,96
765;17,35;129029;60;1001,96
766;17,37;129526;60;1001,98
767;17,37;129128;60;1001,96
768;17,33;129426;60;1001,98
769;17,33;127560;60;1002
770;17,33;128732;60;1001,98
771;17,33;128634;60;1001,98
772;17,33;127657;60;1002
773;17,33;128634;60;1001,98
774;17,35;129526;60;1001,98
775;17,35;129326;60;1001,98
776;17,35;129726;60;1002
777;17,31;128732;60;1002
778;17,26;129526;60;1001,98
779;17,24;127851;60;1001,98
780;17,23;128144;60;1002
781;17,25;128634;60;1001,98
782;17,23;128437;60;1001,98
783;17,2;130430;60;1001,98
784;17,2;128634;60;1001,98
785;17,21;129526;60;1001,98
786;17,23;130430;60;1001,98
787;17,24;129426;60;1001,98
788;17,21;128732;60;1002
789;17,19;129526;60;1001,98
790;17,18;129227;60;1002
791;17,15;128437;60;1002
792;17,16;128535;60;1002
793;17,16;128831;60;1002
794;17,16;130734;60;1001,98
795;17,16;128831;60;1001,98
796;17,18;129128;61;1002
797;17,17;129326;61;1001,98
798;17,18;128930;61;1001,96
799;17,19;127851;61;1001,98
800;17,17;128930;61;1002
801;17,14;129029;61;1001,98
802;17,13;129128;61;1001,98
803;17,12;130027;61;1001,96
804;17,14;129626;61;1001,96
805;17,17;128831;61;1001,98
806;17,15;129526;61;1001,96
807;17,16;128831;61;1001,98
808;17,15;128241;61;1001,98
809;17,16;131040;61;1001,98
810;17,17;128144;61;1001,98
811;17,18;128634;61;1001,96
812;17,19;128339;61;1001,98
813;17,19;128831;61;1001,96
814;17,2;128144;61;1001,98
815;17,19;129726;61;1001,98
816;17,16;129626;61;1001,96
817;17,16;129227;61;1001,98
818;17,2;129426;61;1001,96
819;17,2;128831;61;1001,96
820;17,2;128732;61;1001,98
821;17,18;129227;61;1001,98
822;17,16;130127;61;1001,98
