;temperature;gas;humidity;barometer
705;33,37;97407;30;1002,53
706;33,35;97238;30;1002,54
707;33,29;96734;30;1002,51
708;33,23;97407;30;1002,51
709;33,16;97633;29;1002,53
710;33,12;98146;30;1002,53
711;33,06;97069;30;1002,53
712;33,05;97803;30;1002,53
713;33,01;97520;30;1002,53
714;32,93;97860;30;1002,54
715;32,89;97350;30;1002,54
716;32,8;98491;30;1002,54
717;32,72;97747;30;1002,54
718;32,68;98261;30;1002,56
719;32,65;98955;30;1002,56
720;32,58;98838;30;1002,53
721;32,54;98722;30;1002,53
722;32,49;98318;30;1002,54
723;32,45;98722;30;1002,54
724;32,38;99305;30;1002,54
725;32,36;99188;30;1002,56
726;32,32;98203;31;1002,56
727;32,28;98549;31;1002,58
728;32,23;99541;31;1002,58
729;32,21;98955;31;1002,58
730;32,19;100074;31;1002,58
731;32,2;99659;31;1002,58
732;32,2;99718;31;1002,58
733;32,2;99777;31;1002,56
734;32,23;100014;31;1002,56
735;32,26;99896;31;1002,58
736;32,29;99188;31;1002,56
737;32,33;100193;31;1002,56
738;32,37;100673;31;1002,56
739;32,39;100014;31;1002,58
740;32,42;99777;31;1002,58
741;32,42;100074;31;1002,56
742;32,39;99482;31;1002,56
743;32,37;100313;31;1002,56
744;32,37;100313;31;1002,56
745;32,38;100014;31;1002,56
746;32,38;100794;31;1002,56
747;32,33;100613;31;1002,58
748;32,3;100673;31;1002,58
749;32,31;101097;31;1002,58
750;32,3;101219;31;1002,56
751;32,3;100613;31;1002,58
752;32,3;100794;31;1002,56
753;32,31;102640;31;1002,58
754;32,32;101402;31;1002,58
755;32,33;100373;31;1002,6
756;32,32;101219;31;1002,6
757;32,34;101647;31;1002,58
758;32,36;100673;31;1002,56
759;32,38;101219;31;1002,56
760;32,37;100915;31;1002,58
761;32,37;100975;31;1002,54
762;32,37;101097;31;1002,56
763;32,39;100915;31;1002,56
764;32,39;100553;31;1002,58
765;32,4;100373;31;1002,58
766;32,39;101219;31;1002,58
767;32,37;101219;31;1002,56
768;32,36;100613;31;1002,56
769;32,37;100975;31;1002,58
770;32,37;102328;31;1002,58
771;32,37;100794;31;1002,54
772;32,38;102141;31;1002,54
773;32,39;101097;31;1002,56
774;32,4;101524;31;1002,56
775;32,42;100613;31;1002,58
776;32,45;101097;31;1002,56
777;32,47;101036;31;1002,56
778;32,47;100433;31;1002,56
779;32,46;101280;31;1002,54
780;32,48;100613;31;1002,54
781;32,53;101036;31;1002,56
782;32,54;101036;31;1002,54
783;32,55;101280;31;1002,54
784;32,55;101647;31;1002,56
785;32,54;101341;31;1002,54
786;32,56;101158;31;1002,56
787;32,59;101097;31;1002,56
788;32,61;100433;31;1002,56
789;32,62;100553;31;1002,53
790;32,6;100613;31;1002,56
791;32,6;101097;31;1002,56
792;32,59;101709;31;1002,56
793;32,6;100854;31;1002,54
794;32,6;100553;31;1002,54
795;32,6;101402;31;1002,56
796;32,59;100373;31;1002,56
797;32,59;101280;31;1002,58
798;32,57;100313;31;1002,56
799;32,57;100253;31;1002,56
800;32,56;101524;31;1002,58
801;32,54;101463;31;1002,56
802;32,53;101219;31;1002,56
803;32,55;100673;31;1002,56
804;32,58;100553;31;1002,54
805;32,6;100673;31;1002,54
806;32,62;100794;31;1002,58
807;32,65;100854;31;1002,58
808;32,66;100553;31;1002,58
809;32,67;101097;31;1002,58
810;32,69;100854;31;1002,6
811;32,71;100733;31;1002,58
812;32,73;100134;31;1002,56
813;32,73;99955;31;1002,6
814;32,68;99955;31;1002,58
815;32,7;100854;31;1002,6
