;temperature;gas;humidity;barometer
345;26,27;137581;39;1002,6
346;26,25;137807;39;1002,62
347;26,21;137469;39;1002,64
348;26,16;138602;39;1002,64
349;26,11;136243;39;1002,64
350;26,09;137694;40;1002,64
351;26,08;138147;40;1002,6
352;26,03;138033;40;1002,62
353;25,99;138602;40;1002,62
354;25,94;137357;40;1002,6
355;25,94;137244;40;1002,62
356;25,96;139176;40;1002,62
357;25,99;138716;40;1002,6
358;26,01;138033;40;1002,62
359;26,02;138946;40;1002,62
360;26,02;138147;40;1002,6
361;26,03;137021;40;1002,64
362;26,02;138488;40;1002,6
363;26,02;137920;40;1002,62
364;26,01;136798;40;1002,62
365;26,01;136798;40;1002,62
366;25,96;138033;40;1002,62
367;25,94;138946;40;1002,6
368;25,93;137132;40;1002,64
369;25,9;137581;41;1002,62
370;25,89;137694;41;1002,62
371;25,87;137132;41;1002,62
372;25,85;137807;41;1002,6
373;25,83;139522;41;1002,6
374;25,81;138147;41;1002,58
375;25,79;139061;41;1002,62
376;25,79;138147;41;1002,62
377;25,77;138374;41;1002,62
378;25,73;138260;41;1002,64
379;25,72;139871;41;1002,62
380;25,72;138602;41;1002,64
381;25,7;138602;41;1002,64
382;25,69;138602;41;1002,64
383;25,7;139638;41;1002,66
384;25,7;139871;41;1002,64
385;25,71;138488;41;1002,62
386;25,71;138147;41;1002,64
387;25,71;138831;41;1002,64
388;25,71;138488;41;1002,62
389;25,7;138716;41;1002,64
390;25,7;138260;41;1002,66
391;25,69;138147;41;1002,68
392;25,69;139061;41;1002,64
393;25,69;139291;41;1002,62
394;25,68;138147;41;1002,64
395;25,68;139061;41;1002,66
396;25,67;138602;41;1002,66
397;25,65;138374;41;1002,64
398;25,62;139176;41;1002,62
399;25,61;137357;41;1002,66
400;25,6;138488;41;1002,68
401;25,56;137244;41;1002,66
402;25,56;138033;41;1002,66
403;25,58;138374;41;1002,66
404;25,58;138488;41;1002,66
405;25,58;138374;41;1002,64
406;25,59;137920;41;1002,64
407;25,59;137244;41;1002,66
408;25,59;138488;41;1002,64
409;25,58;138716;41;1002,66
410;25,59;137357;41;1002,64
411;25,59;138260;41;1002,66
412;25,59;138260;41;1002,66
413;25,57;139522;41;1002,66
414;25,57;137581;41;1002,68
415;25,55;138602;41;1002,66
416;25,53;138488;41;1002,66
417;25,51;139061;41;1002,64
418;25,49;139407;41;1002,66
419;25,45;138374;41;1002,66
420;25,43;139522;41;1002,64
421;25,37;138374;41;1002,66
422;25,32;139522;41;1002,66
423;25,35;138831;41;1002,66
424;25,38;138602;41;1002,64
425;25,39;138260;41;1002,66
426;25,38;138374;41;1002,64
427;25,37;138716;41;1002,64
428;25,33;138033;41;1002,66
429;25,33;138602;41;1002,64
430;25,33;138488;41;1002,64
431;25,29;138260;41;1002,66
432;25,28;139061;41;1002,64
433;25,26;139638;41;1002,64
434;25,25;139061;41;1002,66
435;25,25;138147;41;1002,68
436;25,24;138831;41;1002,68
437;25,25;139987;41;1002,66
438;25,26;139291;41;1002,68
439;25,26;138488;41;1002,66
440;25,28;139522;41;1002,66
441;25,28;138488;41;1002,66
442;25,29;138147;41;1002,66
443;25,29;139176;41;1002,66
444;25,29;138033;41;1002,64
445;25,28;138374;41;1002,64
446;25,26;137920;41;1002,64
447;25,25;138033;41;1002,66
448;25,19;138946;41;1002,64
449;25,15;138946;41;1002,64
450;25,15;138374;41;1002,66
451;25,13;138716;41;1002,64
452;25,07;139754;41;1002,68
453;25,05;140338;42;1002,66
454;25,02;139291;41;1002,66
455;25,01;139176;42;1002,66
456;25,01;138033;42;1002,68
457;24,98;139407;42;1002,62
458;24,99;138147;42;1002,64
459;25;139987;41;1002,66
460;25;139871;41;1002,64
461;24,98;139754;41;1002,66
462;25;139871;41;1002,62
463;25;139754;41;1002,64
464;24,99;139754;41;1002,64
465;24,98;139754;41;1002,64
466;24,97;139638;41;1002,66
467;24,97;139987;41;1002,66
468;24,97;140104;41;1002,64
469;24,97;139522;41;1002,64
470;24,97;139987;41;1002,64
471;24,97;139987;41;1002,64
472;24,98;138374;41;1002,64
473;24,97;139754;41;1002,64
474;24,97;139291;41;1002,64
475;24,98;139407;41;1002,66
476;24,99;139176;41;1002,64
477;24,99;138946;41;1002,66
478;24,99;138946;41;1002,66
479;24,98;138488;41;1002,64
480;24,98;138946;41;1002,64
481;24,99;138374;41;1002,64
482;25;139176;41;1002,68
483;25;138831;41;1002,7
484;25,01;138831;41;1002,68
485;25,01;138374;41;1002,68
486;25,02;138488;41;1002,66
487;25,02;138147;41;1002,66
488;25,03;138260;41;1002,68
489;25,03;138260;41;1002,68
490;25,03;137132;41;1002,66
491;25,04;137694;41;1002,68
492;25,05;137021;41;1002,66
493;25,06;136798;41;1002,66
494;25,07;137469;41;1002,66
495;25,08;137920;41;1002,68
496;25,09;136798;41;1002,66
497;25,1;136023;41;1002,68
498;25,1;137132;41;1002,68
499;25,11;136798;41;1002,64
500;25,11;136023;41;1002,64
501;25,11;136354;41;1002,64
502;25,11;135584;41;1002,64
503;25,13;136465;41;1002,64
504;25,13;135366;41;1002,64
505;25,14;135694;41;1002,64
506;25,14;136575;41;1002,62
507;25,14;136023;41;1002,64
508;25,15;136023;41;1002,62
509;25,15;135584;41;1002,6
510;25,16;135475;41;1002,6
511;25,16;135366;41;1002,64
512;25,17;134823;41;1002,62
513;25,17;136023;41;1002,62
514;25,17;135257;41;1002,62
515;25,18;134607;41;1002,6
516;25,18;135040;41;1002,62
517;25,18;134499;41;1002,62
518;25,19;135475;41;1002,62
519;25,19;134285;41;1002,62
520;25,19;135040;40;1002,66
521;25,21;134715;41;1002,66
522;25,21;134607;41;1002,66
523;25,22;135584;40;1002,64
524;25,23;133964;40;1002,68
525;25,24;134177;40;1002,64
526;25,25;133964;40;1002,64
527;25,26;134931;40;1002,64
528;25,27;133326;40;1002,66
529;25,28;133964;40;1002,64
530;25,29;133221;40;1002,62
531;25,3;134607;40;1002,64
532;25,3;133432;40;1002,62
533;25,31;133432;40;1002,64
534;25,33;134177;40;1002,64
535;25,34;134285;40;1002,62
536;25,35;134285;40;1002,64
537;25,36;134070;40;1002,64
538;25,37;134499;40;1002,64
539;25,39;133644;40;1002,66
540;25,4;133644;40;1002,64
541;25,41;133221;40;1002,68
542;25,42;132800;40;1002,66
543;25,43;133326;40;1002,64
544;25,43;132486;40;1002,66
545;25,45;133644;40;1002,66
546;25,46;133115;40;1002,66
547;25,47;133326;40;1002,64
548;25,47;132277;40;1002,66
549;25,49;131862;40;1002,64
550;25,5;133115;40;1002,64
551;25,51;133326;40;1002,64
552;25,52;131656;40;1002,66
553;25,52;132173;40;1002,64
554;25,53;132695;40;1002,66
555;25,55;132277;40;1002,66
556;25,55;132695;40;1002,64
557;25,56;131862;40;1002,64
558;25,58;131450;40;1002,66
559;25,58;132277;40;1002,66
560;25,59;132277;40;1002,66
561;25,6;132486;40;1002,66
562;25,6;132486;40;1002,64
563;25,61;132069;40;1002,66
564;25,62;132800;40;1002,64
565;25,62;131450;40;1002,68
566;25,63;131966;40;1002,68
567;25,64;132173;40;1002,66
568;25,65;132173;40;1002,66
569;25,66;132277;40;1002,66
570;25,67;132381;40;1002,64
571;25,67;131862;40;1002,66
572;25,68;132069;40;1002,66
573;25,68;132277;40;1002,64
574;25,69;132590;40;1002,66
575;25,69;132590;40;1002,66
576;25,7;133115;40;1002,64
577;25,7;133010;40;1002,64
578;25,71;133010;40;1002,62
579;25,71;133857;40;1002,66
580;25,71;133644;40;1002,64
581;25,72;133115;40;1002,64
582;25,72;133221;40;1002,64
583;25,72;133538;39;1002,64
584;25,72;133326;39;1002,62
585;25,73;133432;39;1002,66
586;25,73;133857;39;1002,64
587;25,73;133644;39;1002,66
588;25,73;135148;39;1002,64
589;25,74;134499;39;1002,64
590;25,74;135913;39;1002,62
591;25,75;134177;39;1002,62
592;25,75;134715;39;1002,64
593;25,76;134715;39;1002,64
594;25,76;134715;39;1002,62
595;25,76;135366;39;1002,62
596;25,77;134715;39;1002,62
597;25,77;133964;39;1002,62
598;25,77;134823;39;1002,64
599;25,77;134931;39;1002,64
600;25,77;135366;39;1002,64
601;25,76;135475;39;1002,6
602;25,76;136465;39;1002,62
603;25,76;136243;39;1002,62
604;25,73;135803;39;1002,64
605;25,63;136023;39;1002,62
606;25,59;135257;39;1002,64
607;25,59;136575;39;1002,64
608;25,62;136243;40;1002,64
609;25,64;135584;40;1002,66
610;25,64;135257;40;1002,62
611;25,61;137132;40;1002,64
612;25,5;137244;40;1002,64
613;25,43;137807;40;1002,64
614;25,39;137021;40;1002,62
615;25,32;137244;40;1002,64
616;25,26;137581;40;1002,66
617;25,23;138374;40;1002,64
618;25,19;138033;40;1002,62
619;25,21;138946;40;1002,64
620;25,25;138033;40;1002,64
621;25,25;136798;40;1002,64
622;25,24;138147;40;1002,66
