;temperature;gas;humidity;barometer
105;20,73;171906;38;1007,9
106;20,7;172259;38;1007,88
107;20,66;172082;38;1007,9
108;20,63;172612;38;1007,94
109;20,6;172259;38;1007,94
110;20,58;170858;38;1007,92
111;20,55;173682;38;1007,94
112;20,53;171556;38;1007,94
113;20,51;172968;38;1007,96
114;20,49;170339;38;1007,96
115;20,48;173862;38;1007,92
116;20,45;172259;38;1007,94
117;20,42;172612;38;1007,94
118;20,41;173324;38;1007,92
119;20,39;175130;38;1007,94
120;20,36;174042;39;1007,94
121;20,34;173324;39;1007,96
122;20,31;174042;39;1007,94
123;20,28;171731;39;1007,94
124;20,25;175862;39;1007,94
125;20,23;176601;39;1007,92
126;20,2;174403;39;1007,92
127;20,18;171906;39;1007,92
128;20,16;173503;39;1007,92
129;20,14;172612;39;1007,94
130;20,12;174766;39;1007,94
131;20,09;174042;39;1007,94
132;20,08;173682;39;1007,94
133;20,06;174403;39;1007,92
134;20,03;173862;39;1007,94
135;20;178287;39;1007,96
136;19,96;172790;39;1007,96
137;19,94;176973;39;1007,96
138;19,88;174766;39;1007,98
139;19,84;174222;39;1007,92
140;19,79;175862;39;1007,96
141;19,74;176973;39;1007,96
142;19,71;176601;39;1007,96
143;19,68;175495;40;1008
144;19,65;177160;40;1007,94
145;19,62;175862;40;1007,94
146;19,59;178476;40;1007,94
147;19,54;177910;40;1007,94
148;19,52;178476;40;1007,96
149;19,48;177534;40;1007,96
150;19,44;176973;40;1007,96
151;19,42;177534;40;1007,96
152;19,38;179620;40;1007,94
153;19,36;178476;40;1007,94
154;19,34;178856;40;1007,94
155;19,32;178287;40;1007,96
156;19,3;180974;40;1007,96
157;19,29;180198;40;1007,94
158;19,28;178476;40;1007,96
159;19,24;178666;40;1007,96
160;19,23;181364;40;1007,94
161;19,21;178476;40;1007,96
162;19,19;179429;40;1007,96
163;19,17;179046;40;1007,94
164;19,15;179046;41;1007,94
165;19,11;180198;41;1007,96
166;19,1;180005;41;1007,96
167;19,08;180974;41;1007,98
168;19,05;182150;41;1007,98
169;19,01;181560;41;1007,98
170;18,96;180585;41;1007,96
171;18,92;179620;41;1007,96
172;18,9;179812;41;1007,96
173;18,88;179237;41;1007,96
174;18,85;179429;41;1007,94
175;18,83;179429;41;1007,94
176;18,82;182150;41;1007,96
177;18,79;180391;41;1007,96
178;18,75;182546;41;1007,94
179;18,75;182150;41;1007,94
180;18,75;183142;41;1007,94
181;18,74;180585;41;1007,96
182;18,73;182943;41;1007,94
183;18,71;180779;41;1007,94
184;18,69;181560;41;1007,92
185;18,7;181364;42;1007,94
186;18,69;181953;41;1007,94
187;18,67;183142;42;1007,94
188;18,66;182348;42;1007,92
189;18,65;180974;42;1007,96
190;18,64;181169;42;1007,96
191;18,63;181560;42;1007,94
192;18,62;181560;42;1007,96
193;18,61;181756;42;1007,96
194;18,6;180974;42;1007,98
195;18,59;182546;42;1007,96
196;18,57;183142;42;1007,98
197;18,56;181756;42;1007,94
198;18,55;180974;42;1007,94
199;18,54;181953;42;1007,94
200;18,54;181560;42;1007,94
201;18,52;182150;42;1007,96
