;temperature;gas;humidity;barometer
0;28,43;114215;31;1003,07
1;28,44;114060;31;1003,05
2;28,43;113828;31;1003,03
3;28,42;113905;31;1003,05
4;28,42;113751;31;1003,05
5;28,43;113828;31;1003,05
6;28,45;114215;31;1003,09
7;28,46;113828;31;1003,07
8;28,46;113674;31;1003,07
9;28,47;114060;31;1003,05
10;28,47;114917;31;1003,03
11;28,47;113983;31;1003,09
12;28,46;114215;31;1003,05
13;28,47;114292;31;1003,05
14;28,49;114060;31;1003,07
15;28,5;114060;31;1003,09
16;28,51;115470;31;1003,09
17;28,52;113751;31;1003,07
18;28,52;114682;31;1003,09
19;28,51;114604;31;1003,09
20;28,52;113905;31;1003,09
21;28,52;113063;31;1003,07
22;28,53;112835;31;1003,05
23;28,52;113751;31;1003,05
24;28,53;112835;31;1003,09
25;28,53;112759;31;1003,09
26;28,53;112759;31;1003,07
27;28,52;112684;31;1003,07
28;28,5;112608;31;1003,07
29;28,5;112684;31;1003,07
30;28,52;113597;31;1003,07
31;28,53;112835;31;1003,09
32;28,54;113521;31;1003,07
33;28,54;112759;31;1003,07
34;28,53;112911;31;1003,07
35;28,52;112608;31;1003,07
36;28,52;112458;31;1003,09
37;28,52;112987;31;1003,07
38;28,52;113215;31;1003,07
39;28,53;112835;31;1003,09
40;28,54;112911;31;1003,07
41;28,54;112835;31;1003,09
42;28,54;112759;31;1003,07
43;28,52;112835;31;1003,05
44;28,54;112383;31;1003,05
45;28,56;112911;31;1003,07
46;28,57;112232;31;1003,09
47;28,59;112911;31;1003,09
48;28,6;111934;31;1003,07
49;28,6;113751;31;1003,07
50;28,62;112759;31;1003,07
51;28,63;112383;31;1003,07
52;28,64;112383;31;1003,07
53;28,64;112684;31;1003,07
54;28,64;112158;31;1003,05
55;28,65;114292;31;1003,07
56;28,65;113828;31;1003,05
57;28,67;112911;31;1003,05
58;28,68;113139;31;1003,09
59;28,69;112911;31;1003,07
60;28,7;111710;31;1003,11
61;28,7;112608;31;1003,09
62;28,7;111636;31;1003,11
63;28,72;112759;31;1003,09
64;28,72;111859;31;1003,11
65;28,73;112987;31;1003,09
66;28,75;112608;31;1003,09
67;28,76;111636;31;1003,11
68;28,77;111785;31;1003,07
69;28,77;113139;31;1003,09
70;28,77;111414;31;1003,11
71;28,77;112083;31;1003,07
72;28,77;112158;31;1003,09
73;28,78;112759;31;1003,09
74;28,78;111341;31;1003,05
75;28,79;111934;31;1003,05
76;28,8;112158;31;1003,05
77;28,8;110973;31;1003,07
78;28,8;112232;31;1003,07
79;28,8;113751;31;1003,07
80;28,8;112608;31;1003,07
