;temperature;gas;humidity;barometer
0;30,7;50814;35;1001,03
1;30,7;50478;36;1001,05
2;30,7;50845;35;1001,05
3;30,7;50418;36;1001,05
4;30,7;50968;36;1001,05
5;30,7;50327;36;1001,05
6;30,7;50418;36;1001,08
7;30,7;50753;36;1001,08
8;30,7;50661;36;1001,05
9;30,7;50692;36;1001,05
10;30,69;50692;36;1001,08
11;30,69;50539;36;1001,08
12;30,69;50692;36;1001,08
13;30,69;50267;36;1001,08
14;30,69;50814;36;1001,08
15;30,69;50509;36;1001,08
16;30,69;50937;36;1001,08
17;30,69;51030;36;1001,08
18;30,69;50661;36;1001,08
19;30,69;50692;36;1000,97
20;30,69;50509;36;1001,05
21;30,69;50968;36;1001,08
22;30,69;51030;36;1001,08
23;30,69;50722;36;1001,08
24;30,69;50906;36;1001,08
25;30,69;50753;36;1001,09
26;30,69;50661;36;1001,08
27;30,69;50509;36;1001,08
28;30,69;50418;36;1001,09
29;30,69;51154;36;1001,09
30;30,7;50876;36;1001,08
31;30,69;50906;36;1001,08
32;30,69;50783;36;1001,08
33;30,69;50600;35;1001,08
34;30,69;51123;36;1001,08
35;30,69;50539;36;1001,05
36;30,68;50692;36;1001,08
37;30,68;50753;36;1001,08
38;30,67;51030;36;1001,09
39;30,67;50661;36;1001,09
40;30,67;50509;36;1001,08
41;30,66;51123;36;1001,09
42;30,65;50968;36;1001,03
43;30,64;50539;36;1001,03
44;30,64;50570;36;1001,05
45;30,63;51123;36;1001,08
46;30,63;51030;36;1001,05
47;30,63;50722;36;1001,05
48;30,63;51030;36;1001,05
49;30,63;51217;36;1001,08
50;30,62;51185;36;1001,03
51;30,62;50937;36;1001,05
52;30,62;50906;36;1001,05
53;30,61;50999;36;1001,08
54;30,61;50906;36;1001,08
55;30,61;50630;36;1001,08
56;30,61;50539;36;1001,05
57;30,6;50937;36;1001,03
58;30,6;50999;36;1001,05
59;30,6;50968;36;1001,08
60;30,59;50968;36;1001,05
61;30,59;51373;36;1001,03
62;30,58;51310;36;1001,05
63;30,58;51217;36;1001,05
64;30,58;51092;36;1001,05
65;30,58;51342;36;1001,08
66;30,57;50937;36;1001,08
67;30,57;50876;36;1001,09
68;30,57;50783;36;1001,05
69;30,56;50570;36;1001,08
70;30,55;51405;36;1001,08
71;30,55;50999;36;1001,08
72;30,54;51030;36;1001,05
73;30,54;50937;36;1001,08
74;30,54;51436;36;1001,05
75;30,53;51217;36;1001,08
76;30,53;51061;36;1001,08
77;30,52;51468;36;1001,08
78;30,52;51061;36;1001,05
79;30,52;51092;36;1001,08
80;30,51;51342;36;1001,08
81;30,5;51342;36;1001,05
82;30,5;51185;36;1001,05
83;30,5;51123;36;1001,05
84;30,48;50937;36;1001,08
85;30,48;51531;36;1001,08
86;30,47;50539;36;1001,09
87;30,46;51061;36;1001,09
88;30,46;51279;36;1001,09
89;30,44;51185;36;1001,08
90;30,44;50999;36;1001,09
91;30,43;51123;36;1001,09
92;30,43;51310;36;1001,05
93;30,42;50722;36;1001,08
94;30,41;50876;36;1001,09
95;30,41;51185;36;1001,05
96;30,4;51562;36;1001,05
97;30,4;51248;36;1001,08
98;30,39;51405;36;1001,08
99;30,38;51785;36;1001,05
100;30,38;51310;36;1001,08
101;30,37;51310;36;1001,09
102;30,37;51154;36;1001,09
103;30,36;51248;36;1001,05
104;30,35;51061;36;1001,08
105;30,34;51185;36;1001,05
106;30,34;51626;36;1001,08
107;30,33;51373;36;1001,09
108;30,32;51279;36;1001,08
109;30,32;51373;36;1001,11
110;30,31;51468;36;1001,09
111;30,3;51092;36;1001,09
112;30,29;51405;36;1001,11
113;30,29;51405;36;1001,09
114;30,28;51499;36;1001,09
115;30,27;51217;36;1001,11
116;30,27;51185;36;1001,09
117;30,26;51436;36;1001,09
118;30,25;51373;36;1001,11
119;30,25;51123;36;1001,09
120;30,24;51436;36;1001,09
121;30,24;51499;36;1001,09
122;30,23;51217;36;1001,11
123;30,23;51562;36;1001,11
124;30,22;51030;36;1001,11
125;30,21;51531;36;1001,11
126;30,2;51594;36;1001,09
127;30,19;51405;36;1001,09
128;30,18;50999;36;1001,09
129;30,17;51657;36;1001,09
130;30,17;51531;36;1001,11
131;30,16;51594;36;1001,09
132;30,14;51248;36;1001,09
133;30,14;51531;36;1001,09
134;30,13;51373;36;1001,09
135;30,12;51405;36;1001,08
136;30,11;51626;36;1001,08
137;30,11;51753;36;1001,09
138;30,09;51499;36;1001,08
139;30,09;51785;36;1001,05
140;30,08;51913;36;1001,08
141;30,08;51689;36;1001,08
142;30,06;51721;36;1001,05
143;30,06;51531;36;1001,05
144;30,05;51657;36;1001,08
