;temperature;gas;humidity;barometer
0;28,24;37903;41;1008,51
1;28,24;38318;40;1008,51
2;28,24;38564;40;1008,54
3;28,25;38493;40;1008,49
4;28,25;38564;40;1008,54
5;28,25;38848;40;1008,53
6;28,26;38920;40;1008,54
7;28,26;39174;40;1008,53
8;28,27;39174;40;1008,51
9;28,27;39210;40;1008,54
10;28,27;39505;40;1008,51
11;28,27;39505;40;1008,51
12;28,27;39804;40;1008,54
13;28,28;40031;40;1008,53
14;28,28;40069;40;1008,53
15;28,28;40223;40;1008,53
16;28,28;40338;40;1008,53
17;28,28;40377;39;1008,51
18;28,28;40377;39;1008,53
19;28,28;40377;39;1008,51
20;28,28;40729;39;1008,53
21;28,28;40768;39;1008,53
22;28,29;40650;39;1008,51
23;28,29;40768;39;1008,51
24;28,29;40808;39;1008,53
25;28,29;41370;39;1008,53
26;28,29;41047;39;1008,53
27;28,3;41047;39;1008,51
28;28,3;40847;39;1008,51
29;28,29;40887;39;1008,53
30;28,29;40768;39;1008,51
31;28,29;40967;39;1008,53
32;28,29;40416;39;1008,53
33;28,29;40377;39;1008,53
34;28,29;40416;39;1008,49
35;28,29;40689;39;1008,51
36;28,29;40494;39;1008,53
37;28,29;40377;39;1008,53
38;28,29;40533;39;1008,53
39;28,29;40377;39;1008,53
40;28,29;40729;39;1008,53
41;28,29;40533;39;1008,53
42;28,29;40729;39;1008,51
43;28,29;40808;39;1008,51
44;28,29;40808;39;1008,51
45;28,3;41007;39;1008,51
46;28,29;41167;39;1008,51
47;28,3;41087;39;1008,51
48;28,3;41370;39;1008,51
49;28,3;41615;39;1008,51
50;28,3;41492;39;1008,51
51;28,3;41410;39;1008,51
52;28,3;41615;39;1008,51
53;28,31;41410;39;1008,49
54;28,31;41451;39;1008,49
55;28,32;41410;39;1008,51
56;28,32;41533;39;1008,49
57;28,32;41492;39;1008,51
58;28,31;41615;39;1008,49
59;28,32;41698;39;1008,49
60;28,32;41329;39;1008,49
61;28,33;41574;39;1008,45
62;28,32;41739;39;1008,49
63;28,32;41739;39;1008,49
64;28,33;41492;39;1008,49
65;28,33;41780;39;1008,49
66;28,33;41739;39;1008,51
67;28,33;41822;39;1008,51
68;28,33;41905;39;1008,49
69;28,34;41947;39;1008,51
70;28,34;41947;39;1008,51
71;28,33;42115;39;1008,51
72;28,33;42031;39;1008,51
73;28,34;42199;39;1008,51
74;28,34;42498;39;1008,51
75;28,35;41864;39;1008,49
76;28,35;41864;39;1008,49
77;28,35;42199;39;1008,51
78;28,35;42242;39;1008,51
79;28,35;42157;39;1008,49
80;28,36;42455;39;1008,49
81;28,36;42498;39;1008,49
82;28,36;42412;39;1008,49
83;28,36;42327;39;1008,49
84;28,36;41905;39;1008,49
85;28,36;41864;39;1008,49
86;28,36;41739;39;1008,47
87;28,37;42284;39;1008,49
88;28,37;41451;39;1008,47
89;28,37;41370;39;1008,47
90;28,37;41451;39;1008,51
91;28,37;41615;39;1008,49
92;28,37;41492;39;1008,49
93;28,38;41574;39;1008,49
94;28,37;41410;39;1008,49
95;28,37;41167;39;1008,49
96;28,37;41410;39;1008,49
97;28,38;41047;39;1008,49
98;28,38;41329;39;1008,47
99;28,38;41329;39;1008,47
100;28,39;41127;39;1008,47
101;28,39;41127;39;1008,47
102;28,38;40847;39;1008,47
103;28,39;40768;39;1008,49
104;28,39;40572;39;1008,45
105;28,4;40455;39;1008,47
106;28,4;40689;39;1008,47
107;28,4;40300;39;1008,47
108;28,4;40223;39;1008,47
109;28,41;39955;39;1008,47
110;28,41;39691;39;1008,49
111;28,41;39766;39;1008,49
112;28,41;39691;39;1008,47
113;28,42;39505;39;1008,47
114;28,42;39431;39;1008,47
115;28,42;39468;39;1008,47
116;28,41;39579;39;1008,47
117;28,42;39617;39;1008,47
118;28,43;39729;39;1008,49
119;28,43;39729;39;1008,49
120;28,43;40223;39;1008,49
121;28,42;40184;39;1008,47
122;28,43;40031;39;1008,47
123;28,43;39654;39;1008,45
124;28,42;39804;39;1008,45
125;28,43;39729;39;1008,47
126;28,43;40031;39;1008,45
127;28,42;39993;39;1008,47
128;28,42;40031;39;1008,47
129;28,42;40338;39;1008,45
130;28,43;40377;39;1008,47
131;28,43;40223;39;1008,49
132;28,43;40533;39;1008,47
133;28,44;40223;39;1008,47
134;28,44;40377;39;1008,49
135;28,44;40416;39;1008,47
136;28,44;40729;39;1008,47
137;28,44;40494;39;1008,47
138;28,44;40689;39;1008,47
139;28,44;40650;39;1008,47
140;28,45;41047;39;1008,53
141;28,45;41329;39;1008,49
142;28,44;41167;39;1008,47
143;28,45;41492;39;1008,47
144;28,45;40927;39;1008,49
145;28,45;41248;39;1008,49
146;28,46;41410;39;1008,49
147;28,46;41780;39;1008,49
148;28,46;41574;39;1008,49
149;28,46;41989;39;1008,47
150;28,47;41864;39;1008,47
151;28,47;41739;38;1008,47
152;28,47;41739;38;1008,53
153;28,48;41656;38;1008,51
154;28,47;41410;38;1008,53
155;28,48;41698;38;1008,53
156;28,47;41288;38;1008,51
157;28,47;41410;38;1008,53
158;28,47;41127;38;1008,53
159;28,47;40887;38;1008,53
160;28,47;41007;38;1008,47
161;28,47;40768;38;1008,47
