;temperature;gas;humidity;barometer
0;28,3;57409;41;1002,68
1;28,3;57645;41;1002,66
2;28,3;58083;41;1002,66
3;28,3;57844;41;1002,66
4;28,3;58244;41;1002,66
5;28,31;57883;41;1002,68
6;28,3;57606;41;1002,66
7;28,3;57175;41;1002,68
8;28,31;57136;41;1002,66
9;28,31;57527;41;1002,68
10;28,31;57764;41;1002,68
11;28,3;57724;41;1002,68
12;28,32;57804;41;1002,68
13;28,31;57764;41;1002,68
14;28,32;57606;41;1002,66
15;28,32;57724;41;1002,66
16;28,33;57606;41;1002,68
17;28,32;57487;41;1002,68
18;28,33;57252;41;1002,66
19;28,33;57487;41;1002,68
20;28,33;58124;41;1002,66
21;28,33;57883;41;1002,66
22;28,32;57252;41;1002,66
23;28,32;57527;41;1002,66
24;28,33;57645;41;1002,66
25;28,33;57606;41;1002,66
26;28,33;58003;41;1002,66
27;28,33;57487;41;1002,68
28;28,33;57487;41;1002,66
29;28,33;57409;41;1002,7
30;28,34;58043;41;1002,68
31;28,33;57409;41;1002,68
32;28,33;57097;41;1002,68
33;28,34;57883;41;1002,68
34;28,34;57252;41;1002,66
35;28,33;57136;41;1002,66
36;28,34;57252;41;1002,66
37;28,34;57606;41;1002,66
38;28,34;57409;41;1002,66
39;28,34;57370;41;1002,66
40;28,34;57409;41;1002,66
41;28,34;57252;41;1002,66
42;28,35;57448;41;1002,66
43;28,35;57175;41;1002,68
44;28,35;57136;41;1002,66
45;28,34;57487;41;1002,66
46;28,35;57252;41;1002,68
47;28,35;57409;41;1002,66
48;28,35;57409;41;1002,66
49;28,35;58003;41;1002,66
50;28,35;57097;41;1002,68
51;28,35;57606;41;1002,66
52;28,35;57136;41;1002,68
53;28,35;57923;41;1002,68
54;28,36;57645;41;1002,68
55;28,36;57724;41;1002,68
56;28,35;57883;41;1002,66
57;28,35;57764;41;1002,66
58;28,36;57097;41;1002,66
59;28,36;57527;41;1002,68
60;28,36;57645;41;1002,66
61;28,36;57923;41;1002,66
62;28,36;57804;41;1002,66
63;28,36;57923;41;1002,66
64;28,36;58003;41;1002,66
65;28,36;57645;41;1002,66
66;28,37;57566;41;1002,66
67;28,37;58043;41;1002,66
68;28,37;57844;41;1002,66
69;28,37;57487;41;1002,68
70;28,37;57804;41;1002,66
71;28,37;57645;41;1002,68
72;28,37;57527;41;1002,68
73;28,37;57844;41;1002,68
74;28,37;57685;41;1002,64
75;28,38;57764;41;1002,66
76;28,37;57370;41;1002,66
77;28,38;58003;41;1002,66
78;28,38;58164;41;1002,68
79;28,38;57685;41;1002,66
80;28,38;57883;41;1002,66
81;28,38;58164;41;1002,66
82;28,38;57645;41;1002,66
83;28,38;57645;41;1002,66
84;28,38;57527;41;1002,64
85;28,38;57724;41;1002,64
86;28,38;57764;41;1002,66
87;28,39;57804;41;1002,64
88;28,39;57685;41;1002,64
89;28,39;57764;41;1002,64
90;28,38;57645;41;1002,66
91;28,39;57487;41;1002,66
92;28,39;57566;41;1002,64
93;28,39;58003;41;1002,64
94;28,39;57883;41;1002,64
95;28,39;57527;41;1002,64
96;28,39;58124;41;1002,64
97;28,39;58003;41;1002,66
98;28,39;57685;41;1002,64
99;28,39;57764;41;1002,68
100;28,39;58043;41;1002,64
101;28,39;57527;41;1002,66
102;28,39;57606;41;1002,64
103;28,39;57487;41;1002,66
104;28,39;57606;41;1002,66
105;28,39;57645;41;1002,66
106;28,39;57645;41;1002,66
107;28,39;58083;41;1002,64
108;28,4;57724;41;1002,66
109;28,4;57527;41;1002,66
110;28,4;57645;41;1002,64
111;28,4;57487;41;1002,64
112;28,41;57606;41;1002,64
113;28,41;58003;41;1002,64
114;28,4;57724;41;1002,68
115;28,41;58124;41;1002,66
116;28,4;57764;41;1002,64
117;28,41;57844;41;1002,66
118;28,41;57844;41;1002,64
119;28,41;57883;41;1002,66
120;28,41;57487;41;1002,68
121;28,41;57963;41;1002,64
122;28,41;58043;41;1002,68
123;28,41;58164;41;1002,66
124;28,41;57724;41;1002,66
125;28,41;57685;41;1002,66
126;28,41;57724;41;1002,68
127;28,41;57566;41;1002,66
128;28,41;57724;41;1002,68
129;28,4;57606;41;1002,66
130;28,41;57527;41;1002,68
131;28,41;57487;41;1002,66
132;28,41;57883;41;1002,66
133;28,41;57252;41;1002,66
134;28,41;57175;41;1002,66
135;28,41;57370;41;1002,68
136;28,41;56904;41;1002,68
137;28,41;57252;41;1002,66
138;28,41;57804;41;1002,66
139;28,41;57566;41;1002,66
140;28,41;57292;41;1002,66
141;28,4;57331;41;1002,66
142;28,41;57175;41;1002,66
143;28,42;57292;41;1002,66
144;28,42;57097;41;1002,68
145;28,42;57566;41;1002,66
146;28,42;57685;41;1002,66
147;28,42;57175;41;1002,64
148;28,42;57252;41;1002,64
149;28,43;57331;41;1002,68
150;28,42;57292;41;1002,66
151;28,43;57409;41;1002,64
152;28,42;57252;41;1002,66
153;28,42;57331;41;1002,64
154;28,43;57606;41;1002,66
155;28,43;57764;41;1002,64
156;28,43;57527;41;1002,66
157;28,43;57685;41;1002,66
158;28,43;57685;41;1002,66
159;28,43;57527;41;1002,66
160;28,43;57764;41;1002,66
161;28,43;57252;41;1002,66
162;28,43;57487;41;1002,66
163;28,43;57963;41;1002,66
164;28,43;57883;41;1002,66
165;28,43;57566;41;1002,66
166;28,43;57331;41;1002,64
167;28,44;57844;41;1002,66
168;28,43;57409;41;1002,66
169;28,44;57409;41;1002,66
170;28,45;57448;41;1002,66
171;28,44;57606;41;1002,64
172;28,44;57685;41;1002,66
173;28,44;57724;41;1002,64
174;28,44;57527;41;1002,66
175;28,44;57883;41;1002,64
176;28,44;58043;41;1002,64
177;28,44;57685;41;1002,64
178;28,44;57606;41;1002,64
179;28,44;57527;41;1002,64
180;28,44;57963;41;1002,64
181;28,44;57844;41;1002,66
182;28,44;57487;41;1002,64
183;28,44;57566;41;1002,64
184;28,44;57448;41;1002,64
185;28,44;57764;41;1002,64
186;28,45;57606;41;1002,64
187;28,45;57527;41;1002,64
188;28,45;57527;41;1002,64
