;temperature;gas;humidity;barometer
0;27,74;90179;38;999,27
1;27,75;89794;38;999,31
2;27,76;90470;38;999,27
3;27,77;90276;38;999,3
4;27,78;89890;38;999,31
5;27,81;90470;38;999,34
6;27,82;89794;38;999,31
7;27,83;90568;38;999,31
8;27,85;89890;38;999,34
9;27,87;89698;38;999,34
10;27,88;89986;38;999,31
11;27,9;89602;38;999,31
12;27,91;88845;38;999,31
13;27,92;89507;38;999,34
14;27,94;90470;38;999,31
15;27,95;89507;38;999,31
16;27,97;89698;38;999,3
17;27,98;89317;38;999,31
18;27,99;89507;38;999,31
19;28,01;89507;38;999,34
20;28,02;89507;38;999,31
21;28,03;89317;38;999,34
22;28,05;89317;38;999,34
23;28,06;89986;38;999,34
24;28,06;90179;38;999,31
25;28,08;89127;38;999,34
26;28,09;89127;38;999,34
27;28,1;89127;38;999,31
28;28,11;88751;38;999,31
29;28,13;89127;38;999,3
30;28,14;88939;38;999,31
31;28,15;89222;38;999,34
32;28,16;89127;38;999,31
33;28,17;88939;38;999,31
34;28,19;88470;38;999,3
35;28,2;89033;38;999,31
36;28,2;89412;38;999,31
37;28,22;89127;38;999,31
38;28,23;89890;37;999,3
39;28,23;89222;37;999,26
40;28,24;88470;37;999,3
41;28,26;88470;37;999,31
42;28,27;88845;37;999,31
43;28,28;88845;37;999,31
44;28,29;89127;37;999,34
45;28,3;89127;37;999,31
46;28,31;88751;37;999,3
47;28,32;89127;37;999,31
48;28,33;88939;37;999,3
49;28,33;88845;37;999,31
50;28,34;88470;37;999,3
51;28,35;88845;37;999,27
52;28,35;88564;37;999,27
53;28,37;88564;37;999,27
54;28,38;89222;37;999,3
55;28,39;88939;37;999,3
56;28,39;88751;37;999,3
57;28,4;88564;37;999,3
58;28,41;89222;37;999,3
59;28,42;88751;37;999,3
60;28,42;88657;37;999,27
61;28,43;88564;37;999,3
62;28,44;89033;37;999,27
63;28,45;89317;37;999,26
64;28,46;89602;37;999,3
65;28,47;88377;37;999,26
66;28,48;89986;37;999,3
67;28,49;88099;37;999,3
68;28,49;88470;37;999,31
69;28,5;88845;37;999,3
70;28,5;88377;37;999,3
71;28,51;89222;37;999,3
72;28,52;88285;37;999,3
73;28,52;88564;37;999,27
74;28,53;88470;37;999,27
75;28,54;89033;37;999,27
76;28,54;88657;37;999,26
77;28,55;88470;37;999,27
78;28,56;89317;37;999,27
79;28,56;89602;37;999,26
80;28,56;88564;37;999,27
81;28,57;89222;37;999,26
82;28,58;88192;37;999,27
83;28,59;88007;37;999,27
84;28,6;88939;37;999,26
85;28,6;89317;37;999,27
86;28,61;89412;37;999,27
87;28,62;89507;37;999,26
88;28,62;88192;37;999,26
89;28,63;88751;37;999,26
90;28,64;88939;37;999,26
91;28,65;88939;37;999,26
92;28,65;89127;37;999,26
93;28,66;89222;37;999,26
94;28,66;88470;37;999,26
95;28,67;89412;37;999,27
96;28,68;88007;37;999,23
97;28,68;88377;37;999,27
98;28,7;89033;37;999,26
99;28,69;88564;37;999,27
100;28,7;89033;37;999,26
101;28,71;88377;37;999,27
102;28,72;89412;37;999,26
103;28,72;88657;37;999,23
104;28,72;88657;37;999,21
105;28,73;88099;37;999,23
106;28,73;89507;37;999,23
107;28,74;88939;37;999,26
108;28,75;88657;37;999,23
109;28,75;87915;37;999,23
110;28,76;88751;37;999,21
111;28,77;88007;37;999,23
112;28,77;88099;37;999,23
113;28,78;87732;37;999,21
114;28,79;88007;37;999,26
115;28,79;90179;37;999,26
116;28,79;88470;37;999,23
117;28,8;88564;37;999,21
118;28,8;88845;37;999,21
119;28,81;89222;37;999,23
120;28,82;88470;37;999,23
121;28,82;88377;37;999,21
122;28,82;89127;37;999,23
123;28,83;89127;37;999,21
124;28,83;87915;37;999,21
125;28,84;88939;37;999,21
126;28,85;88099;37;999,23
127;28,85;89890;37;999,21
128;28,85;88007;37;999,21
129;28,86;89033;37;999,21
130;28,86;88285;37;999,21
131;28,87;88470;37;999,21
132;28,88;88939;37;999,21
133;28,88;89698;37;999,21
134;28,88;89222;37;999,2
135;28,89;88564;37;999,2
136;28,89;88564;36;999,21
137;28,9;89317;36;999,21
138;28,9;89127;37;999,2
139;28,91;89412;37;999,26
140;28,91;89127;36;999,23
141;28,92;89698;36;999,21
142;28,92;88377;36;999,23
143;28,93;90373;36;999,21
144;28,93;88470;36;999,23
145;28,93;89033;36;999,23
146;28,94;88470;36;999,23
147;28,95;89222;36;999,26
148;28,95;89033;36;999,23
149;28,95;88285;36;999,23
150;28,96;88845;36;999,21
151;28,96;88285;36;999,2
152;28,96;90082;36;999,2
153;28,97;89033;36;999,21
154;28,97;88192;36;999,2
155;28,97;89033;36;999,21
156;28,97;89127;36;999,2
157;28,98;88377;36;999,2
158;28,99;89986;36;999,21
159;28,99;88939;36;999,2
160;29;88939;36;999,2
161;29;88657;36;999,17
162;29,01;88285;36;999,21
163;29,01;88657;36;999,2
164;29,01;88564;36;999,2
165;29,02;89794;36;999,2
166;29,02;88470;36;999,17
167;29,02;89127;36;999,17
168;29,03;89698;36;999,17
169;29,02;88192;36;999,16
170;29,04;88377;36;999,17
171;29,04;89986;36;999,17
172;29,05;89412;36;999,17
173;29,05;88099;36;999,2
174;29,05;87823;36;999,17
175;29,05;88192;36;999,17
176;29,06;88007;36;999,17
177;29,06;90373;36;999,17
178;29,06;88192;36;999,16
179;29,07;90373;36;999,16
180;29,07;89507;36;999,17
181;29,07;88470;36;999,17
182;29,07;88564;36;999,16
183;29,08;88192;36;999,16
184;29,08;90373;36;999,16
185;29,08;88751;36;999,13
186;29,09;89222;36;999,17
187;29,1;88564;36;999,17
188;29,1;88845;36;999,17
189;29,11;88564;36;999,17
190;29,11;90276;36;999,17
191;29,12;88657;36;999,17
192;29,12;89602;36;999,16
193;29,12;89986;36;999,16
194;29,12;90665;36;999,16
195;29,13;89890;36;999,16
196;29,13;89794;36;999,2
197;29,13;88285;36;999,2
198;29,14;89794;36;999,17
199;29,14;90082;36;999,17
200;29,14;90470;36;999,17
201;29,14;88657;36;999,17
202;29,15;88657;36;999,17
203;29,15;88657;36;999,17
204;29,15;90179;36;999,17
205;29,16;88192;36;999,17
206;29,16;89412;36;999,17
207;29,16;90373;36;999,16
208;29,16;90373;36;999,16
209;29,17;88564;36;999,17
210;29,17;88470;36;999,16
211;29,18;89602;36;999,16
212;29,18;88657;36;999,16
213;29,19;88564;36;999,17
214;29,19;88845;36;999,16
215;29,18;87823;36;999,13
216;29,18;88470;36;999,13
217;29,19;88377;36;999,13
218;29,19;88939;36;999,13
219;29,2;88657;36;999,13
220;29,2;90082;36;999,12
221;29,2;89698;36;999,12
222;29,2;90082;36;999,13
223;29,21;88192;36;999,13
224;29,21;89317;36;999,09
225;29,2;88377;36;999,13
226;29,22;88751;36;999,12
227;29,22;89890;36;999,12
228;29,22;90179;36;999,12
229;29,22;88845;36;999,12
230;29,23;89890;36;999,13
231;29,23;89890;36;999,13
232;29,23;89412;36;999,16
233;29,23;89890;36;999,12
234;29,24;88657;36;999,12
