;temperature;gas;humidity;barometer
0;31,05;81917;33;998,98
1;31,03;81837;33;998,98
2;31,02;82561;33;998,98
3;31;81837;33;998,98
4;30,99;81997;33;998,99
5;30,97;82157;33;998,99
6;30,97;81917;33;998,98
7;30,96;82561;33;998,98
8;30,95;82480;33;998,99
9;30,93;82399;33;998,99
10;30,91;82723;33;998,99
11;30,9;82318;33;999,02
12;30,89;82238;33;998,98
13;30,86;82561;34;999,03
14;30,81;82238;34;999,03
15;30,75;82886;34;999,03
16;30,69;82561;34;999,03
17;30,68;82968;34;999,03
18;30,65;82642;34;999,02
19;30,61;81917;34;999,02
20;30,56;82157;34;999,02
21;30,48;82318;34;999,03
22;30,41;82238;34;998,99
23;30,36;82723;34;999,02
24;30,28;82480;34;998,99
25;30,18;83050;34;999,03
26;30,14;83050;34;999,03
27;30,12;83297;34;999,06
28;30,11;83050;34;999,06
29;30,1;82642;34;999,03
30;30,08;83546;34;999,06
31;30,07;83132;34;999,06
32;30,05;82886;34;999,03
33;30,03;82805;34;999,03
34;30,01;82968;34;999,03
35;30;83297;35;998,99
36;29,98;83463;35;999,02
37;29,96;83463;35;999,02
38;29,95;83879;35;999,02
39;29,94;83879;35;999,03
40;29,92;83712;35;999,03
41;29,9;83380;35;999,03
42;29,88;83712;35;999,02
43;29,87;83463;35;999,02
44;29,86;83629;35;999,03
45;29,84;83712;35;999,03
46;29,83;84384;35;999,03
47;29,82;83215;35;999,06
48;29,8;83215;35;999,03
49;29,79;83795;35;999,02
50;29,77;83879;35;999,03
51;29,77;83795;35;999,02
52;29,75;84896;35;999,02
53;29,74;84469;35;999,03
54;29,72;83712;35;998,99
55;29,71;84047;35;999,03
56;29,7;83963;35;999,03
57;29,69;84047;35;999,03
58;29,67;84469;35;999,03
59;29,67;84300;35;999,06
60;29,66;84047;35;999,06
61;29,64;84047;35;999,06
62;29,63;83879;35;999,06
63;29,63;84300;35;999,06
64;29,62;84810;35;999,06
65;29,61;84131;35;999,06
66;29,59;84896;35;999,08
67;29,58;84384;35;999,06
68;29,57;83546;35;999,02
69;29,56;83297;35;999,03
70;29,55;83879;36;999,06
71;29,54;83380;36;999,03
72;29,53;85154;36;999,06
73;29,52;83795;36;999,03
74;29,52;84896;36;999,06
75;29,51;83463;36;999,03
76;29,5;84554;36;999,03
77;29,49;84469;36;999,03
78;29,48;84639;36;999,06
79;29,47;84047;36;999,03
80;29,46;84300;36;999,03
81;29,45;85327;36;999,06
82;29,44;84131;36;999,03
83;29,43;84982;36;999,02
84;29,43;83297;36;999,03
85;29,41;84554;36;999,03
86;29,4;83215;36;999,03
87;29,4;85154;36;999,03
88;29,39;85414;36;999,03
89;29,39;84131;36;999,02
90;29,37;83380;36;999,03
