;temperature;gas;humidity;barometer
0;29,09;112307;29;1006,5
1;29,09;110973;29;1006,5
2;29,09;109957;29;1006,5
3;29,08;109742;29;1006,51
4;29,07;111120;29;1006,51
5;29,05;109527;29;1006,54
6;29,04;110973;29;1006,51
7;29,04;110463;29;1006,51
8;29,04;110900;29;1006,5
9;29,05;112008;29;1006,51
10;29,06;109885;29;1006,5
11;29,06;110827;29;1006,5
12;29,07;109742;29;1006,5
13;29,09;109527;29;1006,51
14;29,1;110173;29;1006,51
15;29,11;108818;29;1006,5
16;29,12;107290;30;1006,5
17;29,12;108049;30;1006,5
18;29,12;106610;30;1006,5
19;29,12;106881;30;1006,5
20;29,12;107017;30;1006,51
21;29,12;106813;30;1006,51
22;29,11;106408;30;1006,51
23;29,11;106340;30;1006,51
24;29,11;105606;30;1006,51
25;29,08;104425;30;1006,51
26;29,05;105012;30;1006,51
27;29,04;103525;30;1006,51
28;29,03;103461;30;1006,51
29;29,05;104231;30;1006,5
30;29,04;105143;30;1006,51
31;29,03;103397;30;1006,51
32;29,03;102891;30;1006,51
33;29,04;103780;30;1006,51
34;29,03;103780;30;1006,51
35;29,04;102828;30;1006,5
36;29,05;102640;30;1006,5
37;29,07;103397;30;1006,51
38;29,07;104037;30;1006,5
39;29,08;103397;30;1006,47
40;29,08;104166;30;1006,47
41;29,09;103144;30;1006,47
42;29,1;103525;30;1006,47
43;29,09;102328;30;1006,5
44;29,09;103017;30;1006,5
45;29,08;102017;30;1006,47
46;29,08;104425;31;1006,45
47;29,1;103017;31;1006,45
48;29,12;102265;31;1006,47
49;29,14;103207;31;1006,47
50;29,15;102079;31;1006,5
51;29,16;101893;31;1006,47
52;29,18;102079;31;1006,5
53;29,19;102828;31;1006,5
54;29,2;101586;31;1006,47
55;29,21;102079;31;1006,5
56;29,23;102203;31;1006,47
57;29,24;100794;31;1006,47
58;29,25;102577;31;1006,5
59;29,25;101097;31;1006,47
60;29,26;101524;31;1006,47
61;29,25;102577;31;1006,5
62;29,27;101586;31;1006,47
63;29,28;100854;31;1006,47
64;29,27;100673;31;1006,47
65;29,28;101524;31;1006,47
66;29,28;100074;31;1006,47
67;29,27;100975;31;1006,45
68;29,27;100794;30;1006,45
69;29,27;99896;31;1006,45
70;29,28;100915;30;1006,47
71;29,29;99600;30;1006,45
72;29,3;100553;30;1006,45
73;29,3;100673;30;1006,47
74;29,31;100253;30;1006,47
75;29,3;100854;30;1006,47
76;29,28;99836;30;1006,45
77;29,28;101158;30;1006,45
78;29,28;102390;30;1006,47
79;29,3;100493;30;1006,45
80;29,31;101097;30;1006,47
81;29,32;102203;30;1006,45
82;29,32;100794;30;1006,47
83;29,33;100975;30;1006,43
84;29,32;99718;30;1006,45
85;29,33;100313;30;1006,43
86;29,34;100854;30;1006,5
87;29,35;100915;31;1006,45
88;29,34;101832;30;1006,43
89;29,34;100313;31;1006,45
90;29,34;100613;31;1006,51
91;29,35;99423;31;1006,47
92;29,37;102141;31;1006,45
93;29,37;99600;31;1006,47
94;29,37;99541;31;1006,47
95;29,37;99541;31;1006,5
96;29,37;99130;31;1006,45
97;29,38;98897;31;1006,47
98;29,4;98203;31;1006,47
99;29,41;100074;31;1006,47
100;29,41;98261;31;1006,47
101;29,41;99955;31;1006,47
102;29,41;98491;31;1006,47
103;29,41;98318;31;1006,45
104;29,42;97294;31;1006,45
105;29,42;98032;31;1006,47
106;29,44;97182;31;1006,45
107;29,45;99659;31;1006,47
108;29,45;99718;31;1006,45
109;29,46;98032;31;1006,43
110;29,46;96957;31;1006,47
111;29,48;96623;31;1006,45
112;29,48;96568;31;1006,45
113;29,48;96457;31;1006,45
114;29,49;96902;31;1006,45
115;29,49;97917;31;1006,47
116;29,5;98722;31;1006,45
117;29,51;95525;31;1006,47
118;29,51;96790;31;1006,47
119;29,51;96734;31;1006,47
120;29,51;96957;31;1006,47
121;29,51;95579;31;1006,43
122;29,51;96346;31;1006,45
123;29,51;97182;31;1006,45
124;29,51;95093;31;1006,47
125;29,51;96071;31;1006,45
126;29,52;96457;31;1006,47
127;29,51;96846;31;1006,47
128;29,51;95634;31;1006,45
129;29,52;98491;31;1006,5
130;29,53;96346;31;1006,5
131;29,53;96902;31;1006,47
132;29,54;96512;31;1006,47
133;29,54;96790;31;1006,47
134;29,54;97350;31;1006,47
135;29,54;95363;31;1006,45
136;29,55;96734;31;1006,47
137;29,55;97294;31;1006,47
138;29,56;94985;31;1006,45
139;29,56;97803;31;1006,47
140;29,57;96957;31;1006,43
141;29,57;96790;31;1006,5
142;29,57;94932;31;1006,51
143;29,57;96346;31;1006,5
144;29,58;95147;31;1006,47
145;29,57;94878;31;1006,5
146;29,57;97294;31;1006,47
147;29,58;96512;31;1006,47
148;29,58;96846;31;1006,5
149;29,58;97013;31;1006,47
150;29,59;94878;31;1006,5
151;29,59;96846;31;1006,47
152;29,58;96957;31;1006,5
153;29,57;96623;31;1006,47
154;29,58;95688;31;1006,47
155;29,57;96846;31;1006,47
156;29,58;97747;31;1006,47
157;29,58;97013;31;1006,45
158;29,59;96846;31;1006,47
159;29,6;95417;31;1006,47
160;29,6;95907;31;1006,47
161;29,6;94771;31;1006,47
162;29,61;95743;31;1006,45
163;29,61;97238;31;1006,47
164;29,61;94878;31;1006,47
165;29,61;97182;31;1006,43
166;29,61;98032;31;1006,47
167;29,62;96568;31;1006,45
168;29,62;97690;31;1006,43
169;29,62;96790;31;1006,45
170;29,62;95907;31;1006,45
171;29,62;97238;31;1006,45
172;29,63;95852;31;1006,45
173;29,63;97350;31;1006,47
174;29,62;96623;31;1006,45
175;29,63;96512;31;1006,47
176;29,63;96957;31;1006,47
177;29,64;97238;31;1006,45
178;29,65;95797;31;1006,43
179;29,64;93977;31;1006,43
180;29,65;96236;31;1006,47
181;29,65;94399;31;1006,45
182;29,65;95093;31;1006,45
183;29,65;93715;31;1006,47
184;29,63;95093;31;1006,45
185;29,62;96346;31;1006,47
186;29,62;93454;31;1006,45
187;29,63;95471;31;1006,47
188;29,64;94505;31;1006,45
189;29,65;94293;31;1006,47
190;29,66;94861;31;1006,45
191;29,67;94825;31;1006,47
192;29,67;94029;31;1006,47
193;29,67;95852;31;1006,47
194;29,68;93872;31;1006,45
195;29,68;95147;31;1006,45
196;29,68;94329;31;1006,45
197;29,67;93819;32;1006,47
198;29,67;93977;32;1006,47
199;29,68;93454;32;1006,45
200;29,68;94187;32;1006,45
201;29,68;94861;32;1006,43
202;29,68;94082;32;1006,45
203;29,69;93819;32;1006,45
204;29,69;94029;32;1006,45
205;29,7;93593;32;1006,43
206;29,7;94118;32;1006,43
207;29,7;94647;32;1006,47
208;29,71;95076;32;1006,43
209;29,72;95399;32;1006,43
210;29,72;94118;32;1006,43
211;29,72;95399;32;1006,45
212;29,71;94968;32;1006,45
213;29,71;93907;32;1006,45
214;29,72;94647;32;1006,43
215;29,72;94435;32;1006,45
216;29,71;93907;32;1006,43
217;29,7;94754;32;1006,43
218;29,7;94861;32;1006,45
219;29,71;94861;32;1006,45
220;29,72;93907;32;1006,43
221;29,73;94541;32;1006,43
222;29,73;94754;32;1006,43
223;29,74;93802;32;1006,43
224;29,75;93385;32;1006,43
225;29,75;95508;32;1006,43
226;29,76;95291;32;1006,43
227;29,76;94223;32;1006,43
228;29,77;93698;32;1006,43
229;29,77;93385;32;1006,43
230;29,77;93489;32;1006,43
231;29,78;94541;32;1006,43
232;29,78;93489;32;1006,41
233;29,78;93802;32;1006,41
234;29,78;94968;32;1006,45
235;29,78;93593;32;1006,41
236;29,78;93075;32;1006,43
237;29,78;93075;32;1006,41
238;29,78;93282;32;1006,41
239;29,78;94329;32;1006,41
240;29,78;95076;32;1006,41
241;29,79;93698;32;1006,47
242;29,79;92665;32;1006,45
243;29,79;94118;32;1006,45
244;29,79;94012;32;1006,45
245;29,79;92870;32;1006,45
246;29,78;93907;32;1006,41
247;29,78;93802;32;1006,47
248;29,79;93802;32;1006,45
249;29,79;92563;32;1006,45
250;29,8;92870;32;1006,43
251;29,8;92665;32;1006,47
252;29,8;93282;32;1006,45
253;29,82;93282;32;1006,45
254;29,82;94118;32;1006,45
255;29,81;92359;32;1006,45
256;29,83;94541;32;1006,45
257;29,83;92157;32;1006,43
258;29,84;93178;32;1006,43
259;29,84;91355;32;1006,45
260;29,84;91554;32;1006,43
261;29,84;92157;32;1006,45
262;29,83;90960;32;1006,43
263;29,83;91855;32;1006,43
264;29,84;91955;32;1006,45
265;29,82;92870;32;1006,43
266;29,82;93489;32;1006,43
267;29,82;91554;32;1006,43
268;29,82;92870;32;1006,43
269;29,82;93178;32;1006,45
270;29,81;92157;32;1006,47
271;29,8;92258;32;1006,45
272;29,79;91554;32;1006,45
273;29,8;92972;32;1006,45
274;29,81;93385;32;1006,45
275;29,81;92359;32;1006,43
276;29,82;93593;32;1006,45
277;29,82;93593;32;1006,45
278;29,83;92870;32;1006,45
279;29,84;91256;32;1006,45
280;29,85;91554;32;1006,45
281;29,86;91554;32;1006,45
282;29,87;92056;32;1006,43
283;29,87;92563;32;1006,45
284;29,87;92563;32;1006,45
285;29,88;92461;32;1006,45
286;29,88;91855;32;1006,43
287;29,89;92563;32;1006,45
288;29,89;92972;32;1006,45
289;29,91;92157;32;1006,45
